Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2024,1,1,Zaccharie Risacher,F,6-8,200,19,JL Bourg-en-Bresse (France),2005 DOB  *,,1,ATL
2023,1,15,Kobe Bufkin,G,6-4,195,19,Michigan,So  *,,2,ATL
2023,2,46,Seth Lundy,GF,6-4,220,23,Penn State,Sr  *,,2,ATL
2022,1,16,"A.J. Griffin, Jr.",SG,6-6,220,18,Duke,Fr  *,,2,ATL
2021,1,20,Jalen Johnson,PF,6-8,219,19,Duke,Fr  *,,4,ATL
2021,2,48,Sharife Cooper,PG,6-0,176,20,Auburn,Fr  *,,2,ATL
2020,1,6,Onyeka Okongwu,PF,6-10,240,19,USC,Fr  *,,5,ATL
2020,2,50,Skylar Mays,PG,6-3,205,23,LSU,Sr,,4,ATL
2019,1,10,Cam Reddish,G,6-7,217,19,Duke,Fr  *,,6,ATL
2018,1,19,Kevin Huerter,SF,6-6,198,19,Maryland,So  *,,7,ATL
2018,1,30,Omari Spellman,PF,6-8,245,20,Villanova,Fr  *,,3,ATL
2017,1,19,John Collins,PF,6-9,226,19,Wake Forest,So  *,,8,ATL
2017,2,41,Tyler Dorsey,SG,6-5,183,21,Oregon,So  *,,3,ATL
2016,1,21,DeAndre' Bembry,GF,6-5,210,21,Saint Joseph's,Jr  *,,6,ATL
2015,2,50,Marcus Eriksson,GF,6-7,178,21,BAXI Manresa (Spain),1993 DOB,,0,ATL
2014,1,15,Adreian Payne,C,6-10,237,23,Michigan State,Sr,,4,ATL
2014,2,43,Edy Tavares,C,7-3,265,22,Dreamland Gran Canaria (Spain),1992 DOB,,2,ATL
2013,1,17,Dennis Schroder,PG,6-1,175,19,Basketball Lowen Braunschweig (Germany),1993 DOB  *,,12,ATL
2012,1,23,John Jenkins,SG,6-4,206,21,Vanderbilt,Jr  *,,6,ATL
2012,2,43,Mike Scott,PF,6-8,237,23,Virginia,Sr,,9,ATL
2011,2,48,Keith Benson,C,6-11,240,22,Oakland,Sr,,1,ATL
2010,2,53,Pape Sy,SF,6-7,224,22,STB Le Havre (France),1988 DOB,,1,ATL
2009,1,19,Jeff Teague,PG,6-3,195,21,Wake Forest,So  *,,12,ATL
2007,1,3,Al Horford,FC,6-8,240,21,Florida,Jr  *,,18,ATL
2007,1,11,Acie Law,SG,6-3,202,22,Texas A&M,Sr,,4,ATL
2006,1,5,Shelden Williams,PF,6-9,250,22,Duke,Sr,,6,ATL
2006,2,33,Solomon Jones,C,6-10,230,21,South Florida,Sr,,8,ATL
2005,1,2,Marvin Williams,SF,6-9,237,19,North Carolina,Fr  *,,15,ATL
2005,2,31,Salim Stoudamire,G,6-1,186,22,Arizona,Sr,,4,ATL
2004,1,6,Josh Childress,SF,6-8,210,21,Stanford,Jr  *,,8,ATL
2004,1,17,Josh Smith,PF,6-9,225,18,Oak Hill Academy (Virginia),1985 DOB  *,,13,ATL
2004,2,34,Donta Smith,GF,6-7,215,20,Southeastern Illinois,So  *,,2,ATL
2004,2,37,Royal Ivey,G,6-4,215,22,Texas,Sr,,10,ATL
2003,1,21,Boris Diaw,PF,6-8,250,21,Pau-Orthez (France),1982 DOB  *,,14,ATL
2003,2,37,Travis Hansen,G-F,6-6,205,25,Brigham Young,Sr,,1,ATL
2000,1,6,DerMarr Johnson,GF,6-9,201,20,Cincinnati,Fr  *,,8,ATL
2000,2,40,Hanno Mottola,FC,6-10,247,23,Utah,Sr,,2,ATL
2000,2,57,Scoonie Penn,G,5-11,180,23,Ohio State,Sr,,1,ATL
1999,1,10,Jason Terry,G,6-2,185,21,Arizona,Sr,,19,ATL
1999,1,17,Cal Bowdler,PF,6-10,245,22,Old Dominion,Sr,,3,ATL
1999,1,20,Dion Glover,GF,6-5,228,20,Georgia Tech,RS-Fr  *,,6,ATL
1998,1,20,Roshown McLeod,F,6-8,221,22,Duke,Sr,,4,ATL
1997,1,22,Ed Gray,SG,6-3,210,21,California,Sr,,3,ATL
1997,2,49,Alain Digbeu,G-F,6-5,210,21,ASVEL Basket (France),1975 DOB,,0,ATL
1997,2,50,Chris Crawford,PF,6-9,235,22,Marquette,Sr,,8,ATL
1996,1,28,Priest Lauderdale,C,7-4,325,22,Peristeri BC (Greece),1973 DOB  *,,4,ATL
1995,1,16,Alan Henderson,F-C,6-9,235,22,Indiana,Sr,,12,ATL
1995,2,42,Donnie Boyce,SF,6-5,196,21,Colorado,Sr,,3,ATL
1995,2,45,Troy Brown,F,6-8,238,24,Providence,Sr,,1,ATL
1995,2,57,Cuonzo Martin,G-F,6-5,213,23,Purdue,Sr,,2,ATL
1994,2,34,Gaylon Nickerson,G,6-3,190,25,Northwestern Oklahoma State,Sr,,2,ATL
1993,1,15,Doug Edwards,F,6-7,220,22,Florida State,Sr,,5,ATL
1993,2,40,Rich Manning,C,6-11,253,23,Washington,Sr,,5,ATL
1992,1,10,Adam Keefe,F,6-9,230,22,Stanford,Sr,,9,ATL
1992,2,38,Elmer Bennett,PG,6-0,171,22,Notre Dame,Sr,,5,ATL
