Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,28,Hugo Gonzalez,F,6-6,200.0,19.0,Real Madrid (Spain),2006 DOB  *,,0,BOS
2024,1,30,Baylor Scheierman,PG,6-6,205.0,23.0,Creighton,Sr,,1,BOS
2024,2,54,Anton Watson,SF,6-8,225.0,23.0,Gonzaga,Sr,,1,BOS
2022,2,53,J.D. Davison,F,6-1,195.0,19.0,Alabama,Fr  *,,3,BOS
2021,2,45,Juhann Begarin,SG,6-5,214.0,18.0,Paris Basketball (France),2002 DOB  *,,0,BOS
2020,1,14,Aaron Nesmith,F,6-5,215.0,21.0,Vanderbilt,So  *,,5,BOS
2020,1,26,Payton Pritchard,PG,6-1,195.0,22.0,Oregon,Sr,,5,BOS
2020,2,47,Yam Madar,G,6-3,180.0,19.0,Hapoel Tel Aviv (Israel),2000 DOB  *,,0,BOS
2019,1,14,Romeo Langford,SG,6-5,216.0,19.0,Indiana,Fr  *,,4,BOS
2019,1,22,Grant Williams,SF,6-7,236.0,20.0,Tennessee,Jr  *,,6,BOS
2019,2,51,Tremont Waters,PG,5-10,175.0,21.0,LSU,So  *,,3,BOS
2018,1,27,Robert Williams,PF,6-9,249.0,20.0,Texas A&M,So  *,,7,BOS
2017,1,3,Jayson Tatum,SF,6-8,210.0,19.0,Duke,Fr  *,,8,BOS
2017,2,37,Semi Ojeleye,SF,6-6,240.0,22.0,Southern Methodist,Jr  *,,5,BOS
2017,2,53,Kadeem Allen,G,6-3,200.0,24.0,Arizona,Sr,,3,BOS
2017,2,56,Jabari Bird,SG,6-6,198.0,22.0,California,Sr,,2,BOS
2016,1,3,Jaylen Brown,SF,6-6,223.0,19.0,California,Fr  *,,9,BOS
2016,1,16,Guerschon Yabusele,PF,6-7,265.0,20.0,Rouen Metropole Basket (France),1995 DOB  *,,3,BOS
2016,1,23,Ante Zizic,C,6-11,254.0,19.0,KK Cibona (Croatia),1997 DOB  *,,3,BOS
2016,2,45,Demetrius Jackson,G,6-1,200.0,21.0,Notre Dame,Jr  *,,3,BOS
2016,2,51,Ben Bentil,F,6-9,235.0,21.0,Providence,So  *,,1,BOS
2016,2,58,Abdel Nader,SF,6-6,225.0,22.0,Iowa State,Sr,,5,BOS
2015,1,16,Terry Rozier,G,6-1,190.0,21.0,Louisville,So  *,,10,BOS
2015,1,28,R.J. Hunter,G,6-4,185.0,21.0,Georgia State,Jr  *,,4,BOS
2015,2,33,Jordan Mickey,PF,6-8,235.0,20.0,LSU,So  *,,3,BOS
2015,2,45,Marcus Thornton,G,6-4,190.0,22.0,William & Mary,Sr,,1,BOS
2014,1,6,Marcus Smart,PG,6-3,220.0,20.0,Oklahoma State,So  *,,11,BOS
2014,1,17,James Young,SG,6-6,215.0,18.0,Kentucky,Fr  *,,4,BOS
2012,1,21,Jared Sullinger,C,6-9,260.0,20.0,Ohio State,So  *,,5,BOS
2012,1,22,Fab Melo,C,7-0,255.0,22.0,Syracuse,So  *,,1,BOS
2012,2,51,Kris Joseph,SF,6-7,210.0,23.0,Syracuse,Sr,,1,BOS
2011,2,55,E'Twaun Moore,SG,6-4,191.0,22.0,Purdue,Sr,,11,BOS
2010,1,19,Avery Bradley,PG,6-3,180.0,19.0,Texas,Fr  *,,12,BOS
2010,2,52,Luke Harangody,F,6-8,245.0,22.0,Notre Dame,Sr,,3,BOS
2009,2,58,Lester Hudson,G,6-3,190.0,24.0,Tennessee-Martin,Sr,,4,BOS
2008,1,30,J.R. Giddens,GF,6-5,210.0,23.0,New Mexico,Sr,,2,BOS
2008,2,60,Semih Erden,C,7-0,240.0,21.0,Fenerbahce Beko (Turkey),1986 DOB,,2,BOS
2007,2,32,Gabe Pruitt,G,6-4,185.0,21.0,USC,Jr  *,,2,BOS
2005,1,18,Gerald Green,GF,6-7,205.0,19.0,Gulf Shores Academy (Texas),1986 DOB  *,,13,BOS
2005,2,50,Ryan Gomes,F,6-7,245.0,22.0,Providence,Sr,,8,BOS
2005,2,53,Orien Greene,G,6-5,218.0,23.0,Louisiana,Sr,,4,BOS
2004,1,15,Al Jefferson,FC,6-10,289.0,19.0,Prentiss High School (Mississippi),1985 DOB  *,,14,BOS
2004,1,24,Delonte West,G,6-3,180.0,20.0,Saint Joseph's,Jr  *,,8,BOS
2004,1,25,Tony Allen,SG,6-4,213.0,22.0,Oklahoma State,Sr,,14,BOS
2004,2,40,Justin Reed,F,6-8,240.0,22.0,Ole Miss,Sr,,3,BOS
2003,2,56,Brandon Hunter,C,6-7,260.0,22.0,Ohio,Sr,,2,BOS
2001,1,10,Joe Johnson,SG,6-7,240.0,19.0,Arkansas,So  *,,18,BOS
2001,1,11,Kedrick Brown,GF,6-7,222.0,20.0,Northwest Florida State College,So  *,,4,BOS
2001,1,21,Joseph Forte,SG,6-4,194.0,20.0,North Carolina,So  *,,3,BOS
2000,1,11,Jerome Moiso,FC,6-10,235.0,22.0,UCLA,So  *,,5,BOS
1999,2,55,Kris Clack,G,6-5,225.0,21.0,Texas,Sr,,0,BOS
1998,1,10,Paul Pierce,SF,6-7,235.0,20.0,Kansas,Jr  *,,19,BOS
1997,1,3,Chauncey Billups,G,6-3,210.0,20.0,Colorado,So  *,,17,BOS
1997,1,6,Ron Mercer,SG,6-7,210.0,21.0,Kentucky,So  *,,8,BOS
1997,2,55,Ben Pepper,C,7-0,250.0,21.0,Newcastle Falcons (Australia),1975 DOB,,0,BOS
1996,1,6,Antoine Walker,F,6-9,265.0,19.0,Kentucky,So  *,,12,BOS
1996,2,38,Steve Hamer,C,7-0,245.0,22.0,Tennessee,Sr,,1,BOS
1995,1,14,Eric Williams,F,6-8,220.0,22.0,Providence,Sr,,12,BOS
1995,2,33,Junior Burrough,PF,6-8,242.0,22.0,Virginia,Sr,,2,BOS
1994,1,9,Eric Montross,C,7-0,270.0,22.0,North Carolina,Sr,,10,BOS
1993,1,19,Acie Earl,PF,6-10,240.0,23.0,Iowa,Sr,,4,BOS
1992,2,47,Darren Morningstar,C,6-10,235.0,23.0,Pittsburgh,Sr,,2,BOS
