Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,1,Cooper Flagg,F,6-9,205.0,18.0,Duke,Fr  *,,0,DAL
2020,1,18,Josh Green,SG,6-6,200.0,20.0,Arizona,Fr  *,,5,DAL
2020,2,31,Tyrell Terry,PG,6-2,170.0,20.0,Stanford,Fr  *,,2,DAL
2018,2,33,Jalen Brunson,PG,6-2,190.0,21.0,Villanova,Jr  *,,7,DAL
2017,1,9,Dennis Smith,PG,6-2,205.0,19.0,NC State,Fr  *,,7,DAL
2016,2,46,A.J. Hammons,C,7-0,250.0,23.0,Purdue,Sr,,2,DAL
2015,1,21,Justin Anderson,F,6-6,230.0,21.0,Virginia,Jr  *,,6,DAL
2007,2,34,Nick Fazekas,F,6-11,240.0,22.0,Nevada,Sr,,1,DAL
2006,1,28,Maurice Ager,F-G,6-5,202.0,22.0,Michigan State,Sr,,4,DAL
2003,1,29,Josh Howard,GF,6-7,210.0,23.0,Wake Forest,Sr,,10,DAL
2000,1,12,Etan Thomas,C,6-9,256.0,22.0,Syracuse,Sr,,11,DAL
1999,2,36,Zhizhi Wang,C,7-1,255.0,21.0,Ningbo Rockets (China),1977 DOB,,5,DAL
1998,2,30,Ansu Sesay,F,6-9,225.0,21.0,Ole Miss,Sr,,6,DAL
1998,2,35,Bruno Sundov,C,7-2,220.0,18.0,KK Split (Croatia),1980 DOB  *,,7,DAL
1998,2,53,Greg Buckner,G-F,6-4,210.0,21.0,Clemson,Sr,,11,DAL
1997,2,34,Bubba Wells,G-F,6-5,230.0,22.0,Austin Peay,Sr,,2,DAL
1996,1,9,Samaki Walker,PF,6-9,250.0,20.0,Louisville,So  *,,10,DAL
1996,2,34,Shawn Harvey,G,6-4,180.0,22.0,West Virginia State,Sr,,1,DAL
1996,2,58,Darnell Robinson,C,6-11,270.0,22.0,Arkansas,Jr  *,,1,DAL
1995,1,12,Cherokee Parks,C,6-11,235.0,22.0,Duke,Sr,,9,DAL
1995,1,24,Loren Meyer,F-C,6-10,257.0,22.0,Iowa State,Sr,,5,DAL
