Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2022,1,21,Christian Braun,SF,6-6,220.0,21.0,Kansas,Jr  *,,3,DEN
2021,1,26,Bones Hyland,G,6-2,169.0,20.0,VCU,So  *,,4,DEN
2020,1,22,Zeke Nnaji,PF,6-10,240.0,19.0,Arizona,Fr  *,,5,DEN
2018,1,14,"Michael Porter, Jr.",PF,6-10,218.0,19.0,Missouri,Fr  *,,7,DEN
2018,2,58,Thomas Welsh,C,7-0,255.0,22.0,UCLA,Sr,,1,DEN
2017,2,49,Vlatko Cancar,SF,6-8,236.0,20.0,KK Mega Bemax (Serbia),1997 DOB  *,,6,DEN
2017,2,51,Monte Morris,G,6-2,183.0,21.0,Iowa State,Sr,,8,DEN
2016,1,7,Jamal Murray,SG,6-4,215.0,19.0,Kentucky,Fr  *,,9,DEN
2016,1,15,Juancho Hernangomez,F,6-9,215.0,20.0,Movistar Estudiantes (Spain),1995 DOB  *,,7,DEN
2016,1,19,Malik Beasley,SG,6-4,187.0,19.0,Florida State,Fr  *,,9,DEN
2016,2,53,Petr Cornelie,C,6-11,220.0,20.0,Le Mans Sarthe Basket (France),1995 DOB  *,,1,DEN
2015,1,7,Emmanuel Mudiay,SG,6-5,200.0,19.0,Guangzhou Loong Lions (China),1996 DOB,,6,DEN
2014,2,41,Nikola Jokic,C,6-11,284.0,19.0,KK Mega Bemax (Serbia),1995 DOB  *,,10,DEN
2012,1,20,Evan Fournier,SG,6-6,205.0,19.0,Poitiers Basket 86 (France),1992 DOB  *,,12,DEN
2012,2,38,Quincy Miller,PF,6-11,210.0,19.0,Baylor,Fr  *,,3,DEN
2012,2,50,Izzet Turkyilmaz,C,7-0,211.0,22.0,Teksut Bandirma (Turkey),1990 DOB,,0,DEN
2011,1,22,Kenneth Faried,F,6-8,228.0,21.0,Morehead State,Sr,,8,DEN
2005,1,20,Julius Hodge,SF,6-7,210.0,21.0,NC State,Sr,,2,DEN
