Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,2,41,Koby Brea,GF,6-5,215.0,22.0,Kentucky,Sr,GOS to  PHX,0,GSW
2024,2,52,Quinten Post,C,7-0,238.0,24.0,Boston College,Sr,GOS to  OKC OKC  to POR POR  to GOS,1,GSW
2023,1,19,Brandin Podziemski,G,6-4,205.0,20.0,Santa Clara,So  *,,2,GSW
2022,1,28,"Patrick Baldwin, Jr.",SG,7-0,220.0,19.0,Milwaukee,Fr  *,,3,GSW
2022,2,51,Tyrese Martin,GF,6-6,215.0,23.0,UConn,Sr  *,GOS to  ATL,2,GSW
2022,2,55,Gui Santos,GF,6-7,185.0,20.0,Minas (Brazil),2002 DOB  *,,2,GSW
2021,1,7,Jonathan Kuminga,F,6-7,225.0,18.0,NBA G League Ignite,2002 DOB,,4,GSW
2021,1,14,Moses Moody,SG,6-5,211.0,19.0,Arkansas,Fr  *,,4,GSW
2020,1,2,James Wiseman,C,6-11,240.0,19.0,Memphis,Fr  *,,5,GSW
2020,2,48,Nico Mannion,PG,6-3,190.0,19.0,Arizona,Fr  *,,1,GSW
2020,2,51,Justinian Jessup,SF,6-5,202.0,22.0,Boise State,Sr,GOS to  MEM,0,GSW
2019,1,28,Jordan Poole,SG,6-4,194.0,20.0,Michigan,So  *,,6,GSW
2019,2,41,Eric Paschall,F,6-6,255.0,22.0,Villanova,Sr,,4,GSW
2019,2,58,Miye Oni,SF,6-5,206.0,21.0,Yale,Jr  *,GOS to  UTH,3,GSW
2018,1,28,Jacob Evans,SG,6-6,210.0,21.0,Cincinnati,Jr  *,,2,GSW
2016,1,30,Damian Jones,PF,6-10,245.0,20.0,Vanderbilt,Jr  *,,8,GSW
2015,1,30,Kevon Looney,PF,6-9,222.0,19.0,UCLA,Fr  *,,10,GSW
2012,1,7,Harrison Barnes,SF,6-7,225.0,20.0,North Carolina,So  *,,13,GSW
2012,1,30,Festus Ezeli,C,6-11,265.0,22.0,Vanderbilt,Sr,,5,GSW
2012,2,35,Draymond Green,F,6-6,230.0,22.0,Michigan State,Sr,,13,GSW
2012,2,52,Ognen Kuzmic,C,7-1,251.0,22.0,Unicaja (Spain),1990 DOB,,2,GSW
2011,1,11,Klay Thompson,G,6-5,220.0,21.0,Washington State,Jr  *,,14,GSW
2011,2,44,Charles Jenkins,G,6-3,215.0,22.0,Hofstra,Sr,,2,GSW
2010,1,6,Ekpe Udoh,PF,6-10,245.0,23.0,Baylor,Jr  *,,7,GSW
2009,1,7,Stephen Curry,G,6-2,185.0,21.0,Davidson,Jr  *,,16,GSW
