Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2024,1,3,Reed Sheppard,G,6-2,185.0,20.0,Kentucky,Fr  *,,1,HOU
2023,1,4,Amen Thompson,G,6-7,200.0,20.0,Overtime Elite (Georgia),2003 DOB,,2,HOU
2023,1,20,Cam Whitmore,F,6-6,230.0,18.0,Villanova,Fr  *,,2,HOU
2022,1,3,"Jabari Smith, Jr.",F,6-11,220.0,19.0,Auburn,Fr  *,,3,HOU
2022,1,17,Tari Eason,F,6-8,215.0,21.0,LSU,So  *,,3,HOU
2021,1,2,Jalen Green,SG,6-4,186.0,19.0,NBA G League Ignite,2002 DOB,,4,HOU
2021,1,23,Usman Garuba,C,6-8,229.0,19.0,Real Madrid (Spain),2002 DOB  *,,3,HOU
2021,1,24,Josh Christopher,G,6-4,215.0,19.0,Arizona State,Fr  *,,4,HOU
2017,2,43,Isaiah Hartenstein,PF,7-0,250.0,19.0,Zalgiris (Lithuania),1998 DOB  *,,7,HOU
2016,2,37,Chinanu Onuaku,C,6-9,250.0,19.0,Louisville,So  *,,2,HOU
2016,2,43,Zhou Qi,C,7-1,210.0,20.0,Xinjiang Guanghui (China),1996 DOB  *,,2,HOU
2015,1,18,Sam Dekker,SF,6-9,230.0,21.0,Wisconsin,Jr  *,,5,HOU
2015,2,32,Montrezl Harrell,F,6-7,240.0,21.0,Louisville,Jr  *,,8,HOU
2014,1,25,Clint Capela,PF,6-10,256.0,20.0,Chalon-Sur-Saone (France),1994 DOB  *,,11,HOU
2014,2,42,Nick Johnson,SG,6-3,200.0,21.0,Arizona,Jr  *,,1,HOU
2013,2,34,Isaiah Canaan,G,6-0,200.0,22.0,Murray State,Sr,,6,HOU
2012,1,12,Jeremy Lamb,SG,6-5,180.0,20.0,UConn,So  *,,10,HOU
2012,1,16,Royce White,PF,6-8,268.0,21.0,Iowa State,So  *,,2,HOU
2012,1,18,Terrence Jones,PF,6-9,255.0,20.0,Kentucky,So  *,,6,HOU
2011,1,14,Marcus Morris,F,6-8,218.0,21.0,Kansas,Jr  *,,13,HOU
