Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2025,1,30,Yanic Konan Niederhauser,F,6-11,242.0,22.0,Penn State,Jr *,,0
2025,2,51,Mohamed Diawara,PF,6-9,225.0,20.0,Cholet Basket (France),2005 DOB *,LAC to NYK,0
2024,2,46,Cameron Christie,SG,6-5,190.0,18.0,Minnesota,Fr *,,1
2023,1,30,Kobe Brown,GF,6-7,250.0,23.0,Missouri,Sr *,,2
2023,2,48,Jordan Miller,G,6-5,194.0,23.0,Miami (FL),Sr,,2
2022,2,43,Moussa Diabate,PF,6-10,210.0,20.0,Michigan,Fr *,,3
2021,1,25,Quentin Grimes,SG,6-4,210.0,21.0,Houston,Jr *,LAC to NYK,4
2020,2,57,Reggie Perry,F,6-8,250.0,20.0,Mississippi State,So *,LAC to BRK,2
2019,2,48,Terance Mann,SG,6-6,215.0,22.0,Florida State,Sr,,6
2019,2,56,Jaylen Hands,G,6-3,180.0,20.0,UCLA,So *,LAC to BRK BRK to DET,0
2018,1,12,Miles Bridges,SF,6-7,225.0,20.0,Michigan State,So *,LAC to CHA,6
2018,1,13,Jerome Robinson,SG,6-5,190.0,21.0,Boston College,Jr *,,4
2016,1,25,Brice Johnson,PF,6-10,230.0,21.0,North Carolina,Sr,,2
2016,2,33,Cheick Diallo,PF,6-8,219.0,19.0,Kansas,Fr *,LAC to NOP,5
2014,1,28,C.J. Wilcox,SG,6-5,201.0,23.0,Washington,Sr,,3
2013,1,25,Reggie Bullock,SG,6-6,205.0,22.0,North Carolina,Jr *,,11
2012,2,53,Furkan Aldemir,PF,6-10,240.0,20.0,Galatasaray (Turkey),1991 DOB *,LAC to HOU HOU to PHL,1
2011,2,37,Trey Thompkins,PF,6-10,245.0,21.0,Georgia,Jr *,,2
2011,2,47,Travis Leslie,G,6-4,205.0,21.0,Georgia,Jr *,,2
2010,1,8,Al-Farouq Aminu,F,6-9,220.0,19.0,Wake Forest,So *,,12
2010,2,54,Willie Warren,GF,6-4,200.0,20.0,Oklahoma,So *,,1
2009,1,1,Blake Griffin,PF,6-9,250.0,20.0,Oklahoma,So *,,14
2008,1,7,Eric Gordon,G,6-3,215.0,19.0,Indiana,Fr *,,17
2008,2,35,DeAndre Jordan,C,6-11,265.0,19.0,Texas A&M,Fr *,,17
2007,1,14,Al Thornton,F,6-8,203.0,23.0,Florida State,Sr,,4
2007,2,45,Jared Jordan,G,6-2,187.0,22.0,Marist,Sr,LAC to NYK,0
2006,2,34,Paul Davis,FC,6-11,270.0,21.0,Michigan State,Sr,,4
2006,2,52,Guillermo Diaz,G,6-2,192.0,21.0,Miami (FL),Jr *,,1
2005,1,12,Yaroslav Korolev,F,6-9,203.0,18.0,CSKA Moscow (Russia),1987 DOB *,,2
2005,2,32,Daniel Ewing,G,6-3,185.0,22.0,Duke,Sr,,2
2004,1,4,Shaun Livingston,G,6-7,192.0,18.0,Peoria Central High School (Illinois),1985 DOB *,,15
2004,2,33,Lionel Chalmers,G,6-0,180.0,23.0,Xavier,Sr,,1
2003,1,6,Chris Kaman,C,7-0,265.0,21.0,Central Michigan,Jr *,,13
2003,2,34,Sofoklis Schortsanitis,FC,6-8,375.0,18.0,Maccabi FOX Tel Aviv (Israel),1985 DOB *,LAC to ATL ATL to OKC,0
2002,1,8,Chris Wilcox,FC,6-10,235.0,19.0,Maryland,So *,,11
2002,1,12,Melvin Ely,FC,6-10,261.0,24.0,Fresno State,Sr,,9
