Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2025,2,55,Lachlan Olbrich,C,6-8,236.0,21.0,Illawarra (Australia),2003 DOB,LAL to CHI,0
2024,1,17,Dalton Knecht,F,6-6,215.0,23.0,Tennessee,Sr,,1
2024,2,55,Bronny James,G,6-2,210.0,19.0,USC,Fr *,,1
2023,1,17,Jalen Hood-Schifino,PG,6-5,210.0,20.0,Indiana,Fr *,,2
2023,2,47,Mojave King,G,6-5,195.0,21.0,NBA G League Ignite,2002 DOB,LAL to IND IND to NOP NOP to HOU,0
2022,2,35,Max Christie,F,6-5,190.0,19.0,Michigan State,Fr *,,3
2021,1,22,Isaiah Jackson,PF,6-8,205.0,19.0,Kentucky,Fr *,LAL to IND,4
2020,1,28,Jaden McDaniels,F,6-9,185.0,20.0,Washington,Fr *,LAL to OKC OKC to MIN,5
2019,1,4,De'Andre Hunter,PF,6-7,221.0,21.0,Virginia,So *,LAL to NOP NOP to ATL,6
2018,1,25,Moe Wagner,PF,6-11,245.0,21.0,Michigan,Jr *,,7
2018,2,47,Svi Mykhailiuk,SF,6-7,205.0,21.0,Kansas,Sr,,7
2017,1,2,Lonzo Ball,PG,6-5,190.0,19.0,UCLA,Fr *,,8
2017,1,28,Tony Bradley,C,6-10,248.0,19.0,North Carolina,Fr *,LAL to UTH,7
2016,1,2,Brandon Ingram,SF,6-8,190.0,18.0,Duke,Fr *,,9
2016,2,32,Ivica Zubac,C,7-0,240.0,19.0,KK Mega Bemax (Serbia),1997 DOB *,,9
2015,1,2,D'Angelo Russell,SG,6-3,193.0,19.0,Ohio State,Fr *,,10
2015,1,27,"Larry Nance, Jr.",SF,6-6,245.0,22.0,Wyoming,Sr,,10
2015,2,34,Anthony Brown,GF,6-7,225.0,22.0,Stanford,Sr,,3
2014,1,7,Julius Randle,PF,6-9,250.0,19.0,Kentucky,Fr *,,11
2013,2,48,Ryan Kelly,PF,6-11,230.0,22.0,Duke,Sr,,4
2012,2,60,Robert Sacre,C,7-0,270.0,23.0,Gonzaga,Sr,,4
2011,2,41,Darius Morris,G,6-4,195.0,20.0,Michigan,So *,,4
2011,2,46,Andrew Goudelock,G,6-3,200.0,22.0,Charleston,Sr,,3
2011,2,56,Chu Maduabum,PF,6-9,210.0,20.0,Bakersfield Jam,1991 DOB,LAL to DEN DEN to PHL PHL to CLE,0
2011,2,58,Ater Majok,FC,6-11,233.0,23.0,Gold Coast (Australia),1987 DOB,LAL to CHI CHI to NOP,0
2010,2,43,Devin Ebanks,F,6-9,215.0,20.0,West Virginia,So *,,3
2010,2,58,Derrick Caracter,F,6-9,276.0,22.0,UTEP,Jr *,,2
2009,1,29,Toney Douglas,G,6-2,195.0,23.0,Florida State,Sr,LAL to NYK,8
2009,2,42,Patrick Beverley,PG,6-2,180.0,20.0,Dnipro Dnipropetrovsk (Ukraine),1988 DOB,LAL to MIA,12
2009,2,59,Chinemelu Elonu,C,6-10,235.0,22.0,Texas A&M,Jr *,,0
2008,2,58,Joe Crawford,G,6-5,207.0,22.0,Kentucky,Sr,,1
2007,1,19,Javaris Crittenton,G,6-5,200.0,19.0,Georgia Tech,Fr *,,3
2007,2,40,Yue Sun,G,6-8,205.0,21.0,Beijing Olympians (United States),1985 DOB,,1
2007,2,48,Marc Gasol,C,7-1,255.0,22.0,CB Girona (Spain),1985 DOB,LAL to MEM,13
2006,1,26,Jordan Farmar,PG,6-2,180.0,19.0,UCLA,So *,,10
2006,2,51,Cheickh Samb,C,7-1,245.0,21.0,CB Cornella (Spain),1984 DOB,LAL to DET,2
2005,1,10,Andrew Bynum,C,7-0,285.0,17.0,St. Joseph High School (New Jersey),1987 DOB *,,9
2005,2,37,Ronny Turiaf,FC,6-10,241.0,22.0,Gonzaga,Sr,,10
2005,2,39,Von Wafer,GF,6-5,210.0,19.0,Florida State,So *,,7
2004,1,27,Sasha Vujacic,G,6-7,195.0,20.0,Pallalcesto Amatori Udine (Italy),1984 DOB *,,10
2004,2,56,Marcus Douthit,FC,6-11,234.0,24.0,Providence,Sr,,0
2003,1,24,Brian Cook,PF,6-9,234.0,22.0,Illinois,Sr,,9
2003,2,32,Luke Walton,F,6-8,235.0,23.0,Arizona,Sr,,10
2002,1,27,Chris Jefferies,F,6-8,225.0,22.0,Fresno State,Jr *,LAL to TOR,3
2000,1,29,Mark Madsen,C-F,6-9,240.0,24.0,Stanford,Sr,,9
1999,1,23,Devean George,F-G,6-8,235.0,21.0,Augsburg College,Sr,,11
1999,2,30,John Celestand,G,6-4,178.0,22.0,Villanova,Sr,,3
1998,1,26,Sam Jacobson,G,6-4,215.0,22.0,Minnesota,Sr,,3
1998,2,31,Ruben Patterson,F-G,6-5,223.0,22.0,Cincinnati,Sr,,10
1998,2,45,Toby Bailey,G,6-6,213.0,22.0,UCLA,Sr,LAL to PHX,4
1997,2,51,DeJuan Wheat,G,6-0,165.0,23.0,Louisville,Sr,,4
1997,2,53,Paul Rogers,C,7-0,260.0,23.0,Gonzaga,Jr *,,1
1996,1,24,Derek Fisher,G,6-1,210.0,21.0,Little Rock,Sr,,18
1995,2,37,Frankie King,G,6-1,185.0,22.0,Western Carolina,Sr,,2
