Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2025,1,20,Kasparas Jakucionis,G,6-5,200,19.0,Illinois,Fr *,,0
2024,1,15,Kel'el Ware,PF,7-0,230,20.0,Indiana,So *,,1
2024,2,43,Nikola Djurisic,F,6-8,214,20.0,KK Mega Bemax (Serbia),2004 DOB *,MIA to ATL,0
2023,1,18,"Jaime Jaquez, Jr.",GF,6-6,225,22.0,UCLA,Sr *,,2
2022,1,27,Nikola Jovic,F,6-10,205,19.0,KK Mega Bemax (Serbia),2003 DOB *,,3
2020,1,20,Precious Achiuwa,SF,6-8,243,21.0,Memphis,Fr *,,5
2019,1,13,Tyler Herro,SG,6-5,195,19.0,Kentucky,Fr *,,6
2019,2,44,Bol Bol,C,7-3,220,19.0,Oregon,Fr *,MIA to DEN,6
2017,1,14,Bam Adebayo,C,6-9,255,19.0,Kentucky,Fr *,,8
2015,1,10,Justise Winslow,SF,6-6,222,19.0,Duke,Fr *,,9
2015,2,40,Josh Richardson,G,6-5,200,21.0,Tennessee,Sr,,10
2014,1,26,P.J. Hairston,SG,6-6,230,21.0,Texas Legends,1992 DOB *,MIA to CHA,2
2014,2,55,Semaj Christon,PG,6-3,190,21.0,Xavier,So *,MIA to CHA CHA to OKC,1
2012,1,27,Arnett Moultrie,PF,6-11,250,21.0,Mississippi State,Jr *,MIA to PHL,2
2011,2,31,Bojan Bogdanovic,F,6-7,226,22.0,KK Cibona (Croatia),1989 DOB,MIA to MIN MIN to NJN,11
2010,2,32,Dexter Pittman,C,6-11,285,22.0,Texas,Sr,,4
2010,2,41,Jarvis Varnado,FC,6-9,230,22.0,Mississippi State,Sr,,2
2010,2,42,Da'Sean Butler,F,6-7,230,22.0,West Virginia,Sr,,1
2010,2,48,Latavious Williams,F,6-8,225,21.0,Tulsa 66ers,1989 DOB,MIA to OKC OKC to NOP,0
2009,2,43,Marcus Thornton,SG,6-4,205,22.0,LSU,Sr,MIA to NOP,8
2009,2,60,Robert Dozier,PF,6-9,215,23.0,Memphis,Sr,,0
2008,1,2,Michael Beasley,PF,6-9,235,19.0,Kansas State,Fr *,,11
