Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2025,2,50,Kobe Sanders,F,6-8,207.0,23.0,Nevada,Sr,NYK to LAC,0
2024,1,24,Kyshawn George,F,6-8,200.0,20.0,Miami (FL),Fr *,NYK to WAS,1
2024,1,25,Pacome Dadiet,SF,6-9,210.0,18.0,Ratiopharm Ulm (Germany),2005 DOB *,,1
2024,2,38,Ajay Mitchell,PG,6-4,190.0,22.0,UC Santa Barbara,Jr *,NYK to OKC,1
2024,2,51,Melvin Ajinca,SF,6-8,218.0,20.0,Saint-Quentin Basketball (France),2004 DOB *,NYK to DAL,0
2022,1,11,Ousmane Dieng,SG,6-9,185.0,19.0,New Zealand (New Zealand),2003 DOB *,NYK to OKC,3
2022,2,42,Trevor Keels,PG,6-3,215.0,18.0,Duke,Fr *,,1
2021,1,19,Kai Jones,PF,6-11,221.0,20.0,Texas,So *,NYK to CHA,4
2021,1,21,Keon Johnson,PG,6-5,185.0,19.0,Tennessee,Fr *,NYK to LAC,4
2021,2,32,Jeremiah Robinson-Earl,PF,6-9,240.0,20.0,Villanova,So *,NYK to OKC,4
2021,2,58,Jericho Sims,C,6-10,250.0,22.0,Texas,Sr *,,4
2020,1,8,Obi Toppin,F,6-9,220.0,22.0,Dayton,So *,,5
2020,1,23,Leandro Bolmaro,SG,6-6,200.0,20.0,FC Barcelona II (Spain),2000 DOB *,NYK to MIN,2
2019,1,3,R.J. Barrett,SG,6-6,214.0,19.0,Duke,Fr *,,6
2019,2,55,Kyle Guy,SG,6-1,167.0,21.0,Virginia,Jr *,NYK to SAC,3
2018,1,9,Kevin Knox II,SF,6-8,215.0,18.0,Kentucky,Fr *,,7
2018,2,36,Mitchell Robinson,C,7-0,240.0,20.0,,*,,7
2017,1,8,Frank Ntilikina,PG,6-4,200.0,18.0,Strasbourg IG (France),1998 DOB *,,7
2017,2,44,Damyean Dotson,SG,6-5,205.0,23.0,Houston,Sr,,5
2017,2,58,Ognjen Jaramaz,SG,6-4,181.0,21.0,KK Mega Bemax (Serbia),1995 DOB,,0
2015,1,4,Kristaps Porzingis,FC,7-2,240.0,19.0,Real Betis Baloncesto (Spain),1995 DOB *,,10
2014,2,34,Cleanthony Early,F,6-8,210.0,23.0,Wichita State,Sr,,2
2014,2,51,Thanasis Antetokounmpo,SF,6-7,219.0,21.0,Delaware 87ers,1992 DOB,,6
2013,1,24,Tim Hardaway Jr.,SG,6-5,205.0,21.0,Michigan,Jr *,,12
2012,2,48,Kostas Papanikolaou,PF,6-8,225.0,21.0,Olympiacos (Greece),1990 DOB,NYK to POR POR to HOU,2
2011,1,17,Iman Shumpert,G,6-5,220.0,20.0,Georgia Tech,Jr *,,10
2010,2,38,Andy Rautins,G,6-4,190.0,23.0,Syracuse,Sr,,1
2010,2,39,Landry Fields,F,6-7,210.0,21.0,Stanford,Sr,,5
2009,1,8,Jordan Hill,PF,6-10,240.0,21.0,Arizona,Jr *,,8
2008,1,6,Danilo Gallinari,SF,6-10,236.0,19.0,AX Armani Exchange Milan (Italy),1988 DOB *,,16
2007,1,23,Wilson Chandler,SF,6-9,225.0,20.0,DePaul,So *,,13
2006,1,20,Renaldo Balkman,F,6-8,208.0,21.0,South Carolina,Jr *,,6
2006,1,29,Mardy Collins,G,6-6,220.0,21.0,Temple,Sr,,4
2005,1,8,Channing Frye,FC,7-0,255.0,22.0,Arizona,Sr,,14
2005,1,30,David Lee,FC,6-9,245.0,22.0,Florida,Sr,,12
2005,2,54,Dijon Thompson,SF,6-7,195.0,22.0,UCLA,Sr,NYK to PHX,2
2004,2,43,Trevor Ariza,SF,6-8,215.0,18.0,UCLA,Fr *,,18
2003,1,9,Mike Sweetney,PF,6-8,275.0,20.0,Georgetown,Jr *,,4
2003,2,30,Maciej Lampe,FC,6-11,275.0,18.0,Complutense University (Spain),1985 DOB *,,3
2003,2,39,Slavko Vranes,C,7-6,282.0,20.0,Buducnost Voli Podgorica (Montenegro),1983 DOB *,,1
2002,1,7,Nene Hilario,C,6-11,250.0,19.0,Vasco da Gama (Brazil),1982 DOB *,NYK to DEN,18
2002,2,35,Milos Vujanic,G,6-4,195.0,21.0,KK Partizan (Serbia),1980 DOB,NYK to PHX,0
2001,2,38,Ali Karadeniz,F,6-7,238.0,21.0,Arizona,Jr *,,1
2001,2,42,Eric Chenowith,C,7-1,270.0,22.0,Kansas,Sr,,3
2000,1,22,Donnell Harvey,F,6-8,220.0,19.0,Florida,Fr *,NYK to DAL,5
2000,2,39,Lavor Postell,SF,6-5,215.0,22.0,St. John's,Sr,,4
1999,1,15,Frederic Weis,C,7-2,260.0,22.0,CSP Limoges (France),1977 DOB,NYK to HOU,0
1999,2,46,J. R. Koch,F,6-10,223.0,22.0,Iowa,Sr,,2
1998,2,38,DeMarco Johnson,F,6-9,245.0,22.0,Charlotte,Sr,,1
1998,2,44,Sean Marks,F-C,6-10,250.0,22.0,California,Sr,NYK to TOR,12
1997,1,25,John Thomas,FC,6-9,265.0,21.0,Minnesota,Sr,,5
1996,1,18,John Wallace,PF,6-8,225.0,22.0,Syracuse,Sr,,7
1996,1,19,Walter McCarty,F,6-10,230.0,22.0,Kentucky,Sr,,10
1996,1,21,Dontae Jones,F,6-8,220.0,21.0,Mississippi State,Jr *,,4
1994,1,24,Monty Williams,SF,6-8,225.0,22.0,Notre Dame,Sr,,10
1994,1,26,Charlie Ward,G,6-2,190.0,23.0,Florida State,Sr,,11
1992,1,20,Hubert Davis,SF,6-5,183.0,22.0,North Carolina,Sr,,12
1991,1,12,Greg Anthony,PG,6-0,176.0,23.0,UNLV,Sr,,11
1990,1,17,Jerrod Mustaf,FC,6-10,238.0,20.0,Maryland,So *,,6
1989,2,50,Brian Quinnett,PF,6-8,235.0,23.0,Washington State,Sr,,4
1988,1,19,Rod Strickland,PG,6-3,175.0,21.0,DePaul,Jr *,,17
1988,2,37,Greg Butler,C,6-11,240.0,22.0,Stanford,Sr,,5
1988,3,69,Phil Stinnie,PF,6-8,240.0,,VCU,Sr,,0
1987,1,18,Mark Jackson,PG,6-1,180.0,22.0,St. John's,Sr,,17
1987,2,25,Ron Moore,C,7-0,260.0,25.0,West Virginia State,Sr,,2
1987,3,49,Jerome Batiste,PF,6-8,225.0,23.0,McNeese State,Sr,,0
1987,4,71,Mike Morgan,C,,,,Drake,Sr,,0
1987,5,95,Glenn Clem,GF,6-5,,,Vanderbilt,Sr,,0
1987,6,117,Howard Triche,F,6-5,195.0,,Syracuse,Sr,,1
1987,7,141,Wayne Williams,G,,,,Saint Joseph's,Sr,,0
1986,1,5,Kenny Walker,F,6-8,210.0,21.0,Kentucky,Sr,,7
1986,2,47,Michael Jackson,G,6-2,183.0,21.0,Georgetown,Sr,,4
1986,4,71,Calvin Thompson,SG,6-6,205.0,,Kansas,Sr,,0
1986,5,94,Jerome Mincey,,,,,UAB,Sr,,0
1986,6,117,Butch Wade,F,,,,Michigan,Sr,,0
1986,7,140,Duane Kendall,,,,,South Carolina,Sr,,0
1985,1,1,Patrick Ewing,C,7-0,240.0,22.0,Georgetown,Sr,,17
1985,2,47,Gerald Wilkins,SG,6-6,185.0,21.0,Chattanooga,Jr,,14
1985,4,73,Fred Cofield,G,6-3,190.0,23.0,Eastern Michigan,Sr,,2
1985,5,96,Mike Schlegel,C,6-8,,,VCU,Sr,,0
1985,6,119,Kent Lockhart,GF,,,,UTEP,Sr,,0
1985,7,142,Ken Bantum,C,6-7,,,Cornell,Sr,,0
1984,3,64,Curtis Green,PG,6-1,185.0,,Southern Mississippi,Sr,,0
1984,4,87,Bob Thornton,C,6-10,225.0,21.0,UC Irvine,Jr,,8
1984,6,133,Eddie Lee Wilkins,FC,6-10,220.0,22.0,Gardner-Webb,Sr,,6
1984,7,156,Ken Bannister,FC,6-9,235.0,24.0,St. Augustine's,Sr,,5
1984,8,179,Ricky Tunstall,,,,,Youngstown State,Sr,,0
1984,9,201,Marc Marotta,F,6-7,210.0,21.0,Marquette,Sr,,0
1984,10,223,Mike Henderson,,,,,LIU Post,Sr,,0
1983,1,12,Darrell Walker,SG,6-4,180.0,22.0,Arkansas,Sr,,10
1983,4,82,Mark Jones,PG,6-1,175.0,22.0,St. Bonaventure,Sr,,2
1983,5,105,Troy Lee Mikell,,,,,East Tennessee State,Sr,,1
1983,6,128,Tony Simms,GF,6-5,,24.0,Boston University,Sr,,0
1983,7,151,Desi Barimore,,,,,Fresno State,Sr,,0
1983,8,174,Mike Lang,,,,,Penn State,Sr,,2
1983,9,196,Charles Jones,,,,,Marshall,Sr,,1
1983,10,217,Bernard Randolph,,,,,DePaul,Sr,,0
1982,1,6,Trent Tucker,G,6-5,193.0,22.0,Minnesota,Sr,,11
