Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,25,Jase Richardson,G,6-1,180,19,Michigan State,Fr  *,,0,ORL
2024,1,18,Tristan Da Silva,F,6-8,217,23,Colorado,Sr  *,,1,ORL
2023,1,6,Anthony Black,G,6-7,200,19,Arkansas,Fr  *,,2,ORL
2023,1,11,Jett Howard,GF,6-8,215,19,Michigan,Fr  *,,2,ORL
2022,1,1,Paolo Banchero,C,6-10,250,19,Duke,Fr  *,,3,ORL
2022,2,32,Caleb Houstan,SF,6-8,205,19,Michigan,Fr  *,,3,ORL
2021,1,5,Jalen Suggs,SG,6-5,205,20,Gonzaga,Fr  *,,4,ORL
2021,1,8,Franz Wagner,SF,6-10,220,19,Michigan,So  *,,4,ORL
2020,1,15,Cole Anthony,PG,6-2,185,20,North Carolina,Fr  *,,5,ORL
2019,1,16,Chuma Okeke,PF,6-7,229,20,Auburn,So  *,,5,ORL
2018,1,6,Mo Bamba,C,7-0,231,20,Texas,Fr  *,,7,ORL
2018,2,35,"Melvin Frazier, Jr.",SF,6-5,215,21,Tulane,Jr  *,,3,ORL
2017,1,6,Jonathan Isaac,SF,6-10,230,19,Florida State,Fr  *,,8,ORL
2017,2,33,Wesley Iwundu,F,6-6,195,22,Kansas State,Sr,,5,ORL
2016,2,41,Stephen Zimmerman,C,6-11,240,19,UNLV,Fr  *,,1,ORL
2015,1,5,Mario Hezonja,SG,6-8,220,20,FC Barcelona II (Spain),1995 DOB  *,,5,ORL
2014,1,4,Aaron Gordon,F,6-8,235,18,Arizona,Fr  *,,11,ORL
2013,1,2,Victor Oladipo,G,6-3,213,21,Indiana,Jr  *,,11,ORL
2013,2,51,Romero Osby,PF,6-8,240,23,Oklahoma,Sr,,0,ORL
2012,1,19,Andrew Nicholson,F,6-9,250,22,St. Bonaventure,Sr,,5,ORL
2012,2,49,Kyle O'Quinn,F,6-10,250,22,Norfolk State,Sr,,8,ORL
2011,2,53,DeAndre Liggins,G,6-6,210,23,Kentucky,Jr  *,,5,ORL
2010,1,29,Daniel Orton,PF,6-10,255,19,Kentucky,Fr  *,,4,ORL
2010,2,59,Stanley Robinson,F,6-9,220,21,UConn,Sr,,0,ORL
2008,1,22,Courtney Lee,SG,6-5,215,22,Western Kentucky,Sr,,12,ORL
2006,1,11,J.J. Redick,G,6-4,200,22,Duke,Sr,,15,ORL
2006,2,41,James Augustine,FC,6-10,235,22,Illinois,Sr,,2,ORL
2005,1,11,Fran Vazquez,FC,6-10,230,22,Unicaja (Spain),1983 DOB,,0,ORL
2005,2,38,Travis Diener,PG,6-1,174,23,Marquette,Sr,,5,ORL
2004,1,1,Dwight Howard,C,6-11,265,18,Southwest Atlanta Christian Academy (Georgia),1985 DOB  *,,18,ORL
