Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,5,Ace Bailey,SF,6-9,200.0,18.0,Rutgers,Fr  *,,0,UTA
2025,1,21,Will Riley,F,6-9,180.0,19.0,Illinois,Fr  *,UTH to  WAS,0,UTA
2025,2,53,John Tonje,GF,6-4,218.0,24.0,Wisconsin,Sr,,0,UTA
2024,1,10,Cody Williams,F,6-8,190.0,19.0,Colorado,Fr  *,,1,UTA
2024,1,29,Isaiah Collier,G,6-4,210.0,19.0,USC,Fr  *,,1,UTA
2024,2,32,Kyle Filipowski,C,6-11,250.0,20.0,Duke,So  *,,1,UTA
2023,1,9,Taylor Hendricks,F,6-9,215.0,19.0,UCF,Fr  *,,2,UTA
2023,1,16,Keyonte George,G,6-4,185.0,19.0,Baylor,Fr  *,,2,UTA
2023,1,28,Brice Sensabaugh,F,6-6,235.0,19.0,Ohio State,Fr  *,,2,UTA
2021,1,30,Santi Aldama,C,7-0,215.0,20.0,Loyola (MD),So  *,UTH to  MEM,4,UTA
2020,1,27,Udoka Azubuike,C,6-11,270.0,21.0,Kansas,Sr,,4,UTA
2020,2,38,Saben Lee,G,6-2,183.0,21.0,Vanderbilt,Jr  *,UTH to  DET,4,UTA
2019,1,23,Darius Bazley,PF,6-9,216.0,19.0,,*,UTH to  MEM MEM  to OKC,5,UTA
2019,2,53,Justin Wright-Foreman,SG,6-0,190.0,21.0,Hofstra,Sr,,1,UTA
2018,1,21,Grayson Allen,SG,6-3,198.0,22.0,Duke,Sr,,7,UTA
2018,2,52,Vince Edwards,SF,6-8,225.0,22.0,Purdue,Sr,UTH to  HOU,1,UTA
2017,1,24,Tyler Lydon,PF,6-10,225.0,21.0,Syracuse,So  *,UTH to  DEN,2,UTA
2017,1,30,Josh Hart,SG,6-5,215.0,22.0,Villanova,Sr,UTH to  LAL,8,UTA
2017,2,42,Thomas Bryant,C,6-9,248.0,19.0,Indiana,So  *,UTH to  LAL,8,UTA
2017,2,55,Nigel Williams-Goss,SG,6-3,190.0,22.0,Gonzaga,Jr  *,,1,UTA
2016,1,12,Taurean Prince,F,6-6,218.0,22.0,Baylor,Sr,UTH to  ATL,9,UTA
2016,2,42,Isaiah Whitehead,SG,6-4,213.0,21.0,Seton Hall,So  *,UTH to  BRK,3,UTA
2016,2,52,Joel Bolomboy,FC,6-9,235.0,22.0,Weber State,Sr,,2,UTA
2016,2,60,Tyrone Wallace,G,6-5,198.0,22.0,California,Sr,,4,UTA
2015,1,12,Trey Lyles,SF,6-9,234.0,19.0,Kentucky,Fr  *,,10,UTA
2015,2,42,Olivier Hanlan,G,6-4,190.0,22.0,Boston College,Jr  *,UTH to  SAN,0,UTA
2015,2,54,Daniel Diez,SF,6-8,216.0,22.0,Gipuzkoa Basket (Spain),1993 DOB,UTH to  POR POR  to NYK NYK  to POR,0,UTA
2014,1,5,Dante Exum,PG,6-5,214.0,18.0,Australian Institute of Sport (Australian Capital Territory),1995 DOB  *,,9,UTA
2014,1,23,Rodney Hood,F,6-8,208.0,21.0,Duke,So  *,,8,UTA
2014,2,35,Jarnell Stokes,FC,6-9,260.0,20.0,Tennessee,Jr  *,UTH to  MEM,4,UTA
2013,1,14,Shabazz Muhammad,GF,6-6,222.0,20.0,UCLA,Fr  *,UTH to  MIN,5,UTA
2013,1,21,Gorgui Dieng,FC,6-10,250.0,23.0,Louisville,Jr  *,UTH to  MIN,10,UTA
2013,2,46,Erick Green,G,6-3,178.0,22.0,Virginia Tech,Sr,UTH to  DEN,2,UTA
2012,2,47,Kevin Murphy,GF,6-5,185.0,22.0,Tennessee Tech,Sr,,1,UTA
2011,1,3,Enes Freedom,F,6-10,250.0,19.0,Kentucky,Fr  *,,11,UTA
2011,1,12,Alec Burks,SG,6-5,214.0,19.0,Colorado,So  *,,14,UTA
2010,1,9,Gordon Hayward,GF,6-7,225.0,20.0,Butler,So  *,,14,UTA
2010,2,55,Jeremy Evans,F,6-9,200.0,22.0,Western Kentucky,Sr,,7,UTA
2009,1,20,Eric Maynor,G,6-3,175.0,22.0,VCU,Sr,,5,UTA
2009,2,50,Goran Suton,C,6-8,245.0,23.0,Michigan State,Sr,,0,UTA
2008,1,23,Kosta Koufos,C,7-0,265.0,19.0,Ohio State,Fr  *,,11,UTA
2008,2,44,Ante Tomic,C,7-1,225.0,21.0,KK Zagreb (Croatia),1987 DOB  *,UTH to  NYK NYK  to POR,0,UTA
2008,2,53,Tadija Dragicevic,PF,6-9,235.0,22.0,KK Crvena Zvezda (Serbia),1986 DOB,UTH to  DAL DAL  to CHI CHI  to HOU HOU  to NYK,0,UTA
2007,1,25,Morris Almond,GF,6-6,220.0,22.0,Rice,Sr,,3,UTA
2007,2,55,Herbert Hill,FC,6-10,240.0,22.0,Providence,Sr,UTH to  PHL,1,UTA
2006,1,14,Ronnie Brewer,GF,6-7,235.0,21.0,Arkansas,Jr  *,,8,UTA
2006,2,46,Dee Brown,G,6-0,185.0,21.0,Illinois,Sr,,2,UTA
2006,2,47,Paul Millsap,FC,6-7,250.0,21.0,Louisiana Tech,Jr  *,,16,UTA
2005,1,3,Deron Williams,PG,6-3,200.0,21.0,Illinois,Jr  *,,12,UTA
2005,2,34,C.J. Miles,GF,6-6,220.0,18.0,Skyline High School (Texas),1987 DOB  *,,16,UTA
2005,2,51,Robert Whaley,C,6-10,260.0,23.0,Walsh,Sr,,1,UTA
2004,1,14,Kris Humphries,PF,6-9,235.0,19.0,Minnesota,Fr  *,,13,UTA
2004,1,16,Kirk Snyder,F-G,6-6,225.0,21.0,Nevada,Jr  *,,4,UTA
2004,1,21,Pavel Podkolzin,C,7-5,260.0,19.0,OpenJobMetis Varese (Italy),1985 DOB  *,UTH to  DAL,2,UTA
