Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,1,13,Derik Queen,C,6-9,250.0,20.0,Maryland,Fr *,ATL to NOP,0,1642852.0,USA,2025
2025,1,22,Drake Powell,F,6-5,195.0,19.0,North Carolina,Fr *,ATL to BRK,0,1642962.0,USA,2025
2024,1,1,Zaccharie Risacher,F,6-8,200.0,19.0,JL Bourg-en-Bresse (France),2005 DOB *,,1,1642258.0,France,2025
2023,1,15,Kobe Bufkin,G,6-4,195.0,19.0,Michigan,So *,,2,1641723.0,USA,2024
2023,2,46,Seth Lundy,GF,6-4,220.0,23.0,Penn State,Sr *,,2,1641754.0,USA,2024
2022,1,16,"A.J. Griffin, Jr.",SG,6-6,220.0,18.0,Duke,Fr *,,2,1631100.0,USA,2023
2022,2,44,Ryan Rollins,G,6-3,180.0,19.0,Toledo,So *,ATL to GOS,3,1631157.0,USA,2025
2021,1,20,Jalen Johnson,PF,6-8,219.0,19.0,Duke,Fr *,,4,1630552.0,USA,2025
2021,2,48,Sharife Cooper,PG,6-0,176.0,20.0,Auburn,Fr *,,2,1630536.0,USA,2025
2020,1,6,Onyeka Okongwu,PF,6-10,240.0,19.0,USC,Fr *,,5,1630168.0,USA,2025
2020,2,50,Skylar Mays,PG,6-3,205.0,23.0,LSU,Sr,,4,1630219.0,USA,2023
2019,1,8,Jaxson Hayes,PF,7-0,220.0,19.0,Texas,Fr *,ATL to NOP,6,1629637.0,USA,2025
2019,1,10,Cam Reddish,G,6-7,217.0,19.0,Duke,Fr *,,6,1629629.0,USA,2024
2019,2,35,Didi Louzada,SF,6-5,215.0,19.0,Franca (Brazil),1999 DOB *,ATL to NOP,2,1629712.0,Brazil,2021
2018,1,3,Luka Doncic,SF,6-8,230.0,19.0,Real Madrid (Spain),1999 DOB *,ATL to DAL,7,1629029.0,Slovenia,2025
2018,1,19,Kevin Huerter,SF,6-6,198.0,19.0,Maryland,So *,,7,1628989.0,USA,2025
2018,1,30,Omari Spellman,PF,6-8,245.0,20.0,Villanova,Fr *,,3,1629016.0,USA,2019
2018,2,34,Devonte' Graham,PG,6-1,195.0,23.0,Kansas,Sr,ATL to CHA,6,1628984.0,USA,2023
2017,1,19,John Collins,PF,6-9,226.0,19.0,Wake Forest,So *,,8,1628381.0,USA,2025
2017,2,41,Tyler Dorsey,SG,6-5,183.0,21.0,Oregon,So *,,3,1628416.0,USA,2022
2017,2,60,Alpha Kaba,PF,6-10,242.0,21.0,KK Mega Bemax (Serbia),1996 DOB *,ATL to HOU HOU to ATL,0,,,
2016,1,21,DeAndre' Bembry,GF,6-5,210.0,21.0,Saint Joseph's,Jr *,,6,1627761.0,USA,2021
2016,2,44,Isaia Cordinier,G,6-5,197.0,19.0,Denain ASC Voltaire (France),1996 DOB *,ATL to BRK,0,,,
2016,2,54,Kay Felder,PG,5-9,176.0,21.0,Oakland,Jr *,ATL to CLE,2,1627770.0,USA,2017
2015,1,15,"Kelly Oubre, Jr.",SF,6-8,203.0,19.0,Kansas,Fr *,ATL to WAS,10,1626162.0,USA,2025
2015,2,50,Marcus Eriksson,GF,6-7,178.0,21.0,BAXI Manresa (Spain),1993 DOB,,0,,,
2015,2,59,Dimitrios Agravanis,F,6-10,210.0,20.0,Olympiacos (Greece),1994 DOB *,ATL to CLE CLE to SAC SAC to MIL,0,,,
2014,1,15,Adreian Payne,C,6-10,237.0,23.0,Michigan State,Sr,,4,203940.0,USA,2017
2014,2,43,Edy Tavares,C,7-3,265.0,22.0,Dreamland Gran Canaria (Spain),1992 DOB,,2,204002.0,Cabo Verde,2016
