Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,1,8,Egor Demin,PG,6-8,200.0,19.0,Brigham Young,Fr *,,0,1642856.0,Russia,2025
2025,1,19,Nolan Traore,F,6-3,185.0,19.0,Centre Federal Du Basket-Ball (France),2006 DOB *,,0,1642849.0,France,2025
2025,1,26,Ben Saraf,G,6-6,200.0,19.0,Ratiopharm Ulm (Germany),2006 DOB *,,0,1642879.0,Israel,2025
2025,1,27,Danny Wolf,C,6-11,250.0,21.0,Michigan,Jr *,,0,1642874.0,USA,2025
2025,2,36,Adou Thiero,G,6-7,220.0,21.0,Arkansas,Jr *,BRK to LAL,0,1642876.0,USA,2025
2023,1,21,Noah Clowney,F,6-10,210.0,18.0,Alabama,Fr *,,2,1641730.0,USA,2025
2023,1,22,Dariq Whitehead,F,6-6,220.0,18.0,Duke,Fr *,,2,1641727.0,USA,2024
2023,2,51,Jalen Wilson,F,6-6,220.0,22.0,Kansas,Jr *,,2,1630592.0,USA,2025
2021,1,27,Cam Thomas,PG,6-3,210.0,19.0,LSU,Fr *,,4,1630560.0,Japan,2025
2021,2,44,Kessler Edwards,SG,6-8,203.0,20.0,Pepperdine,Jr *,,4,1630556.0,USA,2024
2021,2,49,Marcus Zegarowski,PG,6-2,181.0,22.0,Creighton,Jr *,,0,,,
2021,2,59,Raiquan Gray,PF,6-7,269.0,22.0,Florida State,Jr *,,2,,,
2020,1,19,Saddiq Bey,F,6-8,215.0,21.0,Villanova,So *,BRK to DET,5,1630180.0,USA,2025
2020,2,55,Jay Scrubb,SG,6-4,220.0,20.0,John A. Logan,So *,BRK to LAC,3,1630206.0,USA,2022
2019,1,17,Nickeil Alexander-Walker,SG,6-5,205.0,20.0,Virginia Tech,So *,BRK to ATL ATL to NOP,6,1629638.0,Canada,2025
2019,1,27,Mfiondu Kabengele,SF,6-10,250.0,21.0,Florida State,So *,BRK to LAC,3,1629662.0,Canada,2022
2019,2,31,Nicolas Claxton,C,6-11,215.0,20.0,Georgia,So *,,6,,,
2018,1,29,Dzanan Musa,SG,6-9,217.0,19.0,Cedevita (Croatia),1999 DOB *,,2,1629058.0,Bosnia and Herzegovina,2019
2018,2,40,Rodions Kurucs,SF,6-9,230.0,20.0,Barca (Spain),1998 DOB *,,3,1629066.0,Latvia,2020
2018,2,45,Hamidou Diallo,SG,6-5,202.0,19.0,Kentucky,Fr *,BRK to CHA CHA to OKC,6,1628977.0,USA,2023
2017,1,22,Jarrett Allen,C,6-9,243.0,19.0,Texas,Fr *,,8,1628386.0,USA,2025
2017,1,27,Kyle Kuzma,F,6-8,221.0,21.0,Utah,Jr *,BRK to LAL,8,1628398.0,USA,2025
2017,2,57,Sasha Vezenkov,PF,6-8,225.0,21.0,FC Barcelona II (Spain),1995 DOB,BRK to CLE CLE to SAC,1,1628426.0,Bulgaria,2023
2016,2,55,Marcus Paige,G,6-0,164.0,22.0,North Carolina,Sr,BRK to UTH,1,1627779.0,USA,2017
2015,1,29,Chris McCullough,PF,6-11,200.0,20.0,Syracuse,Fr *,,3,1626191.0,USA,2017
2015,2,41,Pat Connaughton,SF,6-5,209.0,22.0,Notre Dame,Sr,BRK to POR,10,1626192.0,USA,2025
2013,1,22,Mason Plumlee,PF,7-0,254.0,23.0,Duke,Sr,,12,203486.0,USA,2025
2012,2,57,Ilkan Karaman,F,6-8,254.0,22.0,Pinar Karsiyaka (Turkey),1990 DOB,BRK to CLE CLE to MIL MIL to SAC,0,,,
2011,1,27,JaJuan Johnson,FC,6-10,220.0,22.0,Purdue,Sr,NJN to BOS,1,202707.0,USA,2011
2011,2,36,Jordan Williams,PF,6-10,260.0,20.0,Maryland,So *,,1,202716.0,USA,2011
2010,1,3,Derrick Favors,FC,6-10,265.0,18.0,Georgia Tech,Fr *,,13,202324.0,USA,2021
2010,1,27,Jordan Crawford,G,6-5,195.0,21.0,Xavier,So *,NJN to ATL,6,202348.0,USA,2017
2010,2,31,Tibor Pleiss,C,7-3,256.0,20.0,Brose Baskets Bamberg (Germany),1989 DOB *,NJN to ATL ATL to OKC OKC to UTH,1,202353.0,Germany,2015
2009,1,11,Terrence Williams,GF,6-6,220.0,21.0,Louisville,Sr,,4,201944.0,USA,2012
2008,1,10,Brook Lopez,C,7-1,282.0,20.0,Stanford,So *,,17,201572.0,USA,2025
2008,1,21,Ryan Anderson,PF,6-10,240.0,20.0,California,So *,,12,201583.0,USA,2019
2008,2,40,Chris Douglas-Roberts,SF,6-7,210.0,21.0,Memphis,Jr *,,6,201604.0,USA,2014
2007,1,17,Sean Williams,C,6-10,235.0,20.0,Boston College,Jr *,,4,201157.0,USA,2011
2006,1,22,Marcus D. Williams,G,6-3,205.0,20.0,UConn,Jr *,,4,,,
2006,1,23,Josh Boone,C,6-10,237.0,21.0,UConn,Jr *,,4,200767.0,USA,2009
2006,2,54,Hassan Adams,G,6-4,220.0,22.0,Arizona,Sr,,2,200801.0,USA,2008
2005,1,15,Antoine Wright,GF,6-7,210.0,21.0,Texas A&M,Jr *,,6,101120.0,USA,2010
2005,2,43,Mile Ilic,C,7-1,255.0,21.0,KK FMP (Serbia),1984 DOB *,,1,101148.0,Serbia,2006
2004,1,22,Viktor Khryapa,PF,6-7,220.0,21.0,CSKA Moscow (Russia),1982 DOB,NJN to POR,4,2751.0,Russia,2007
2004,2,51,Christian Drejer,F,6-9,225.0,21.0,Barca (Spain),1982 DOB,,0,,,
2003,1,22,Zoran Planinic,GF,6-7,210.0,20.0,Khimki (Russia),1982 DOB *,,3,2565.0,Croatia,2005
2003,2,51,Kyle Korver,SF,6-7,212.0,22.0,Creighton,Sr,NJN to PHL,17,2594.0,USA,2019
2002,1,24,Nenad Krstic,C,6-10,255.0,18.0,KK Partizan (Serbia),1983 DOB *,,7,2420.0,Serbia,2010
2002,2,53,Tamar Slay,GF,6-8,215.0,22.0,Marshall,Sr,,3,2447.0,USA,2004
2001,1,7,Eddie Griffin,F,6-10,220.0,19.0,Seton Hall,Fr *,NJN to HOU,6,2204.0,USA,2006
2001,2,34,Brian Scalabrine,PF,6-9,241.0,23.0,USC,Sr,,11,2243.0,USA,2011
2000,1,1,Kenyon Martin,F,6-9,240.0,22.0,Cincinnati,Sr,,15,2030.0,USA,2014
2000,2,36,Soumaila Samake,C,7-0,230.0,22.0,Cincinnati Stuff (United States),1978 DOB,,4,2066.0,Mali,2002
1999,2,34,Evan Eschmeyer,C,6-11,255.0,24.0,Northwestern,Sr,,6,1915.0,USA,2003
1997,1,7,Tim Thomas,F,6-10,240.0,20.0,Villanova,Fr *,NJN to PHL,13,1501.0,USA,2009
1997,1,21,Anthony Parker,GF,6-6,215.0,22.0,Bradley,Sr,NJN to PHL,9,1515.0,USA,2011
1996,1,8,Kerry Kittles,G,6-5,179.0,22.0,Villanova,Sr,,9,954.0,USA,2004
1995,1,9,Ed O'Bannon,F,6-8,222.0,22.0,UCLA,Sr,,4,709.0,USA,1996
1994,1,14,Yinka Dare,C,7-1,270.0,21.0,George Washington,So *,,5,212.0,USA,1997
1993,1,16,Rex Walters,G,6-4,190.0,23.0,Kansas,Sr,,8,777.0,USA,1999
1993,2,36,John Best,PF,6-8,215.0,22.0,Tennessee Tech,Sr,,1,,,
1992,2,29,P.J. Brown,C,6-11,225.0,22.0,Louisiana Tech,Sr,,15,136.0,USA,2007
1992,2,40,Steve Rogers,SG,6-5,190.0,23.0,Alabama State,Sr,,1,,,
1991,1,2,Kenny Anderson,PG,6-0,168.0,20.0,Georgia Tech,So *,,14,72.0,USA,2004
1991,2,53,Von McDade,G,6-4,185.0,24.0,Milwaukee,Sr,,1,,,
1990,1,1,Derrick Coleman,FC,6-10,230.0,23.0,Syracuse,Sr,,15,934.0,USA,2004
1990,1,22,Tate George,SG,6-5,195.0,22.0,UConn,Sr,,6,76801.0,USA,1994
1989,1,12,Mookie Blaylock,PG,6-1,190.0,22.0,Oklahoma,Sr,,13,302.0,USA,2001
1989,2,32,Stanley Brundy,F,6-6,210.0,21.0,DePaul,Sr,,2,76288.0,USA,1989
1988,1,4,Chris Morris,SF,6-8,210.0,22.0,Auburn,Sr,,11,356.0,USA,1998
1988,2,32,Charles Shackleford,F-C,6-10,225.0,22.0,NC State,Jr *,,8,1593.0,USA,1998
1988,3,52,Derrick Hamilton,F,6-7,225.0,22.0,Southern Mississippi,Sr,,1,,,
1987,1,3,Dennis Hopson,GF,6-5,200.0,22.0,Ohio State,Sr,,5,77054.0,USA,1991
1987,3,48,Jamie Waller,G,6-4,215.0,22.0,Virginia Union,Sr,,2,78445.0,USA,1987
1987,4,72,Andrew Moten,PG,6-0,175.0,,Florida,Sr,,0,,,
1987,5,94,James Blackmon,G,6-3,180.0,22.0,Kentucky,Sr,,0,,,
1987,6,118,Perry Bromwell,PG,6-2,,,Pennsylvania,Sr,,0,,,
1987,7,140,Frank Booker,,,,,Bowling Green,Sr,,0,,,
1986,1,13,Pearl Washington,G,6-2,190.0,22.0,Syracuse,Jr *,,3,,,
1986,4,81,Steve Hale,SG,6-4,180.0,,North Carolina,Sr,,0,,,
1986,5,105,Archie Johnson,,,,,UAB,Sr,,0,,,
1986,6,127,Troy Webster,,,,,George Washington,Sr,,0,,,
1986,7,151,Jim Dolan,F,6-3,,,Notre Dame,Sr,,0,,,
1985,2,36,Yvon Joseph,C,6-11,245.0,27.0,Georgia Tech,Sr,,0,77214.0,USA,1985
1985,2,38,Fernando Martin,C,6-9,220.0,23.0,Real Madrid (Spain),1962 DOB,,2,77472.0,Spain,1986
1985,3,62,Nigel Miguel,GF,6-5,195.0,22.0,UCLA,Sr,,0,,,
1985,5,108,Kelly Blaine,,,,,South Alabama,Sr,,0,,,
1985,6,130,George Almones,G,6-3,188.0,,Louisiana,Jr *,,1,,,
1985,7,154,Gary McLain,PG,,,,Villanova,Sr,,0,,,
1984,1,17,Jeff Turner,FC,6-9,230.0,22.0,Vanderbilt,Sr,,12,78381.0,USA,1995
1984,3,63,Yommy Sangodeyi,PF,6-9,230.0,17.0,Sam Houston State,Jr *,,1,,,
1984,4,85,Hank Cornley,SF,6-7,205.0,,Illinois State,Sr,,1,,,
1984,5,109,Michael Gerren,,,,,South Alabama,Sr,,0,,,
1984,6,131,Oscar Schmidt,PF,6-9,236.0,26.0,,1958 DOB,,0,,,
1984,7,155,Sean Kerins,FC,6-8,225.0,,Syracuse,Sr,,1,,,
1984,8,177,Chris Winans,C,,,,Utah,Sr,,0,,,
1984,9,200,Billy Ryan,G,,,,Princeton,Sr,,0,,,
1984,10,221,Phil Jamison,,,,,Saint Peter's,Sr,,0,,,
1983,2,44,Horace Owens,SG,6-3,190.0,21.0,Rhode Island,Sr,,1,,,
1983,3,59,Bruce Kuczenski,PF,6-10,230.0,22.0,UConn,Sr,,2,77318.0,USA,1983
1983,4,87,Barney Mines,SG,6-3,180.0,,Bradley,Sr,,0,,,
1983,5,110,Tyren Naulls,,,,,Texas A&M,Sr,,0,,,
1983,6,133,Oscar Taylor,,,,,New Orleans,Sr,,0,,,
1983,7,156,Keith Bennett,,,,,Sacred Heart,Sr,,0,,,
1983,8,179,Joe Myers,,,,,Duquesne,Sr,,0,,,
1983,9,201,Kevin Black,,,,,Rutgers,Sr,,1,,,
1983,10,222,Rich Simkus,C,,,,Princeton,Sr,,0,,,
1982,1,13,Sleepy Floyd,PG,6-3,170.0,22.0,Georgetown,Sr,,13,76726.0,USA,1994
1982,1,21,Eddie Phillips,F,6-7,225.0,20.0,Alabama,Sr,,1,77854.0,USA,1982
1982,3,59,Jimmy Black,PG,6-2,160.0,21.0,North Carolina,Sr,,0,,,
1982,4,80,James Griffin,PF,6-10,200.0,,Illinois,Sr,,0,,,
1982,4,82,Tony Brown,GF,6-6,185.0,21.0,Arkansas,Sr,,10,76268.0,USA,1991
1982,5,105,Chris Giles,,,,,UAB,Sr,,0,,,
1982,6,128,Mel Daniel,,,,,Furman,Sr,,0,,,
1982,7,151,Tony Anderson,,,,,UCLA,Sr,,0,,,
1982,8,174,Otis Jackson,,,,,Memphis,Sr,,0,,,
1982,9,197,Gary Johnson,G,,,,Oral Roberts,Sr,,0,,,
1982,10,218,Sean Tuohy,PG,6-0,175.0,22.0,Ole Miss,Sr,,0,,,
1981,1,3,Buck Williams,PF,6-8,215.0,21.0,Maryland,Jr *,,17,433.0,USA,1997
1981,1,10,Albert King,GF,6-6,190.0,21.0,Maryland,Sr,,9,77263.0,USA,1991
1981,1,18,Ray Tolbert,F,6-9,225.0,22.0,Indiana,Sr,,5,78348.0,USA,1988
1981,3,49,David Burns,PG,6-2,180.0,22.0,Saint Louis,Sr,,1,76307.0,USA,1981
1981,4,72,Ed Sherod,PG,6-2,170.0,21.0,VCU,Sr,,4,,,
1981,5,95,Joe Cooper,FC,6-10,230.0,23.0,Colorado,Sr,,3,76443.0,USA,1984
1981,6,118,Kevin Lynam,G,6-2,180.0,,La Salle,Sr,,0,,,
1981,7,141,Rod Robertson,,,,,Northwestern,Sr,,0,,,
1981,9,186,Rudy Williams,F,6-7,,,Providence,Sr,,0,,,
1981,10,206,Vic Sison,,,,,UCLA,Sr,,0,,,
1980,1,6,Mike O'Koren,GF,6-7,207.0,22.0,North Carolina,Sr,,8,77754.0,USA,1987
1980,1,7,Mike Gminski,C,6-11,250.0,20.0,Duke,Sr,,14,76826.0,USA,1993
1980,3,52,Lowes Moore,PG,6-1,170.0,23.0,West Virginia,Sr,,4,77635.0,USA,1982
1980,4,75,Rory Sparrow,G,6-2,175.0,21.0,Villanova,Sr,,12,600009.0,USA,1991
1980,5,98,Aaron Curry,G,,,,Oklahoma,Sr,,0,,,
1980,6,121,Rick Mattick,,,,,LSU,Sr,,0,,,
1980,7,144,Larry Spicer,,,,,UAB,Jr,,0,,,
1980,8,165,Lloyd Terry,,,,,New Orleans,Sr,,0,,,
1980,9,185,Barry Young,,,,,Colorado State,Sr,,0,,,
1979,1,8,Calvin Natt,F,6-6,220.0,22.0,Louisiana-Monroe,Sr,,11,77691.0,USA,1989
1979,1,11,Cliff Robinson,F,6-9,220.0,19.0,USC,So *,,11,,,
1979,3,51,John Gerdy,SG,6-4,185.0,,Davidson,Sr,,0,,,
1979,5,95,Jim Abromaitis,F,,,,UConn,RS-Jr,,1,,,
1979,6,115,Tony Smith,SG,,,,UNLV,Jr,,1,380.0,USA,2000
1979,7,135,Jim Strickland,,,,,South Carolina,Jr,,0,,,
1979,8,154,Henry Hollingsworth,PG,5-11,,,Hofstra,Sr,,0,,,
1979,9,173,Ricky Free,,,,,Columbia,Sr,,0,,,
1979,10,191,Eric Fleisher,,,,,Tulane,Sr,,0,,,
1978,1,13,Winford Boynes,SG,6-6,185.0,21.0,San Francisco,Sr *,,3,76225.0,USA,1980
1978,3,45,Mike Phillips,FC,6-10,240.0,22.0,Kentucky,Sr,,0,,,
1978,3,62,Dave Batton,C,6-10,240.0,22.0,Notre Dame,Sr,,2,76124.0,USA,1983
1978,4,84,Walter Jordan,F,6-7,198.0,22.0,Purdue,Sr,,2,77209.0,USA,1980
1978,5,89,Cecile Rose,G,,,,Houston,Sr,,0,,,
1978,6,111,Golie Augustus,,,,,South Carolina,Sr,,0,,,
1978,7,132,Doug Jemison,,,,,San Francisco,Sr,,1,,,
1978,8,153,Bruce Campbell,PF,6-9,,,Providence,Sr,,1,,,
1978,9,171,Frank Sowinski,F,6-5,,,Princeton,Sr,,0,,,
1978,10,187,Michael Vicens,F,,,,Holy Cross,Sr,,0,,,
1977,1,7,Bernard King,SF,6-7,205.0,20.0,Tennessee,Jr *,,16,77264.0,USA,1992
1977,4,67,Bob Elmore,C,6-10,245.0,,Wichita State,Sr,,1,,,
1977,5,89,Gerald Cunningham,,,,,Kentucky State,Sr,,0,,,
1977,6,111,Mark Crow,SF,6-7,210.0,22.0,Duke,Sr,,1,76481.0,USA,1977
1977,7,132,Scott Conant,,,,,Newberry,Sr,,0,,,
