Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2025,2,46,Amari Williams,PF,6-11,250.0,23.0,Kentucky,Sr,ORL to  BOS,0,1642873.0,GB,2025,0.0,BOS
2025,2,57,Max Shulga,G,6-4,210.0,23.0,VCU,Sr,ORL to  BOS,0,1642917.0,UA,2025,0.0,BOS
2023,2,38,Jordan Walsh,F,6-6,205.0,19.0,Arkansas,Fr *,SAC to  BOS,2,1641775.0,US,2025,0.0,BOS
2019,2,33,Carsen Edwards,PG,5-11,200.0,21.0,Purdue,Jr *,PHI to  BOS,3,1629035.0,US,2021,0.0,DET
2013,1,13,Kelly Olynyk,C,7-0,240.0,22.0,Gonzaga,Jr *,DAL to  BOS,12,203482.0,CA,2025,0.0,SAS
2013,2,53,Colton Iverson,FC,7-0,255.0,23.0,Colorado State,Sr,IND to  BOS,0,,,,,
2011,1,27,JaJuan Johnson,FC,6-10,220.0,22.0,Purdue,Sr,NJN to  BOS,1,202707.0,US,2011,0.0,BOS
2008,2,47,Henry Walker,GF,6-6,235.0,20.0,Kansas State,Fr *,WAS to  BOS,5,201611.0,US,2014,0.0,NYK
2007,2,35,Glen Davis,PF,6-9,289.0,21.0,LSU,Jr *,SEA to  BOS,8,201175.0,US,2014,0.0,BOS
2006,1,21,Rajon Rondo,PG,6-1,180.0,20.0,Kentucky,So *,PHX to  BOS,16,200765.0,US,2021,0.0,CLE
2006,2,49,Leon Powe,F,6-8,240.0,22.0,California,So *,DEN to  BOS,5,200796.0,US,2010,0.0,BOS
2003,1,13,Marcus Banks,G,6-2,200.0,21.0,UNLV,Sr,MEM to  BOS,8,2556.0,US,2010,0.0,BOS
2003,1,27,Kendrick Perkins,C,6-10,270.0,18.0,Ozen High School (Texas),1984 DOB *,MEM to  BOS,14,2570.0,US,2017,0.0,BOS
2000,2,47,Josip Sesar,G-F,6-6,202.0,22.0,KK Cibona (Croatia),1978 DOB,SEA to  BOS,0,,,,,
1956,1,2,Bill Russell,C,6-10,215.0,22.0,San Francisco,Sr,STH to  BOS,13,78049.0,US,1968,0.0,BOS
1950,3,26,Dick Dickey,G,6-1,175.0,23.0,NC State,Sr,BAL to  BOS,1,76565.0,US,1951,0.0,BOS
1949,3,25,Ed Leede,G,6-3,185.0,21.0,Dartmouth,Sr,PRO to  BOS,2,77366.0,US,1950,0.0,BOS
1947,7,63,Saul Mariaschin,G,5-11,165.0,22.0,Harvard,Jr,WAS to  BOS,1,77462.0,US,1947,0.0,BOS
2025,1,28,Hugo González,F,6-6,200.0,19.0,Real Madrid (Spain),2006 DOB *,,0,1642864.0,ES,2025,0.0,BOS
2024,1,30,Baylor Scheierman,PG,6-6,205.0,23.0,Creighton,Sr,,1,1631248.0,US,2025,0.0,BOS
2024,2,54,Anton Watson,SF,6-8,225.0,23.0,Gonzaga,Sr,,1,1641817.0,US,2024,0.0,LAL
2022,2,53,JD Davison,F,6-1,195.0,19.0,Alabama,Fr *,,3,1631120.0,US,2025,0.0,HOU
2021,2,45,Juhann Begarin,SG,6-5,214.0,18.0,Paris Basketball (France),2002 DOB *,,0,,,,,
2020,1,14,Aaron Nesmith,F,6-5,215.0,21.0,Vanderbilt,So *,,5,1630174.0,US,2025,0.0,IND
2020,1,26,Payton Pritchard,PG,6-1,195.0,22.0,Oregon,Sr,,5,1630202.0,US,2025,0.0,BOS
2020,2,47,Yam Madar,G,6-3,180.0,19.0,Hapoel Tel Aviv (Israel),2000 DOB *,,0,,,,,
2019,1,14,Romeo Langford,SG,6-5,216.0,19.0,Indiana,Fr *,,4,1629641.0,US,2022,0.0,UTA
2019,1,22,Grant Williams,SF,6-7,236.0,20.0,Tennessee,Jr *,,6,1629684.0,US,2025,0.0,CHA
2019,2,51,Tremont Waters,PG,5-10,175.0,21.0,LSU,So *,,3,1629682.0,US,2021,0.0,WAS
2018,1,27,Robert Williams III,PF,6-9,249.0,20.0,Texas A&M,So *,,7,1629057.0,US,2025,0.0,POR
2017,1,3,Jayson Tatum,SF,6-8,210.0,19.0,Duke,Fr *,,8,1628369.0,US,2025,0.0,BOS
2017,2,37,Semi Ojeleye,SF,6-6,240.0,22.0,Southern Methodist,Jr *,,5,1628400.0,US,2021,0.0,LAC
2017,2,53,Kadeem Allen,G,6-3,200.0,24.0,Arizona,Sr,,3,1628443.0,US,2019,0.0,NYK
2017,2,56,Jabari Bird,SG,6-6,198.0,22.0,California,Sr,,2,1628444.0,US,2017,0.0,BOS
2016,1,3,Jaylen Brown,SF,6-6,223.0,19.0,California,Fr *,,9,1627759.0,US,2025,0.0,BOS
2016,1,16,Guerschon Yabusele,PF,6-7,265.0,20.0,Rouen Metropole Basket (France),1995 DOB *,,3,1627824.0,FR,2025,0.0,NYK
2016,1,23,Ante Zizic,C,6-11,254.0,19.0,KK Cibona (Croatia),1997 DOB *,,3,1627790.0,HR,2019,0.0,CLE
2016,2,45,Demetrius Jackson,G,6-1,200.0,21.0,Notre Dame,Jr *,,3,1627743.0,US,2018,0.0,HOU
2016,2,51,Ben Bentil,F,6-9,235.0,21.0,Providence,So *,,1,1627791.0,GH,2016,0.0,DAL
2016,2,58,Abdel Nader,SF,6-6,225.0,22.0,Iowa State,Sr,,5,1627846.0,EG,2021,0.0,PHX
2015,1,16,Terry Rozier,G,6-1,190.0,21.0,Louisville,So *,,10,1626179.0,US,2025,0.0,MIA
2015,1,28,RJ Hunter,G,6-4,185.0,21.0,Georgia State,Jr *,,4,1626154.0,US,2018,0.0,BOS
2015,2,33,Jordan Mickey,PF,6-8,235.0,20.0,LSU,So *,,3,1626175.0,US,2017,0.0,BOS
2015,2,45,Marcus Thornton,G,6-4,190.0,22.0,William & Mary,Sr,,1,,,,,
2014,1,6,Marcus Smart,PG,6-3,220.0,20.0,Oklahoma State,So *,,11,203935.0,US,2025,0.0,LAL
2014,1,17,James Young,SG,6-6,215.0,18.0,Kentucky,Fr *,,4,203923.0,US,2017,0.0,BOS
2012,1,21,Jared Sullinger,C,6-9,260.0,20.0,Ohio State,So *,,5,203096.0,US,2016,0.0,BOS
2012,1,22,Fab Melo,C,7-0,255.0,22.0,Syracuse,So *,,1,203097.0,BR,2012,0.0,BOS
2012,2,51,Kris Joseph,SF,6-7,210.0,23.0,Syracuse,Sr,,1,203126.0,CA,2012,0.0,BOS
2011,2,55,E'Twaun Moore,SG,6-4,191.0,22.0,Purdue,Sr,,11,202734.0,US,2020,0.0,ORL
2010,1,19,Avery Bradley,PG,6-3,180.0,19.0,Texas,Fr *,,12,202340.0,US,2021,0.0,LAL
2010,2,52,Luke Harangody,F,6-8,245.0,22.0,Notre Dame,Sr,,3,202376.0,US,2011,0.0,CLE
2009,2,58,Lester Hudson,G,6-3,190.0,24.0,Tennessee-Martin,Sr,,4,201991.0,US,2014,0.0,BOS
2008,1,30,J.R. Giddens,GF,6-5,210.0,23.0,New Mexico,Sr,,2,201592.0,US,2009,0.0,BOS
2008,2,60,Semih Erden,C,7-0,240.0,21.0,Fenerbahce Beko (Turkey),1986 DOB,,2,201623.0,TR,2011,0.0,BOS
2007,2,32,Gabe Pruitt,G,6-4,185.0,21.0,USC,Jr *,,2,201172.0,US,2008,0.0,BOS
2005,1,18,Gerald Green,GF,6-7,205.0,19.0,Gulf Shores Academy (Texas),1986 DOB *,,13,101123.0,US,2018,0.0,BOS
2005,2,50,Ryan Gomes,F,6-7,245.0,22.0,Providence,Sr,,8,101155.0,US,2013,0.0,MIN
2005,2,53,Orien Greene,G,6-5,218.0,23.0,Louisiana,Sr,,4,101158.0,US,2010,0.0,BOS
2004,1,15,Al Jefferson,FC,6-10,289.0,19.0,Prentiss High School (Mississippi),1985 DOB *,,14,2744.0,US,2017,0.0,UTA
2004,1,24,Delonte West,G,6-3,180.0,20.0,Saint Joseph's,Jr *,,8,2753.0,US,2011,0.0,BOS
2004,1,25,Tony Allen,SG,6-4,213.0,22.0,Oklahoma State,Sr,,14,2754.0,US,2017,0.0,MEM
2004,2,40,Justin Reed,F,6-8,240.0,22.0,Ole Miss,Sr,,3,2770.0,US,2006,0.0,MIN
2003,2,56,Brandon Hunter,C,6-7,260.0,22.0,Ohio,Sr,,2,2599.0,US,2004,0.0,BOS
2001,1,10,Joe Johnson,SG,6-7,240.0,19.0,Arkansas,So *,,18,2207.0,US,2021,0.0,BOS
2001,1,11,Kedrick Brown,GF,6-7,222.0,20.0,Northwest Florida State College,So *,,4,2208.0,US,2004,0.0,BOS
2001,1,21,Joseph Forte,SG,6-4,194.0,20.0,North Carolina,So *,,3,2218.0,US,2002,0.0,OKC
2000,1,11,Jerome Moiso,FC,6-10,235.0,22.0,UCLA,So *,,5,2040.0,FR,2004,0.0,NOP
1999,2,55,Kris Clack,G,6-5,225.0,21.0,Texas,Sr,,0,,,,,
1998,1,10,Paul Pierce,SF,6-7,235.0,20.0,Kansas,Jr *,,19,1718.0,US,2016,0.0,BOS
1997,1,3,Chauncey Billups,G,6-3,210.0,20.0,Colorado,So *,,17,1497.0,US,2013,0.0,DET
1997,1,6,Ron Mercer,SG,6-7,210.0,21.0,Kentucky,So *,,8,1500.0,US,2004,0.0,BOS
1997,2,55,Ben Pepper,C,7-0,250.0,21.0,Newcastle Falcons (Australia),1975 DOB,,0,,,,,
1996,1,6,Antoine Walker,F,6-9,265.0,19.0,Kentucky,So *,,12,952.0,US,2007,0.0,BOS
1996,2,38,Steve Hamer,C,7-0,245.0,22.0,Tennessee,Sr,,1,984.0,US,1996,0.0,BOS
1995,1,14,Eric Williams,F,6-8,220.0,22.0,Providence,Sr,,12,677.0,US,2006,0.0,BOS
1995,2,33,Junior Burrough,PF,6-8,242.0,22.0,Virginia,Sr,,2,675.0,US,1995,0.0,BOS
1994,1,9,Eric Montross,C,7-0,270.0,22.0,North Carolina,Sr,,10,376.0,US,2002,0.0,DET
1993,1,19,Acie Earl,PF,6-10,240.0,23.0,Iowa,Sr,,4,768.0,US,1996,0.0,BOS
1992,2,47,Darren Morningstar,C,6-10,235.0,23.0,Pittsburgh,Sr,,2,77644.0,US,1993,0.0,DAL
