Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,12,Noa Essengue,F,6-8,200.0,18.0,Ratiopharm Ulm (Germany),2006 DOB  *,,0,CHI
2024,1,11,Matas Buzelis,F,6-8,209.0,19.0,NBA G League Ignite,2004 DOB  *,,1,CHI
2022,1,18,Dalen Terry,PG,6-6,195.0,19.0,Arizona,So  *,,3,CHI
2021,2,38,Ayo Dosunmu,PG,6-4,200.0,21.0,Illinois,Jr  *,,4,CHI
2020,1,4,Patrick Williams,G,6-6,215.0,19.0,Florida State,Fr  *,,5,CHI
2020,2,44,Marko Simonovic,C,7-0,220.0,21.0,KK Mega Bemax (Serbia),1999 DOB  *,,2,CHI
2019,1,7,Coby White,PG,6-4,195.0,19.0,North Carolina,Fr  *,,6,CHI
2019,2,38,Daniel Gafford,C,6-10,265.0,20.0,Arkansas,So  *,,6,CHI
2018,1,7,"Wendell Carter, Jr.",PF,6-10,270.0,19.0,Duke,Fr  *,,7,CHI
2018,1,22,Chandler Hutchison,SG,6-6,210.0,22.0,Boise State,Sr,,4,CHI
2016,1,14,Denzel Valentine,F,6-4,220.0,22.0,Michigan State,Sr,,6,CHI
2016,2,48,Paul Zipser,F,6-8,226.0,22.0,Next Generation Team Munich (Germany),1994 DOB,,2,CHI
2015,1,22,Bobby Portis,PF,6-9,250.0,20.0,Arkansas,So  *,,10,CHI
2014,2,49,Cameron Bairstow,F,6-9,250.0,23.0,New Mexico,Sr,,2,CHI
2013,1,20,Tony Snell,G,6-6,213.0,21.0,New Mexico,Jr  *,,9,CHI
2013,2,49,Erik Murphy,FC,6-10,240.0,22.0,Florida,Sr,,1,CHI
2012,1,29,Marquis Teague,PG,6-2,180.0,19.0,Kentucky,Fr  *,,3,CHI
2011,1,30,Jimmy Butler III,GF,6-6,230.0,21.0,Marquette,Sr,,14,CHI
2009,1,16,James Johnson,F,6-7,240.0,22.0,Wake Forest,So  *,,16,CHI
2009,1,26,Taj Gibson,F,6-9,232.0,24.0,USC,Jr  *,,16,CHI
2008,1,1,Derrick Rose,PG,6-3,200.0,19.0,Memphis,Fr  *,,16,CHI
2007,1,9,Joakim Noah,FC,6-11,230.0,22.0,Florida,Jr  *,,13,CHI
2007,2,49,Aaron Gray,C,7-0,270.0,22.0,Pittsburgh,Sr,,7,CHI
2007,2,51,JamesOn Curry,G,6-4,200.0,21.0,Oklahoma State,Jr  *,,2,CHI
2004,1,3,Ben Gordon,SG,6-3,200.0,21.0,UConn,Jr  *,,11,CHI
2004,2,38,Chris Duhon,G,6-1,190.0,21.0,Duke,Sr,,9,CHI
2003,1,7,Kirk Hinrich,G,6-4,190.0,22.0,Kansas,Sr,,13,CHI
2003,2,53,Tommy Smith,F,6-10,215.0,22.0,Arizona State,Sr,,1,CHI
2002,1,2,Jay Williams,G,6-2,195.0,20.0,Duke,Jr  *,,2,CHI
2002,2,30,Roger Mason,SG,6-5,205.0,21.0,Virginia,Jr  *,,11,CHI
2002,2,43,Lonny Baxter,PF,6-8,260.0,23.0,Maryland,Sr,,4,CHI
2001,1,4,Eddy Curry,C,7-0,295.0,18.0,Thornwood High School (Illinois),1982 DOB  *,,12,CHI
2001,2,29,Trenton Hassell,F,6-5,227.0,22.0,Austin Peay,Jr  *,,9,CHI
2000,1,4,Marcus Fizer,F,6-8,246.0,21.0,Iowa State,Jr  *,,6,CHI
2000,1,24,Dalibor Bagaric,C,7-1,255.0,20.0,KK Dubrava Zagreb (Croatia),1980 DOB  *,,3,CHI
