Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2025,2,55,Lachlan Olbrich,C,6-8,236.0,21.0,Illawarra (Australia),2003 DOB,LAL to  CHI,0,1642950.0,AU,2025,0.0,CHI
2023,2,35,Julian Phillips,F,6-6,198.0,19.0,Tennessee,Fr *,BOS to  WAS WAS  to CHI,2,1641763.0,US,2025,0.0,CHI
2017,1,7,Lauri Markkanen,SF,7-1,240.0,20.0,Arizona,Fr *,MIN to  CHI,8,1628374.0,FI,2025,0.0,UTA
2014,1,11,Doug McDermott,F,6-7,225.0,22.0,Creighton,Sr,DEN to  CHI,11,203926.0,US,2025,0.0,SAC
2011,1,23,Nikola Mirotic,F,6-10,250.0,20.0,Real Madrid (Spain),1991 DOB *,HOU to  MIN MIN  to CHI,5,202703.0,ME,2018,0.0,CHI
2011,2,51,Jon Diebler,SF,6-6,205.0,23.0,Ohio State,Sr,POR to  HOU HOU  to CHI,0,,,,,
2008,2,36,Omer Asik,C,7-0,255.0,21.0,Fenerbahce Beko (Turkey),1986 DOB,POR to  CHI,9,201600.0,TR,2017,0.0,NOP
2006,1,4,Tyrus Thomas,F,6-9,215.0,19.0,LSU,Fr *,POR to  CHI,8,200748.0,US,2014,0.0,CHI
2006,1,13,Thabo Sefolosha,GF,6-7,220.0,22.0,Edilnol Pallacanestro Biella (Italy),1984 DOB,PHI to  CHI,14,200757.0,CH,2019,0.0,OKC
2004,1,7,Luol Deng,GF,6-9,220.0,19.0,Duke,Fr *,PHX to  CHI,15,2736.0,GB,2018,0.0,CHI
2004,2,39,Albert Miralles,FC,6-10,238.0,22.0,Roseto Sharks (Italy),1982 DOB,TOR to  MIA MIA  to BOS BOS  to MIL MIL  to CLE CLE  to CHI,0,,,,,
2001,1,2,Tyson Chandler,C,7-1,240.0,18.0,Dominguez High School (California),1982 DOB *,LAC to  CHI,19,2199.0,US,2019,0.0,NYK
2000,1,8,Jamal Crawford,SG,6-5,195.0,20.0,Michigan,Fr *,CLE to  CHI,19,2037.0,US,2019,0.0,LAC
1998,2,49,Corry Carr,G,6-3,212.0,22.0,Texas Tech,Sr,ATL to  CHI,2,1757.0,US,1998,0.0,CHI
1987,1,5,Scottie Pippen,SF,6-8,228.0,21.0,Central Arkansas,Sr,SEA to  CHI,18,937.0,US,2003,0.0,CHI
1985,1,9,Charles Oakley,PF,6-8,225.0,21.0,Virginia Union,Sr,CLE to  CHI,18,891.0,US,2003,0.0,NYK
1985,2,25,Mike Smrek,C,7-0,250.0,22.0,Canisius,Sr,POR to  CHI,8,1091.0,US,1991,0.0,LAL
1985,2,30,Calvin Duncan,G,6-4,195.0,24.0,VCU,Sr,CLE to  CHI,1,,,,,
1983,1,13,Ennis Whatley,SG,6-3,177.0,20.0,Alabama,So *,KCK to  CHI,11,941.0,US,1996,0.0,CHI
1983,1,23,Mitchell Wiggins,G,6-4,185.0,23.0,Florida State,Sr,IND to  CHI,6,78523.0,US,1991,0.0,HOU
1983,2,38,Chris McNealy,F,6-7,210.0,21.0,San Jose State,Sr,KCK to  CHI,4,77560.0,US,1987,0.0,NYK
1981,2,36,Ray Blume,SG,6-4,185.0,22.0,Oregon State,Sr,IND to  CHI,1,76189.0,US,1981,0.0,CHI
1980,1,10,Ronnie Lester,G,6-2,175.0,21.0,Iowa,Sr,POR to  CHI,6,77373.0,US,1985,0.0,CHI
1980,2,38,Terry Stotts,PF,6-8,220.0,22.0,Oklahoma,Sr,HOU to  CHI,1,,,,,
1978,10,190,Rickey Williams,SG,6-1,175.0,21.0,Long Beach State,Jr,NOJ to  CHI,2,78563.0,US,1982,0.0,UTA
2025,1,12,Noa Essengue,F,6-8,200.0,18.0,Ratiopharm Ulm (Germany),2006 DOB *,,0,1642855.0,FR,2025,0.0,CHI
2024,1,11,Matas Buzelis,F,6-8,209.0,19.0,NBA G League Ignite,2004 DOB *,,1,1641824.0,US,2025,0.0,CHI
2022,1,18,Dalen Terry,PG,6-6,195.0,19.0,Arizona,So *,,3,1631207.0,US,2025,0.0,CHI
2021,2,38,Ayo Dosunmu,PG,6-4,200.0,21.0,Illinois,Jr *,,4,1630245.0,US,2025,0.0,CHI
2020,1,4,Patrick Williams,G,6-6,215.0,19.0,Florida State,Fr *,,5,1630172.0,US,2025,0.0,CHI
2020,2,44,Marko Simonovic,C,7-0,220.0,21.0,KK Mega Bemax (Serbia),1999 DOB *,,2,1630250.0,ME,2022,0.0,CHI
2019,1,7,Coby White,PG,6-4,195.0,19.0,North Carolina,Fr *,,6,1629632.0,US,2025,0.0,CHI
2019,2,38,Daniel Gafford,C,6-10,265.0,20.0,Arkansas,So *,,6,1629655.0,US,2025,0.0,DAL
2018,1,7,"Wendell Carter, Jr.",PF,6-10,270.0,19.0,Duke,Fr *,,7,1628976.0,US,2025,0.0,ORL
2018,1,22,Chandler Hutchison,SG,6-6,210.0,22.0,Boise State,Sr,,4,1628990.0,US,2021,0.0,PHX
2016,1,14,Denzel Valentine,F,6-4,220.0,22.0,Michigan State,Sr,,6,1627756.0,US,2021,0.0,UTA
2016,2,48,Paul Zipser,F,6-8,226.0,22.0,Next Generation Team Munich (Germany),1994 DOB,,2,1627835.0,DE,2017,0.0,CHI
2015,1,22,Bobby Portis,PF,6-9,250.0,20.0,Arkansas,So *,,10,1626171.0,US,2025,0.0,MIL
2014,2,49,Cameron Bairstow,F,6-9,250.0,23.0,New Mexico,Sr,,2,203946.0,AU,2015,0.0,CHI
2013,1,20,Tony Snell,G,6-6,213.0,21.0,New Mexico,Jr *,,9,203503.0,US,2021,0.0,NOP
2013,2,49,Erik Murphy,FC,6-10,240.0,22.0,Florida,Sr,,1,203513.0,FI,2013,0.0,CHI
2012,1,29,Marquis Teague,PG,6-2,180.0,19.0,Kentucky,Fr *,,3,203104.0,US,2017,0.0,CHI
2011,1,30,Jimmy Butler III,GF,6-6,230.0,21.0,Marquette,Sr,,14,202710.0,US,2025,0.0,GSW
2009,1,16,James Johnson,F,6-7,240.0,22.0,Wake Forest,So *,,16,201949.0,US,2024,0.0,IND
2009,1,26,Taj Gibson,F,6-9,232.0,24.0,USC,Jr *,,16,201959.0,US,2024,0.0,CHA
2008,1,1,Derrick Rose,PG,6-3,200.0,19.0,Memphis,Fr *,,16,201565.0,US,2023,0.0,MEM
2007,1,9,Joakim Noah,FC,6-11,230.0,22.0,Florida,Jr *,,13,201149.0,US,2019,0.0,CHI
2007,2,49,Aaron Gray,C,7-0,270.0,22.0,Pittsburgh,Sr,,7,201189.0,US,2013,0.0,CHI
2007,2,51,JamesOn Curry,G,6-4,200.0,21.0,Oklahoma State,Jr *,,2,201191.0,US,2009,0.0,LAC
2004,1,3,Ben Gordon,SG,6-3,200.0,21.0,UConn,Jr *,,11,2732.0,US,2014,0.0,CHI
2004,2,38,Chris Duhon,G,6-1,190.0,21.0,Duke,Sr,,9,2768.0,US,2012,0.0,CHI
2003,1,7,Kirk Hinrich,G,6-4,190.0,22.0,Kansas,Sr,,13,2550.0,US,2015,0.0,CHI
2003,2,53,Tommy Smith,F,6-10,215.0,22.0,Arizona State,Sr,,1,,,,,
2002,1,2,Jay Williams,G,6-2,195.0,20.0,Duke,Jr *,,2,2398.0,US,2002,0.0,CHI
2002,2,30,Roger Mason,SG,6-5,205.0,21.0,Virginia,Jr *,,11,2427.0,US,2013,0.0,WAS
2002,2,43,Lonny Baxter,PF,6-8,260.0,23.0,Maryland,Sr,,4,2437.0,US,2005,0.0,CHI
2001,1,4,Eddy Curry,C,7-0,295.0,18.0,Thornwood High School (Illinois),1982 DOB *,,12,2201.0,US,2012,0.0,CHI
2001,2,29,Trenton Hassell,F,6-5,227.0,22.0,Austin Peay,Jr *,,9,2239.0,US,2009,0.0,MIN
2000,1,4,Marcus Fizer,F,6-8,246.0,21.0,Iowa State,Jr *,,6,2033.0,US,2005,0.0,CHI
2000,1,24,Dalibor Bagaric,C,7-1,255.0,20.0,KK Dubrava Zagreb (Croatia),1980 DOB *,,3,2053.0,HR,2002,0.0,CHI
2000,2,32,A.J. Guyton,PG,6-1,180.0,22.0,Indiana,Sr,,4,2062.0,US,2002,0.0,CHI
2000,2,33,Jake Voskuhl,C,6-11,245.0,22.0,UConn,Sr,,9,2063.0,US,2008,0.0,PHX
2000,2,34,Khalid El-Amin,G,5-10,200.0,21.0,UConn,Jr *,,3,2064.0,US,2002,0.0,CHI
1999,1,1,Elton Brand,PF,6-9,254.0,20.0,Duke,So *,,17,1882.0,US,2015,0.0,LAC
1999,1,16,Metta World Peace,SF,6-7,260.0,19.0,St. John's,So *,,17,1897.0,US,2016,0.0,LAL
1999,2,32,Michael Ruffin,F-C,6-9,245.0,22.0,Tulsa,Sr,,9,1913.0,US,2008,0.0,WAS
1999,2,49,Lari Ketner,F,6-9,277.0,22.0,Massachusetts,Sr,,2,1930.0,US,2000,0.0,CLE
1998,1,28,Corey Benjamin,SG,6-6,200.0,20.0,Oregon State,So *,,6,1736.0,US,2002,0.0,CHI
1998,2,58,Maceo Baston,FC,6-11,230.0,22.0,Michigan,Sr,,5,1766.0,US,2008,0.0,IND
1997,1,28,Keith Booth,F,6-6,226.0,22.0,Maryland,Sr,,2,1522.0,US,1998,0.0,CHI
1996,1,29,Travis Knight,C,7-0,235.0,21.0,UConn,Sr,,8,969.0,US,2002,0.0,LAL
1995,1,20,Jason Caffey,PF,6-8,255.0,22.0,Alabama,Sr,,9,679.0,US,2002,0.0,CHI
1995,2,31,Dragan Tarlac,C,6-11,270.0,22.0,Olympiacos (Greece),1973 DOB,,1,1434.0,RS,2000,0.0,CHI
1994,1,21,Dickey Simpkins,PF,6-9,248.0,22.0,Providence,Sr,,8,54.0,US,2001,0.0,CHI
1994,2,49,Kris Bruton,SF,6-7,218.0,23.0,Benedict College,Sr,,1,,,,,
1993,1,25,Corie Blount,PF,6-9,240.0,24.0,Cincinnati,Sr,,11,916.0,US,2003,0.0,CHI
1993,2,41,Anthony Reed,F,6-6,220.0,22.0,Tulane,Sr,,1,,,,,
1992,1,27,Byron Houston,F,6-7,250.0,22.0,Oklahoma State,Sr,,5,780.0,US,1995,0.0,GSW
1992,2,33,Corey Williams,G,6-2,190.0,22.0,Oklahoma State,Sr,,2,101258.0,US,1993,0.0,CHI
1992,2,52,Matt Steigenga,F,6-7,225.0,22.0,Michigan State,Sr,,3,1099.0,US,1996,0.0,CHI
1991,1,26,Mark Randall,PF,6-9,235.0,23.0,Kansas,Sr,,6,1821.0,US,1994,0.0,MIN
1990,2,29,Toni Kukoc,SF,6-11,235.0,21.0,KK Split (Croatia),1968 DOB,,13,389.0,HR,2005,0.0,CHI
1989,1,6,Stacey King,PF,6-11,250.0,22.0,Oklahoma,Sr,,10,351.0,US,1996,0.0,CHI
1989,1,18,B.J. Armstrong,G,6-2,175.0,21.0,Iowa,Sr,,11,769.0,US,1999,0.0,CHI
1989,1,20,Jeff Sanders,F,6-8,225.0,23.0,Georgia Southern,Sr,,5,1874.0,US,1992,0.0,CHI
1988,1,11,Will Perdue,C,7-0,240.0,22.0,Vanderbilt,Sr,,14,781.0,US,2000,0.0,CHI
1988,3,62,Derrick Lewis,F,6-8,200.0,21.0,Maryland,Sr,,1,,,,,
1987,1,10,Horace Grant,PF,6-10,255.0,21.0,Clemson,Sr,,17,270.0,US,2003,0.0,CHI
1987,2,28,Rickie Winslow,F,6-8,225.0,22.0,Houston,Sr,,2,1984.0,US,1987,0.0,MIL
1987,2,33,Tony White,G,6-2,170.0,22.0,Tennessee,Sr,,1,78514.0,US,1987,0.0,GSW
1987,3,56,John Fox,F,6-9,,,Millersville University,Sr,,1,,,,,
1987,4,79,Jack Haley,FC,6-10,240.0,23.0,UCLA,Sr,,11,917.0,US,1997,0.0,BKN
1987,5,102,Anthony Wilson,G,,,,LSU,Sr,,1,,,,,
1987,6,125,Doug Altenberger,G,6-1,179.0,,Illinois,Sr,,1,,,,,
1987,7,148,Earvin Leavy,G,6-3,175.0,,Central Michigan,Sr,,1,,,,,
