Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,2,49,Tyrese Proctor,PG,6-4,185.0,21.0,Duke,Jr  *,,0,CLE
2025,2,58,Saliou Niang,F,6-5,190.0,21.0,Dolomiti Energia Trento (Italy),2004 DOB  *,,0,CLE
2024,1,20,Jaylon Tyson,F,6-6,215.0,21.0,California,Jr  *,,1,CLE
2023,2,49,Emoni Bates,SF,6-9,202.0,19.0,Eastern Michigan,So  *,,2,CLE
2022,1,14,Ochai Agbaji,SF,6-5,215.0,22.0,Kansas,Sr  *,,3,CLE
2022,2,39,Khalifa Diop,FC,6-10,231.0,20.0,Dreamland Gran Canaria (Spain),2002 DOB  *,,0,CLE
2022,2,49,Isaiah Mobley,SF,6-8,238.0,22.0,USC,Jr  *,,3,CLE
2022,2,56,Luke Travers,F,6-6,207.0,20.0,Perth (Australia),2001 DOB  *,,1,CLE
2021,1,3,Evan Mobley,PF,6-11,215.0,20.0,USC,Fr  *,,4,CLE
2020,1,5,Isaac Okoro,SG,6-4,225.0,19.0,Auburn,Fr  *,,5,CLE
2019,1,5,Darius Garland,G,6-1,192.0,19.0,Vanderbilt,Fr  *,,6,CLE
2019,1,26,Dylan Windler,SF,6-7,196.0,22.0,Belmont,Sr,,5,CLE
2018,1,8,Collin Sexton,PG,6-3,190.0,19.0,Alabama,Fr  *,,7,CLE
2015,2,53,Dom Pointer,SF,6-5,200.0,23.0,St. John's,Sr,,1,CLE
2014,1,1,Andrew Wiggins,F,6-6,197.0,19.0,Kansas,Fr  *,,11,CLE
2014,2,33,Joe Harris,SG,6-6,220.0,22.0,Virginia,Sr,,10,CLE
2013,1,1,Anthony Bennett,PF,6-8,245.0,20.0,UNLV,Fr  *,,4,CLE
2013,1,19,Sergey Karasev,SF,6-7,213.0,19.0,Zenit Saint Petersburg (Russia),1993 DOB  *,,3,CLE
2013,2,33,Carrick Felix,SF,6-6,200.0,22.0,Arizona State,Sr,,2,CLE
2012,1,4,Dion Waiters,SG,6-4,215.0,20.0,Syracuse,So  *,,8,CLE
2011,1,1,Kyrie Irving,G,6-2,195.0,19.0,Duke,Fr  *,,14,CLE
2011,1,4,Tristan Thompson,F,6-9,254.0,20.0,Texas,Fr  *,,14,CLE
2011,2,54,Milan Macvan,PF,6-9,265.0,21.0,KK Vrsac Swisslion (Serbia),1989 DOB,,0,CLE
2009,1,30,Christian Eyenga,GF,6-7,210.0,20.0,CB Prat (Spain),1989 DOB  *,,2,CLE
