Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,1,1,Cooper Flagg,F,6-9,205.0,18.0,Duke,Fr *,,0,1642843.0,USA,2025
2024,2,58,Ariel Hukporti,C,7-0,246.0,22.0,MHP Riesen (Germany),2002 DOB,DAL to NYK,1,1630574.0,Germany,2025
2023,1,10,Cason Wallace,G,6-3,195.0,19.0,Kentucky,Fr *,DAL to OKC,2,1641717.0,USA,2025
2022,1,26,"Wendell Moore, Jr.",SF,6-5,215.0,20.0,Duke,Jr *,DAL to HOU HOU to MIN,3,1631111.0,USA,2025
2020,1,18,Josh Green,SG,6-6,200.0,20.0,Arizona,Fr *,,5,1630182.0,Australia,2025
2020,2,31,Tyrell Terry,PG,6-2,170.0,20.0,Stanford,Fr *,,2,1630179.0,USA,2021
2019,2,37,Deividas Sirvydis,GF,6-8,190.0,19.0,Lietuvos Rytas II (Lithuania),2000 DOB *,DAL to DET,2,1629686.0,Lithuania,2021
2018,1,5,Trae Young,PG,6-2,164.0,19.0,Oklahoma,Fr *,DAL to ATL,7,1629027.0,USA,2025
2018,2,33,Jalen Brunson,PG,6-2,190.0,21.0,Villanova,Jr *,,7,1628973.0,USA,2025
2018,2,54,Shake Milton,SG,6-5,205.0,21.0,Southern Methodist,Jr *,DAL to PHL,7,1629003.0,USA,2024
2017,1,9,Dennis Smith,PG,6-2,205.0,19.0,NC State,Fr *,,7,1628372.0,USA,2023
2016,2,46,A.J. Hammons,C,7-0,250.0,23.0,Purdue,Sr,,2,1627773.0,USA,2016
2015,1,21,Justin Anderson,F,6-6,230.0,21.0,Virginia,Jr *,,6,1626147.0,USA,2021
2015,2,52,Satnam Singh,C,7-2,290.0,19.0,,1995 DOB *,DAL to MEM,0,,,
2013,1,13,Kelly Olynyk,C,7-0,240.0,22.0,Gonzaga,Jr *,DAL to BOS,12,203482.0,Canada,2025
2013,2,44,Mike Muscala,FC,6-10,240.0,21.0,Bucknell,Sr,DAL to ATL,11,203488.0,USA,2023
2012,1,17,Tyler Zeller,C,7-0,250.0,22.0,North Carolina,Sr,DAL to CLE,8,203092.0,USA,2019
2012,2,55,Darius Johnson-Odom,SG,6-2,220.0,22.0,Marquette,Sr,DAL to LAL,2,203130.0,USA,2013
2011,1,26,Jordan Hamilton,SF,6-7,220.0,20.0,Texas,So *,DAL to DEN,5,202706.0,USA,2015
2011,2,57,Tanguy Ngombo,GF,6-6,230.0,21.0,Al-Rayyan Sports Club (Qatar),1989 DOB,DAL to POR POR to MIN,0,,,
2010,2,50,Solomon Alabi,C,7-1,250.0,22.0,Florida State,So *,DAL to TOR,2,202374.0,Nigeria,2011
2009,1,24,Byron Mullens,C,7-0,270.0,20.0,Ohio State,Fr *,DAL to OKC,5,201957.0,USA,2013
2009,2,56,Ahmad Nivins,F,6-9,207.0,22.0,Saint Joseph's,Sr,DAL to NYK,0,,,
2008,2,51,Shan Foster,GF,6-6,195.0,21.0,Vanderbilt,Sr,DAL to UTH,0,,,
2007,2,34,Nick Fazekas,F,6-11,240.0,22.0,Nevada,Sr,,1,201174.0,USA,2007
2007,2,50,Renaldas Seibutis,SG,6-5,176.0,21.0,Maroussi BC (Greece),1985 DOB,DAL to LAC LAC to CLE,0,,,
2007,2,60,Milovan Rakovic,PF,6-10,286.0,22.0,KK Mega Bemax (Serbia),1985 DOB,DAL to ORL ORL to CHI CHI to POR,0,,,
2006,1,28,Maurice Ager,F-G,6-5,202.0,22.0,Michigan State,Sr,,4,200772.0,USA,2010
2006,2,58,J.R. Pinnock,SG,6-5,207.0,22.0,George Washington,Jr *,DAL to LAL,0,,,
2004,2,50,Vassilis Spanoulis,SG,6-4,210.0,21.0,Maroussi BC (Greece),1982 DOB,DAL to HOU,1,2779.0,Greece,2006
2003,1,29,Josh Howard,GF,6-7,210.0,23.0,Wake Forest,Sr,,10,2572.0,USA,2012
2003,2,57,Yuyang Xue,FC,7-0,265.0,20.0,Bay Area Dragons (Hong Kong),1982 DOB *,DAL to DEN,0,,,
2002,2,54,Mladen Sekularac,G-F,6-8,205.0,21.0,KK FMP (Serbia),1981 DOB *,DAL to GOS,0,,,
2001,2,43,Kyle Hill,G,6-2,185.0,22.0,Eastern Illinois,Sr,DAL to HOU,0,,,
2001,2,53,Kenny Satterfield,PG,6-2,186.0,20.0,Cincinnati,So *,DAL to DEN,3,2261.0,USA,2002
2000,1,12,Etan Thomas,C,6-9,256.0,22.0,Syracuse,Sr,,11,2041.0,USA,2010
2000,2,31,Dan Langhi,FC,6-11,220.0,22.0,Vanderbilt,Sr,DAL to HOU,4,2061.0,USA,2003
2000,2,58,Pete Mickeal,SF,6-6,225.0,22.0,Cincinnati,Sr,DAL to NYK,2,,,
1999,2,36,Zhizhi Wang,C,7-1,255.0,21.0,Ningbo Rockets (China),1977 DOB,,5,,,
1999,2,40,Gordan Giricek,G-F,6-6,210.0,22.0,KK Cibona (Croatia),1977 DOB,DAL to SAN SAN to MEM,6,1921.0,Croatia,2007
1998,1,6,Robert Traylor,F-C,6-8,284.0,21.0,Michigan,Jr *,DAL to MIL,7,1714.0,USA,2004
1998,2,30,Ansu Sesay,F,6-9,225.0,21.0,Ole Miss,Sr,,6,1738.0,USA,2004
1998,2,35,Bruno Sundov,C,7-2,220.0,18.0,KK Split (Croatia),1980 DOB *,,7,1743.0,Croatia,2004
1998,2,53,Greg Buckner,G-F,6-4,210.0,21.0,Clemson,Sr,,11,1761.0,USA,2008
1997,1,15,Kelvin Cato,C,6-11,255.0,22.0,Iowa State,Sr,DAL to POR,10,1509.0,USA,2006
1997,2,34,Bubba Wells,G-F,6-5,230.0,22.0,Austin Peay,Sr,,2,1528.0,USA,1997
1996,1,9,Samaki Walker,PF,6-9,250.0,20.0,Louisville,So *,,10,955.0,USA,2005
1996,2,34,Shawn Harvey,G,6-4,180.0,22.0,West Virginia State,Sr,,1,,,
1996,2,58,Darnell Robinson,C,6-11,270.0,22.0,Arkansas,Jr *,,1,,,
1995,1,12,Cherokee Parks,C,6-11,235.0,22.0,Duke,Sr,,9,685.0,USA,2003
1995,1,24,Loren Meyer,F-C,6-10,257.0,22.0,Iowa State,Sr,,5,684.0,USA,1998
1994,1,2,Jason Kidd,PG,6-4,210.0,21.0,California,So *,,19,467.0,USA,2012
1994,1,19,Tony Dumas,F,6-6,190.0,21.0,UMKC,Sr,,5,434.0,USA,1997
1994,2,28,Deon Thomas,F,6-9,238.0,23.0,Illinois,Sr,,0,,,
1993,1,4,Jamal Mashburn,SF,6-8,247.0,20.0,Kentucky,Jr *,,13,469.0,USA,2003
