Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2024,1,28,Ryan Dunn,G,6-7,216.0,21.0,Virginia,So *,DEN to PHX,1,1642346.0,USA,2025
2023,2,40,Maxwell Lewis,SF,6-7,215.0,20.0,Pepperdine,So *,DEN to LAL,2,1641721.0,USA,2024
2022,1,21,Christian Braun,SF,6-6,220.0,21.0,Kansas,Jr *,,3,1631128.0,USA,2025
2021,1,26,Bones Hyland,G,6-2,169.0,20.0,VCU,So *,,4,1630538.0,USA,2025
2020,1,22,Zeke Nnaji,PF,6-10,240.0,19.0,Arizona,Fr *,,5,1630192.0,USA,2025
2018,1,14,"Michael Porter, Jr.",PF,6-10,218.0,19.0,Missouri,Fr *,,7,1629008.0,USA,2025
2018,2,43,Justin Jackson,SF,6-7,225.0,21.0,Maryland,So *,DEN to ORL,0,1628382.0,USA,2023
2018,2,58,Thomas Welsh,C,7-0,255.0,22.0,UCLA,Sr,,1,1629118.0,USA,2018
2017,1,13,Donovan Mitchell,SG,6-2,215.0,20.0,Louisville,So *,DEN to UTH,8,1628378.0,USA,2025
2017,2,49,Vlatko Cancar,SF,6-8,236.0,20.0,KK Mega Bemax (Serbia),1997 DOB *,,6,1628427.0,Slovenia,2024
2017,2,51,Monte Morris,G,6-2,183.0,21.0,Iowa State,Sr,,8,1628420.0,USA,2025
2016,1,7,Jamal Murray,SG,6-4,215.0,19.0,Kentucky,Fr *,,9,1627750.0,Canada,2025
2016,1,15,Juancho Hernangomez,F,6-9,215.0,20.0,Movistar Estudiantes (Spain),1995 DOB *,,7,1627823.0,Spain,2022
2016,1,19,Malik Beasley,SG,6-4,187.0,19.0,Florida State,Fr *,,9,1627736.0,USA,2024
2016,2,53,Petr Cornelie,C,6-11,220.0,20.0,Le Mans Sarthe Basket (France),1995 DOB *,,1,1627822.0,France,2021
2016,2,56,Daniel Hamilton,SG,6-7,195.0,20.0,UConn,So *,DEN to OKC,2,1627772.0,USA,2018
2015,1,7,Emmanuel Mudiay,SG,6-5,200.0,19.0,Guangzhou Loong Lions (China),1996 DOB,,6,1626144.0,Democratic Republic of the Congo,2021
2015,2,57,Nikola Radicevic,PG,6-5,200.0,21.0,Real Betis Baloncesto (Spain),1994 DOB *,DEN to DET DET to NYK,0,,,
2014,1,11,Doug McDermott,F,6-7,225.0,22.0,Creighton,Sr,DEN to CHI,11,203926.0,USA,2025
2014,2,41,Nikola Jokic,C,6-11,284.0,19.0,KK Mega Bemax (Serbia),1995 DOB *,,10,203999.0,Serbia,2025
2014,2,56,Devyn Marble,GF,6-6,192.0,21.0,Iowa,Sr,DEN to ORL,2,203906.0,USA,2015
2013,1,27,Rudy Gobert,C,7-1,258.0,21.0,Cholet Basket (France),1992 DOB *,DEN to UTH,12,203497.0,France,2025
2012,1,20,Evan Fournier,SG,6-6,205.0,19.0,Poitiers Basket 86 (France),1992 DOB *,,12,203095.0,France,2023
2012,2,38,Quincy Miller,PF,6-11,210.0,19.0,Baylor,Fr *,,3,203113.0,USA,2014
2012,2,50,Izzet Turkyilmaz,C,7-0,211.0,22.0,Teksut Bandirma (Turkey),1990 DOB,,0,,,
2011,1,22,Kenneth Faried,F,6-8,228.0,21.0,Morehead State,Sr,,8,202702.0,USA,2018
2009,2,34,Sergio Llull,PG,6-3,190.0,21.0,Real Madrid (Spain),1987 DOB,DEN to HOU HOU to NYK,0,,,
2006,2,49,Leon Powe,F,6-8,240.0,22.0,California,So *,DEN to BOS,5,200796.0,USA,2010
2005,1,20,Julius Hodge,SF,6-7,210.0,21.0,NC State,Sr,,2,101125.0,USA,2006
2005,1,22,Jarrett Jack,G,6-3,200.0,21.0,Georgia Tech,Jr *,DEN to POR,13,101127.0,USA,2017
2005,2,52,Axel Hervelle,PF,6-8,240.0,22.0,Real Madrid (Spain),1983 DOB,DEN to HOU HOU to NYK,0,,,
2004,1,20,Jameer Nelson,G,6-0,190.0,22.0,Saint Joseph's,Sr,DEN to ORL,14,2749.0,USA,2017
2003,1,3,Carmelo Anthony,F,6-8,240.0,19.0,Syracuse,Fr *,,19,2546.0,USA,2021
2003,2,46,Sani Becirovic,SG,6-4,196.0,22.0,Virtus Bologna (Italy),1981 DOB,,0,,,
2002,1,5,Nikoloz Tskitishvili,F,7-0,225.0,19.0,Universo De'Longhi Treviso (Italy),1983 DOB *,,4,2401.0,Georgia,2005
2002,1,25,Frankie Williams,G,6-3,212.0,22.0,Illinois,Jr *,DEN to NYK,3,,,
2002,2,32,Vincent Yarbrough,F,6-7,210.0,21.0,Tennessee,Sr,,2,2428.0,USA,2002
2001,2,46,Ousmane Cisse,FC,6-8,225.0,18.0,St. Jude High School (Alabama),1982 DOB *,,2,,,
2000,1,26,Mamadou N'Diaye,C,7-0,255.0,25.0,Auburn,Sr,,5,,,
2000,2,53,Dan McClintock,C,7-0,270.0,23.0,Northern Arizona,Sr,,1,2082.0,USA,2000
1999,1,18,James Posey,F,6-8,217.0,22.0,Xavier,Sr,,12,1899.0,USA,2010
1999,2,33,Chris Herren,G,6-2,197.0,23.0,Fresno State,Sr,,3,1914.0,USA,2000
1999,2,41,Francisco Elson,C-F,7-0,235.0,23.0,California,Sr,,9,1922.0,Netherlands,2011
1998,1,3,Raef LaFrentz,F,6-11,245.0,22.0,Kansas,Sr,,11,1711.0,USA,2008
1998,1,23,Tyronn Lue,G,6-0,170.0,21.0,Nebraska,Jr *,DEN to LAL,11,1731.0,USA,2008
1998,2,54,Tremaine Fowlkes,F,6-8,220.0,22.0,Fresno State,Jr *,,5,1762.0,USA,2004
1998,2,55,Ryan Bowen,F,6-9,218.0,22.0,Iowa,Sr,,10,1763.0,USA,2009
1997,1,5,Tony Battie,PF,6-11,230.0,21.0,Texas Tech,Jr *,,15,1499.0,USA,2011
1997,2,32,James Cotton,G,6-5,220.0,21.0,Long Beach State,Jr *,DEN to SEA,3,1526.0,USA,1998
1997,2,41,Jason Lawson,F-C,6-11,240.0,22.0,Villanova,Sr,DEN to ORL,4,1535.0,USA,2002
1996,1,23,Efthimios Rentzias,C,6-11,260.0,20.0,PAOK BC (Greece),1976 DOB *,DEN to ATL ATL to PHL,1,981.0,Greece,2002
1996,2,37,Jeff McInnis,G,6-4,190.0,21.0,North Carolina,Jr *,,11,976.0,USA,2007
1995,1,15,Brent Barry,G,6-7,210.0,23.0,Oregon State,Sr,DEN to LAC,14,699.0,USA,2008
1995,2,44,Anthony Pelle,C,7-0,260.0,22.0,Fresno State,Sr,,1,,,
1994,1,13,Jalen Rose,G,6-8,210.0,21.0,Michigan,Jr *,,13,147.0,USA,2006
1993,1,9,Rodney Rogers,F,6-7,235.0,22.0,Wake Forest,Jr *,,12,915.0,USA,2004
1993,2,43,Josh Grant,F,6-10,225.0,25.0,Utah,Sr,DEN to GOS,1,76852.0,USA,1993
1992,1,5,LaPhonso Ellis,PF,6-8,240.0,22.0,Notre Dame,Sr,,11,111.0,USA,2002
1992,1,13,Bryant Stith,SG,6-5,209.0,21.0,Virginia,Sr,,11,179.0,USA,2002
1992,2,46,Robert Werdann,C,6-11,250.0,21.0,St. John's,Sr,,8,438.0,USA,1996
1991,1,4,Dikembe Mutombo,C,7-2,260.0,25.0,Georgetown,Jr,,18,87.0,Congo,2008
1991,1,8,Mark Macon,SG,6-4,185.0,22.0,Temple,Sr,,6,1855.0,USA,1998
1990,1,3,Mahmoud Abdul-Rauf,PG,6-0,162.0,21.0,LSU,So *,,9,51.0,USA,2000
1990,2,42,Marcus Liberty,SF,6-8,205.0,21.0,Illinois,Jr *,,5,77386.0,USA,1993
1989,1,15,Todd Lichti,G,6-4,205.0,22.0,Stanford,Sr,,5,77387.0,USA,1993
1989,2,42,Michael Cutright,SG,6-4,210.0,22.0,McNeese State,Sr,DEN to NJN,0,,,
1989,2,47,Reggie Turner,F,6-7,225.0,23.0,UAB,Sr,,0,,,
1988,1,23,Jerome Lane,F,6-6,230.0,21.0,Pittsburgh,Jr *,,7,77335.0,USA,1992
1988,2,43,Todd Mitchell,F,6-7,205.0,21.0,Purdue,Sr,,3,77614.0,USA,1988
1988,2,47,Vernon Maxwell,G,6-4,180.0,22.0,Florida,Sr,DEN to SAN,13,137.0,USA,2000
1988,3,66,Dwight Boyd,SG,6-3,195.0,,Memphis,Sr,,0,,,
1987,2,31,Andre Moore,PF,6-9,215.0,22.0,Loyola (IL),Sr,,2,77632.0,USA,1987
1987,3,54,Tom Schafer,SF,6-7,200.0,,Iowa State,Sr,,0,,,
1987,4,77,David Boone,SF,6-6,215.0,,Marquette,Sr,,0,,,
1987,5,100,Ronnie Grandison,F,6-6,215.0,22.0,New Orleans,Sr,,10,97.0,USA,1995
1987,6,123,Kelvin Scarborough,G,6-1,,,New Mexico,Sr,,0,,,
1987,7,146,Rowan Gomes,,,,,Hampton,Sr,,0,,,
1987,7,156,Curtis Hunter,F,6-5,,,North Carolina,Sr,,0,,,
1986,1,16,Maurice Martin,GF,6-6,200.0,21.0,Saint Joseph's,Sr,,3,,,
1986,1,18,Mark Alarie,F,6-8,217.0,22.0,Duke,Sr,,6,76019.0,USA,1990
1986,2,41,Otis Smith,GF,6-5,210.0,22.0,Jacksonville,Sr,,6,78198.0,USA,1991
1986,3,64,Don Redden,GF,6-6,210.0,,LSU,Sr,,0,,,
1986,4,87,Anthony Watson,SG,6-2,175.0,,San Diego State,Sr,,0,,,
1986,5,110,Jon Collins,SG,,,,Eastern Illinois,Sr,,0,,,
1986,6,133,Anthony Frederick,F,6-7,205.0,21.0,Pepperdine,Sr,,4,76752.0,USA,1991
1986,7,156,Mike Marshall,G,,,,McNeese State,Sr,,0,,,
1985,1,15,Blair Rasmussen,C,7-0,250.0,22.0,Oregon,Sr,,8,78656.0,USA,1992
1985,2,43,Barry Stevens,GF,6-5,195.0,22.0,Iowa State,Sr,,3,78251.0,USA,1992
1985,4,89,Pete Williams,F,6-7,190.0,20.0,Arizona,Sr,,2,78566.0,USA,1986
1985,5,112,Kenny Brown,,,,,Texas A&M,Sr *,,0,,,
1985,6,135,Joe Carrabino,F,,,,Harvard,Sr,,0,,,
1985,7,158,Eddie Smith,,,,,Arizona,Sr,,1,,,
1984,2,42,Willie White,G,6-3,195.0,21.0,Chattanooga,Sr,,3,78515.0,USA,1985
1984,4,79,Karl Tilleman,SG,6-2,180.0,23.0,Calgary,Sr,,1,,,
1984,5,103,Prince Bridges,,,,,Missouri,Sr,,1,,,
1984,6,125,Willie Burton,,,,,Tennessee,Sr,,0,416.0,USA,1998
1984,7,149,Mark Simpson,,,,,Catawba,Sr,,0,,,
1984,8,171,Bill Wendlandt,,,,,Texas,Sr,,0,,,
1984,9,194,Cecil Exum,F,6-6,,21.0,North Carolina,Sr,,0,,,
1984,10,215,Dexter Bailey,,,,,Xavier,Sr,,0,,,
1983,1,15,Howard Carter,GF,6-5,215.0,21.0,LSU,Sr,,2,76358.0,USA,1984
1983,2,37,David Russell,SF,6-7,215.0,23.0,St. John's,Sr,,1,,,
1983,3,61,David Little,SF,6-7,210.0,23.0,Oklahoma,Sr,,1,,,
1983,4,83,York Gross,SG,6-5,215.0,,UC Santa Barbara,Sr,,0,,,
1983,5,107,James Braddock,G,6-2,,,North Carolina,Sr,,0,,,
1983,6,129,Glenn Green,,,,,Murray State,Sr,,0,,,
1983,7,153,Maurice McDaniel,,,,,Catawba,Sr,,1,,,
1983,8,175,Cliff Tribus,,,,,Davidson,Sr,,0,,,
1983,9,198,Bobby Van Noy,,,,,Catawba,Sr,,0,,,
1983,10,218,Cleveland McCrae,,,,,Catawba,Sr,,0,,,
1982,1,19,Rob Williams,G,6-2,175.0,21.0,Houston,Jr *,,2,78565.0,USA,1983
1982,3,62,Roylin Bond,SG,6-3,175.0,21.0,Pepperdine,Sr,,0,,,
