Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,2,37,Chaz Lanier,G,6-3,206.0,23.0,Tennessee,Sr,,0,DET
2024,1,5,Ron Holland,F,6-8,206.0,18.0,NBA G League Ignite,2005 DOB  *,,1,DET
2023,1,5,Ausar Thompson,G,6-7,205.0,20.0,Overtime Elite (Georgia),2003 DOB,,2,DET
2022,1,5,Jaden Ivey,G,6-3,195.0,20.0,Purdue,So  *,,3,DET
2021,1,1,Cade Cunningham,SF,6-6,220.0,19.0,Oklahoma State,Fr  *,,4,DET
2021,2,42,Isaiah Livers,PF,6-6,232.0,23.0,Michigan,Sr  *,,3,DET
2021,2,52,Luka Garza,C,6-10,243.0,22.0,Iowa,Sr  *,,4,DET
2020,1,7,Killian Hayes,G,6-4,195.0,19.0,Ratiopharm Ulm (Germany),2001 DOB  *,,5,DET
2019,1,15,Sekou Doumbouya,F,6-8,235.0,18.0,CSP Limoges (France),2000 DOB  *,,3,DET
2018,2,42,"Bruce Brown, Jr.",SG,6-4,202.0,21.0,Miami (FL),So  *,,7,DET
2017,1,12,Luke Kennard,SG,6-5,206.0,20.0,Duke,So  *,,8,DET
2016,1,18,Henry Ellenson,PF,6-10,240.0,19.0,Marquette,Fr  *,,5,DET
2016,2,49,Michael Patrick Gbinije,SF,6-6,200.0,24.0,Syracuse,Sr,,1,DET
2015,1,8,Stanley Johnson,G,6-6,242.0,19.0,Arizona,Fr  *,,8,DET
2015,2,38,Darrun Hilliard,SG,6-6,220.0,22.0,Villanova,Sr,,3,DET
2014,2,38,Spencer Dinwiddie,PG,6-5,215.0,21.0,Colorado,Jr  *,,11,DET
2013,1,8,Kentavious Caldwell-Pope,SG,6-5,204.0,20.0,Georgia,So  *,,12,DET
2013,2,37,Tony Mitchell,F,6-9,240.0,21.0,North Texas,So  *,,2,DET
2013,2,56,Peyton Siva,PG,6-0,185.0,22.0,Louisville,Sr,,1,DET
2012,1,9,Andre Drummond,C,6-11,279.0,18.0,UConn,Fr  *,,13,DET
2012,2,39,Khris Middleton,SF,6-7,222.0,20.0,Texas A&M,Jr  *,,13,DET
2012,2,44,Kim English,SG,6-6,200.0,23.0,Missouri,Sr,,1,DET
2011,1,8,Brandon Knight,G,6-2,182.0,19.0,Kentucky,Fr  *,,10,DET
2011,2,33,Kyle Singler,F,6-8,228.0,23.0,Duke,Sr,,6,DET
2011,2,52,Vernon Macklin,F,6-10,227.0,24.0,Florida,Sr,,1,DET
2010,1,7,Greg Monroe,FC,6-11,265.0,20.0,Georgetown,So  *,,10,DET
2010,2,36,Terrico White,G,6-5,215.0,20.0,Ole Miss,So  *,,1,DET
2009,1,15,Austin Daye,F,6-11,220.0,21.0,Gonzaga,So  *,,6,DET
2009,2,35,DaJuan Summers,PF,6-8,230.0,21.0,Georgetown,Jr  *,,4,DET
2009,2,39,Jonas Jerebko,F,6-10,231.0,22.0,Edilnol Pallacanestro Biella (Italy),1987 DOB,,10,DET
2008,2,59,Deron Washington,GF,6-7,210.0,22.0,Virginia Tech,Sr,,0,DET
2007,1,15,Rodney Stuckey,G,6-5,205.0,21.0,Eastern Washington,So  *,,10,DET
2007,1,27,Arron Afflalo,SG,6-5,210.0,21.0,UCLA,Jr  *,,11,DET
2007,2,57,Sammy Mejia,SF,6-6,190.0,24.0,DePaul,Sr,,0,DET
2006,2,60,Will Blalock,G,6-1,200.0,22.0,Iowa State,Jr  *,,1,DET
2005,1,26,Jason Maxiell,PF,6-7,260.0,22.0,Cincinnati,Sr,,10,DET
2005,2,56,Amir Johnson,PF,6-9,240.0,18.0,Westchester High School (California),1987 DOB  *,,14,DET
2005,2,60,Alex Acker,SG,6-5,185.0,22.0,Pepperdine,Jr  *,,2,DET
2004,2,54,Ricky Paulding,SF,6-5,218.0,21.0,Missouri,Sr,,0,DET
2003,1,2,Darko Milicic,FC,7-0,275.0,18.0,KK Vrsac Swisslion (Serbia),1985 DOB  *,,10,DET
2003,1,25,Carlos Delfino,SG,6-6,230.0,20.0,Fortituto Kontatto Bologna (Italy),1982 DOB  *,,9,DET
2003,2,58,Andreas Glyniadakis,C,7-0,245.0,21.0,Olympiacos (Greece),1981 DOB,,1,DET
2002,1,23,Tayshaun Prince,F,6-9,212.0,22.0,Kentucky,Sr,,14,DET
2001,1,9,Rodney White,F,6-9,238.0,20.0,Charlotte,Fr  *,,4,DET
2001,2,37,Mehmet Okur,FC,6-11,249.0,22.0,Anadolu Efes (Turkey),1979 DOB,,10,DET
2000,1,14,Mateen Cleaves,G,6-2,205.0,22.0,Michigan State,Sr,,6,DET
2000,2,44,Brian Cardinal,PF,6-8,245.0,23.0,Purdue,Sr,,12,DET
1998,2,40,Korleone Young,SF,6-7,213.0,19.0,Hargrave Military Academy (Virginia),1978 DOB  *,,2,DET
1997,1,19,Scot Pollard,C-F,6-11,265.0,22.0,Kansas,Sr,,11,DET
1997,2,31,Charles O'Bannon,F,6-5,209.0,22.0,UCLA,Sr,,3,DET
1996,1,26,Jerome Williams,PF,6-9,206.0,23.0,Georgetown,Sr,,9,DET
1995,1,18,Theo Ratliff,C,6-10,235.0,22.0,Wyoming,Sr,,16,DET
1995,2,30,Lou Roe,F,6-7,220.0,22.0,Massachusetts,Sr,,3,DET
1995,2,58,Don Reid,PF,6-8,250.0,21.0,Georgetown,Sr,,8,DET
1994,1,3,Grant Hill,SF,6-8,225.0,21.0,Duke,Sr,,19,DET
1994,2,48,Jevon Crudup,F,6-6,252.0,22.0,Missouri,Sr,,2,DET
1993,1,10,Lindsey Hunter,G,6-2,195.0,22.0,Jackson State,Sr,,17,DET
1993,1,11,Allan Houston,G,6-6,205.0,22.0,Tennessee,Sr,,12,DET
1991,2,40,Doug Overton,SG,6-3,190.0,21.0,La Salle,Sr,,13,DET
1990,1,26,Lance Blanks,SG,6-4,190.0,23.0,Texas,Sr,,3,DET
1988,2,30,Fennis Dembo,GF,6-5,215.0,22.0,Wyoming,Sr,,1,DET
1988,2,48,Micheal Williams,PG,6-2,175.0,21.0,Baylor,Sr,,11,DET
