Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2024,2,37,Bobi Klintman,F,6-9,225.0,21.0,Cairns (Australia),2003 DOB *,MIN to  DET,1,1641752.0,SE,2025,0.0,DET
2023,1,25,Marcus Sasser,G,6-1,195.0,22.0,Houston,Sr *,MEM to  BOS BOS  to DET,2,1631204.0,US,2025,0.0,DET
2022,1,13,Jalen Duren,PF,6-10,250.0,18.0,Memphis,Fr *,CHA to  NYK NYK  to DET,3,1631105.0,US,2025,0.0,DET
2020,1,16,Isaiah Stewart II,C,6-8,250.0,19.0,Washington,Fr *,POR to  HOU HOU  to DET,5,1630191.0,US,2025,0.0,DET
2020,1,19,Saddiq Bey,F,6-8,215.0,21.0,Villanova,So *,BKN to  DET,5,1630180.0,US,2025,0.0,NOP
2020,2,38,Saben Lee,G,6-2,183.0,21.0,Vanderbilt,Jr *,UTA to  DET,4,1630240.0,US,2023,0.0,PHX
2019,2,37,Deividas Sirvydis,GF,6-8,190.0,19.0,Lietuvos Rytas II (Lithuania),2000 DOB *,DAL to  DET,2,1629686.0,LT,2021,0.0,IND
2019,2,56,Jaylen Hands,G,6-3,180.0,20.0,UCLA,So *,LAC to  BKN BKN  to DET,0,,,,,
2019,2,57,Jordan Bone,SG,6-2,180.0,21.0,Tennessee,Jr *,NOP to  ATL ATL  to PHI PHI  to DET,2,1629648.0,US,2020,0.0,ORL
2018,2,38,Khyri Thomas,SG,6-3,210.0,22.0,Creighton,Jr *,PHI to  DET,3,1629017.0,US,2020,0.0,DET
2008,2,32,Walter Sharpe,F,6-9,245.0,21.0,UAB,Jr *,SEA to  DET,1,201594.0,US,2008,0.0,DET
2008,2,46,Trent Plaisted,C,6-11,245.0,21.0,Brigham Young,Jr *,SEA to  DET,0,,,,,
2006,2,51,Cheickh Samb,C,7-1,245.0,21.0,CB Cornella (Spain),1984 DOB,LAL to  DET,2,200798.0,SN,2008,0.0,LAC
1996,2,47,Ron Riley,SG,6-5,205.0,22.0,Arizona State,Sr,SEA to  DET,2,,,,,
1994,1,22,Bill Curley,F,6-9,220.0,22.0,Boston College,Sr,SAS to  DET,8,223.0,US,2000,0.0,DET
1994,2,54,Zeljko Rebraca,C,7-0,265.0,22.0,KK Partizan (Serbia),1972 DOB,SEA to  MIN MIN  to TOR TOR  to DET,6,1442.0,RS,2005,0.0,DET
1992,2,37,Isaiah Morris,F,6-8,228.0,23.0,Arkansas,Sr,MIA to  DET,2,77647.0,US,1992,0.0,DET
1964,2,15,Bill Chmielewski,C,6-9,240.0,22.0,Dayton,Sr,CIN to  DET,0,,,,,
1958,5,36,Don Ohl,SG,6-3,190.0,22.0,Illinois,Sr,PHI to  DET,10,77751.0,US,1969,0.0,DET
1955,2,9,Corky Devlin,F,6-5,200.0,23.0,George Washington,Sr,PHI to  FWP,3,76561.0,US,1957,0.0,DET
1954,4,30,Chuck Noble,SG,6-4,200.0,22.0,Louisville,Sr,PHI to  FWP,7,77722.0,US,1961,0.0,DET
1950,1,1,Charlie Share,C,6-11,235.0,23.0,Bowling Green,Sr,BOS to  FWP,9,78125.0,US,1959,0.0,ATL
2025,2,37,Chaz Lanier,G,6-3,206.0,23.0,Tennessee,Sr,,0,1642404.0,US,2025,0.0,DET
2024,1,5,Ron Holland,F,6-8,206.0,18.0,NBA G League Ignite,2005 DOB *,,1,1641842.0,US,2025,0.0,DET
2023,1,5,Ausar Thompson,G,6-7,205.0,20.0,Overtime Elite (Georgia),2003 DOB,,2,1641709.0,US,2025,0.0,DET
2022,1,5,Jaden Ivey,G,6-3,195.0,20.0,Purdue,So *,,3,1631093.0,US,2025,0.0,DET
2021,1,1,Cade Cunningham,SF,6-6,220.0,19.0,Oklahoma State,Fr *,,4,1630595.0,US,2025,0.0,DET
2021,2,42,Isaiah Livers,PF,6-6,232.0,23.0,Michigan,Sr *,,3,1630587.0,US,2025,0.0,PHX
2021,2,52,Luka Garza,C,6-10,243.0,22.0,Iowa,Sr *,,4,1630568.0,US,2025,0.0,BOS
2020,1,7,Killian Hayes,G,6-4,195.0,19.0,Ratiopharm Ulm (Germany),2001 DOB *,,5,1630165.0,FR,2024,0.0,CLE
2019,1,15,Sekou Doumbouya,F,6-8,235.0,18.0,CSP Limoges (France),2000 DOB *,,3,1629635.0,FR,2021,0.0,LAL
2018,2,42,"Bruce Brown, Jr.",SG,6-4,202.0,21.0,Miami (FL),So *,,7,1628971.0,US,2025,0.0,DEN
2017,1,12,Luke Kennard,SG,6-5,206.0,20.0,Duke,So *,,8,1628379.0,US,2025,0.0,ATL
2016,1,18,Henry Ellenson,PF,6-10,240.0,19.0,Marquette,Fr *,,5,1627740.0,US,2020,0.0,DET
2016,2,49,Michael Patrick Gbinije,SF,6-6,200.0,24.0,Syracuse,Sr,,1,1627771.0,US,2016,0.0,DET
2015,1,8,Stanley Johnson,G,6-6,242.0,19.0,Arizona,Fr *,,8,1626169.0,US,2022,0.0,UTA
2015,2,38,Darrun Hilliard,SG,6-6,220.0,22.0,Villanova,Sr,,3,1626199.0,US,2017,0.0,DET
2014,2,38,Spencer Dinwiddie,PG,6-5,215.0,21.0,Colorado,Jr *,,11,203915.0,US,2024,0.0,CHA
2013,1,8,Kentavious Caldwell-Pope,SG,6-5,204.0,20.0,Georgia,So *,,12,203484.0,US,2025,0.0,MEM
2013,2,37,Tony Mitchell,F,6-9,240.0,21.0,North Texas,So *,,2,203502.0,US,2013,0.0,DET
2013,2,56,Peyton Siva,PG,6-0,185.0,22.0,Louisville,Sr,,1,203491.0,US,2013,0.0,DET
2012,1,9,Andre Drummond,C,6-11,279.0,18.0,UConn,Fr *,,13,203083.0,US,2025,0.0,PHI
2012,2,39,Khris Middleton,SF,6-7,222.0,20.0,Texas A&M,Jr *,,13,203114.0,US,2025,0.0,WAS
2012,2,44,Kim English,SG,6-6,200.0,23.0,Missouri,Sr,,1,203119.0,US,2012,0.0,DET
2011,1,8,Brandon Knight,G,6-2,182.0,19.0,Kentucky,Fr *,,10,202688.0,US,2021,0.0,DAL
2011,2,33,Kyle Singler,F,6-8,228.0,23.0,Duke,Sr,,6,202713.0,US,2017,0.0,DET
2011,2,52,Vernon Macklin,F,6-10,227.0,24.0,Florida,Sr,,1,202731.0,US,2011,0.0,DET
2010,1,7,Greg Monroe,FC,6-11,265.0,20.0,Georgetown,So *,,10,202328.0,US,2021,0.0,MIN
2010,2,36,Terrico White,G,6-5,215.0,20.0,Ole Miss,So *,,1,202358.0,US,2010,0.0,PHX
2009,1,15,Austin Daye,F,6-11,220.0,21.0,Gonzaga,So *,,6,201948.0,US,2014,0.0,DET
2009,2,35,DaJuan Summers,PF,6-8,230.0,21.0,Georgetown,Jr *,,4,201969.0,US,2012,0.0,DET
2009,2,39,Jonas Jerebko,F,6-10,231.0,22.0,Edilnol Pallacanestro Biella (Italy),1987 DOB,,10,201973.0,SE,2018,0.0,DET
2008,2,59,Deron Washington,GF,6-7,210.0,22.0,Virginia Tech,Sr,,0,,,,,
2007,1,15,Rodney Stuckey,G,6-5,205.0,21.0,Eastern Washington,So *,,10,201155.0,US,2016,0.0,DET
2007,1,27,Arron Afflalo,SG,6-5,210.0,21.0,UCLA,Jr *,,11,201167.0,US,2017,0.0,DEN
2007,2,57,Sammy Mejia,SF,6-6,190.0,24.0,DePaul,Sr,,0,,,,,
2006,2,60,Will Blalock,G,6-1,200.0,22.0,Iowa State,Jr *,,1,200807.0,US,2006,0.0,DET
2005,1,26,Jason Maxiell,PF,6-7,260.0,22.0,Cincinnati,Sr,,10,101131.0,US,2014,0.0,DET
2005,2,56,Amir Johnson,PF,6-9,240.0,18.0,Westchester High School (California),1987 DOB *,,14,101161.0,US,2018,0.0,TOR
2005,2,60,Alex Acker,SG,6-5,185.0,22.0,Pepperdine,Jr *,,2,101165.0,US,2008,0.0,LAC
2004,2,54,Ricky Paulding,SF,6-5,218.0,21.0,Missouri,Sr,,0,,,,,
2003,1,2,Darko Milicic,FC,7-0,275.0,18.0,KK Vrsac Swisslion (Serbia),1985 DOB *,,10,2545.0,RS,2012,0.0,MEM
2003,1,25,Carlos Delfino,SG,6-6,230.0,20.0,Fortituto Kontatto Bologna (Italy),1982 DOB *,,9,2568.0,AR,2013,0.0,DET
2003,2,58,Andreas Glyniadakis,C,7-0,245.0,21.0,Olympiacos (Greece),1981 DOB,,1,2601.0,GR,2006,0.0,OKC
2002,1,23,Tayshaun Prince,F,6-9,212.0,22.0,Kentucky,Sr,,14,2419.0,US,2015,0.0,DET
2001,1,9,Rodney White,F,6-9,238.0,20.0,Charlotte,Fr *,,4,2206.0,US,2004,0.0,DEN
2001,2,37,Mehmet Okur,FC,6-11,249.0,22.0,Anadolu Efes (Turkey),1979 DOB,,10,2246.0,TR,2011,0.0,UTA
