Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
2025,2,52,Alex Toohey,F,6-8,223.0,21.0,Sydney (Australia),2004 DOB *,PHX to  GSW,0,1642893.0,AU,2025,0.0
2025,2,56,Will Richard,F,6-3,206.0,22.0,Florida,Sr,MEM to  GSW,0,1642954.0,US,2025,0.0
2023,2,57,Trayce Jackson-Davis,F,6-9,245.0,23.0,Indiana,Sr *,WAS to  GSW,2,1631218.0,US,2025,0.0
2022,2,44,Ryan Rollins,G,6-3,180.0,19.0,Toledo,So *,ATL to  GSW,3,1631157.0,US,2025,0.0
2019,2,39,Alen Smailagic,PF,6-10,215.0,18.0,Santa Cruz Warriors,2000 DOB,NOP to  GSW,2,1629346.0,RS,2020,0.0
2017,2,38,Jordan Bell,PF,6-7,216.0,22.0,Oregon,Jr *,CHI to  GSW,5,1628395.0,US,2021,0.0
2016,2,38,Patrick McCaw,G,6-7,181.0,20.0,UNLV,So *,MIL to  GSW,5,1627775.0,US,2020,0.0
2015,2,55,Cady Lalanne,FC,6-9,242.0,23.0,Massachusetts,Sr,SAS to  GSW,0,,,,
2013,1,30,Nemanja Nedovic,SG,6-3,192.0,22.0,Lietuvos Rytas (Lithuania),1991 DOB,PHX to  GSW,2,203517.0,RS,2013,0.0
2011,2,39,Jeremy Tyler,PF,6-10,260.0,20.0,Tokyo Apache (Japan),1991 DOB,CHA to  GSW,3,202719.0,US,2013,0.0
2007,1,8,Brandan Wright,F,6-10,210.0,19.0,North Carolina,Fr *,CHA to  GSW,11,201148.0,US,2017,0.0
2006,2,44,Lior Eliyahu,PF,6-7,225.0,20.0,Hapoel Galil Gilboa (Israel),1985 DOB *,ORL to  HOU HOU  to MIN MIN  to GSW,0,,,,
2004,2,55,Luis Flores,G,6-2,205.0,23.0,Manhattan,Sr,HOU to  DAL DAL  to GSW,1,2784.0,US,2004,0.0
2002,1,16,Jiri Welsch,F,6-6,208.0,22.0,Union Olimpija (Slovenia),1980 DOB,PHI to  GSW,4,2412.0,CZ,2005,0.0
2002,2,54,Mladen Sekularac,G-F,6-8,205.0,21.0,KK FMP (Serbia),1981 DOB *,DAL to  GSW,0,,,,
1999,1,26,Vonteego Cummings,PG,6-4,190.0,23.0,Pittsburgh,Sr,IND to  GSW,4,1907.0,US,2002,0.0
1998,1,4,Antawn Jamison,F,6-9,235.0,22.0,North Carolina,Jr *,TOR to  GSW,16,1712.0,US,2013,0.0
1994,1,11,Carlos Rogers,FC,6-11,220.0,23.0,Tennessee State,Sr,SEA to  GSW,8,435.0,US,2001,0.0
1993,1,1,Chris Webber,F-C,6-9,245.0,20.0,Michigan,So *,ORL to  GSW,15,185.0,US,2007,0.0
1993,2,43,Josh Grant,F,6-10,225.0,25.0,Utah,Sr,DEN to  GSW,1,76852.0,US,1993,0.0
1991,1,3,Billy Owens,SF,6-8,220.0,22.0,Syracuse,Jr *,SAC to  GSW,11,182.0,US,2002,0.0
1986,1,23,Ken Barlow,PF,6-10,220.0,21.0,Notre Dame,Sr,LAL to  ATL ATL  to GSW,0,,,,
1962,5,39,John Windsor,F,6-8,215.0,21.0,Stanford,Sr,PHI to  GSW,1,78591.0,US,1963,0.0
2023,1,19,Brandin Podziemski,G,6-4,205.0,20.0,Santa Clara,So *,,2,1641764.0,US,2025,0.0
2022,1,28,"Patrick Baldwin, Jr.",SG,7-0,220.0,19.0,Milwaukee,Fr *,,3,1631116.0,US,2024,0.0
2022,2,55,Gui Santos,GF,6-7,185.0,20.0,Minas (Brazil),2002 DOB *,,2,1630611.0,BR,2025,0.0
2021,1,7,Jonathan Kuminga,F,6-7,225.0,18.0,NBA G League Ignite,2002 DOB,,4,1630228.0,CD,2025,0.0
2021,1,14,Moses Moody,SG,6-5,211.0,19.0,Arkansas,Fr *,,4,1630541.0,US,2025,0.0
2020,1,2,James Wiseman,C,6-11,240.0,19.0,Memphis,Fr *,,5,1630164.0,US,2025,0.0
2020,2,48,Nico Mannion,PG,6-3,190.0,19.0,Arizona,Fr *,,1,1630185.0,IT,2020,0.0
2019,1,28,Jordan Poole,SG,6-4,194.0,20.0,Michigan,So *,,6,1629673.0,US,2025,0.0
2019,2,41,Eric Paschall,F,6-6,255.0,22.0,Villanova,Sr,,4,1629672.0,US,2021,0.0
2018,1,28,Jacob Evans,SG,6-6,210.0,21.0,Cincinnati,Jr *,,2,1628980.0,US,2019,0.0
2016,1,30,Damian Jones,PF,6-10,245.0,20.0,Vanderbilt,Jr *,,8,1627745.0,US,2023,0.0
2015,1,30,Kevon Looney,PF,6-9,222.0,19.0,UCLA,Fr *,,10,1626172.0,US,2025,0.0
2012,1,7,Harrison Barnes,SF,6-7,225.0,20.0,North Carolina,So *,,13,203084.0,US,2025,0.0
2012,1,30,Festus Ezeli,C,6-11,265.0,22.0,Vanderbilt,Sr,,5,203105.0,NG,2016,0.0
2012,2,35,Draymond Green,F,6-6,230.0,22.0,Michigan State,Sr,,13,203110.0,US,2025,0.0
2012,2,52,Ognen Kuzmic,C,7-1,251.0,22.0,Unicaja (Spain),1990 DOB,,2,203136.0,RS,2014,0.0
2011,1,11,Klay Thompson,G,6-5,220.0,21.0,Washington State,Jr *,,14,202691.0,US,2025,0.0
2011,2,44,Charles Jenkins,G,6-3,215.0,22.0,Hofstra,Sr,,2,202724.0,US,2012,0.0
2010,1,6,Ekpe Udoh,PF,6-10,245.0,23.0,Baylor,Jr *,,7,202327.0,US,2018,0.0
2009,1,7,Stephen Curry,G,6-2,185.0,21.0,Davidson,Jr *,,16,201939.0,US,2025,0.0
2008,1,14,Anthony Randolph,PF,6-11,225.0,18.0,LSU,Fr *,,6,201576.0,US,2013,0.0
2008,2,49,Richard Hendrix,FC,6-9,264.0,21.0,Alabama,Jr *,,1,,,,
2007,1,18,Marco Belinelli,G,6-5,225.0,21.0,Fortituto Kontatto Bologna (Italy),1986 DOB *,,13,201158.0,IT,2019,0.0
2007,2,46,Yann Ulrich Stephane Lasme,F,6-8,215.0,24.0,Massachusetts,Sr,,1,201186.0,GA,2007,0.0
2006,1,9,Patrick O'Bryant,C,7-0,250.0,20.0,Bradley,So *,,4,200753.0,US,2009,0.0
2006,2,38,Kosta Perovic,C,7-2,240.0,21.0,KK Partizan (Serbia),1985 DOB *,,1,200785.0,RS,2007,0.0
2005,1,9,Ike Diogu,PF,6-8,255.0,21.0,Arizona State,Jr *,,7,101113.0,US,2011,0.0
2005,2,40,Monta Ellis,G,6-3,185.0,19.0,Lanier High School (Mississippi),1985 DOB *,,12,101145.0,US,2016,0.0
2005,2,42,Chris Taft,F,6-10,265.0,20.0,Pittsburgh,So *,,1,101147.0,US,2005,0.0
2004,1,11,Andris Biedrins,C,7-0,250.0,18.0,BK Skonto Riga (Latvia),1986 DOB *,,10,2740.0,LV,2013,0.0
2003,1,11,Mickael Pietrus,GF,6-6,215.0,21.0,Pau-Orthez (France),1982 DOB *,,10,2554.0,FR,2012,0.0
2003,2,40,Derrick Zimmerman,G,6-3,195.0,21.0,Mississippi State,Sr,,3,2583.0,US,2005,0.0
2002,1,3,Mike Dunleavy,GF,6-9,230.0,21.0,Duke,Jr *,,15,2399.0,US,2016,0.0
2001,1,5,Jason Richardson,GF,6-6,225.0,20.0,Michigan State,So *,,14,2202.0,US,2014,0.0
2001,1,14,Troy Murphy,FC,6-11,245.0,21.0,Notre Dame,Jr *,,12,2211.0,US,2012,0.0
2001,2,30,Gilbert Arenas,G,6-3,191.0,19.0,Arizona,So *,,11,2240.0,US,2011,0.0
2000,2,55,Chris Porter,F,6-7,215.0,22.0,Auburn,Sr,,2,2084.0,US,2000,0.0
1999,2,56,Tim Young,C,7-0,220.0,23.0,Stanford,Sr,,1,1937.0,US,1999,0.0
1997,1,8,Adonal Foyle,C,6-10,250.0,22.0,Colgate,Jr *,,13,1502.0,,2009,0.0
1997,2,37,Marc Jackson,C,6-10,270.0,22.0,Temple,Jr *,,7,1531.0,US,2006,0.0
1996,1,11,Todd Fuller,C,6-11,255.0,21.0,NC State,Sr,,6,957.0,US,2000,0.0
1996,2,40,Marcus Mann,F,6-8,245.0,22.0,Mississippi Valley State,Sr,,1,986.0,US,1997,0.0
1995,1,1,Joe Smith,F,6-10,225.0,19.0,Maryland,So *,,16,693.0,US,2010,0.0
1995,2,34,Andrew DeClercq,C,6-10,230.0,22.0,Florida,Sr,,10,692.0,US,2004,0.0
1994,1,16,Clifford Rozier,FC,6-11,245.0,21.0,Louisville,Jr *,,4,32.0,US,1997,0.0
1994,2,45,Dwayne Morton,F,6-7,195.0,22.0,Louisville,Sr,,2,132.0,US,1994,0.0
1992,1,24,Latrell Sprewell,SG,6-5,190.0,21.0,Alabama,Sr,,13,84.0,US,2004,0.0
1992,2,50,Matt Fish,PF,6-11,235.0,22.0,UNC Wilmington,Sr,,7,900.0,US,1996,0.0
1991,1,16,Chris Gatling,PF,6-10,220.0,23.0,Old Dominion,Sr,,11,423.0,US,2001,0.0
1991,1,17,Victor Alexander,PF,6-9,265.0,21.0,Iowa State,Sr,,6,2349.0,US,2001,0.0
1991,1,25,Shaun Vandiver,C,6-10,240.0,23.0,Colorado,Sr,,0,,,,
1990,1,11,Tyrone Hill,PF,6-9,240.0,22.0,Xavier,Sr,,14,238.0,US,2003,0.0
