Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,1,10,Khaman Maluach,C,7-1,250.0,18.0,Duke,Fr *,HOU to PHX,0,1642863.0,South Sudan,2025
2025,2,59,Jahmai Mashack,F,6-4,203.0,22.0,Tennessee,Sr,HOU to GOS GOS to MEM,0,,,
2024,1,3,Reed Sheppard,G,6-2,185.0,20.0,Kentucky,Fr *,,1,1642263.0,USA,2025
2024,2,44,Pelle Larsson,SG,6-5,215.0,23.0,Arizona,Sr *,HOU to MIA,1,1641796.0,Sweden,2025
2023,1,4,Amen Thompson,G,6-7,200.0,20.0,Overtime Elite (Georgia),2003 DOB,,2,1641708.0,USA,2025
2023,1,20,Cam Whitmore,F,6-6,230.0,18.0,Villanova,Fr *,,2,1641715.0,USA,2025
2022,1,3,"Jabari Smith, Jr.",F,6-11,220.0,19.0,Auburn,Fr *,,3,2074.0,USA,2004
2022,1,3,"Jabari Smith, Jr.",F,6-11,220.0,19.0,Auburn,Fr *,,3,1631095.0,USA,2025
2022,1,17,Tari Eason,F,6-8,215.0,21.0,LSU,So *,,3,1631106.0,USA,2025
2021,1,2,Jalen Green,SG,6-4,186.0,19.0,NBA G League Ignite,2002 DOB,,4,1630224.0,USA,2025
2021,1,23,Usman Garuba,C,6-8,229.0,19.0,Real Madrid (Spain),2002 DOB *,,3,1630586.0,Spain,2023
2021,1,24,Josh Christopher,G,6-4,215.0,19.0,Arizona State,Fr *,,4,1630528.0,USA,2024
2018,2,46,De'Anthony Melton,SG,6-2,200.0,20.0,USC,So *,HOU to PHX,7,1629001.0,USA,2025
2017,2,43,Isaiah Hartenstein,PF,7-0,250.0,19.0,Zalgiris (Lithuania),1998 DOB *,,7,1628392.0,Germany,2025
2017,2,45,Dillon Brooks,F,6-7,225.0,21.0,Oregon,Jr *,HOU to MEM,8,1628415.0,Canada,2025
2016,2,37,Chinanu Onuaku,C,6-9,250.0,19.0,Louisville,So *,,2,1627778.0,USA,2017
2016,2,43,Zhou Qi,C,7-1,210.0,20.0,Xinjiang Guanghui (China),1996 DOB *,,2,1627753.0,China,2018
2015,1,18,Sam Dekker,SF,6-9,230.0,21.0,Wisconsin,Jr *,,5,1626155.0,USA,2021
2015,2,32,Montrezl Harrell,F,6-7,240.0,21.0,Louisville,Jr *,,8,1626149.0,USA,2022
2014,1,25,Clint Capela,PF,6-10,256.0,20.0,Chalon-Sur-Saone (France),1994 DOB *,,11,203991.0,Switzerland,2025
2014,2,42,Nick Johnson,SG,6-3,200.0,21.0,Arizona,Jr *,,1,203910.0,USA,2014
2013,2,34,Isaiah Canaan,G,6-0,200.0,22.0,Murray State,Sr,,6,203477.0,USA,2018
2012,1,12,Jeremy Lamb,SG,6-5,180.0,20.0,UConn,So *,,10,203087.0,USA,2021
2012,1,16,Royce White,PF,6-8,268.0,21.0,Iowa State,So *,,2,203091.0,USA,2013
2012,1,18,Terrence Jones,PF,6-9,255.0,20.0,Kentucky,So *,,6,203093.0,USA,2018
2011,1,14,Marcus Morris,F,6-8,218.0,21.0,Kansas,Jr *,,13,,,
2011,1,23,Nikola Mirotic,F,6-10,250.0,20.0,Real Madrid (Spain),1991 DOB *,HOU to MIN MIN to CHI,5,202703.0,Montenegro,2018
2011,2,38,Chandler Parsons,SF,6-10,230.0,22.0,Florida,Sr,HOU to MIN MIN to HOU,9,202718.0,USA,2019
2010,1,14,Patrick Patterson,F,6-8,235.0,21.0,Kentucky,Jr *,,11,202335.0,USA,2020
2008,1,25,Nicolas Batum,F,6-7,230.0,19.0,Le Mans Sarthe Basket (France),1988 DOB *,HOU to POR,17,201587.0,France,2025
2008,2,54,Maarty Leunen,F,6-9,220.0,22.0,Oregon,Sr,HOU to LAC LAC to DAL DAL to HOU HOU to IND,0,,,
2007,1,26,Aaron Brooks,G,6-0,161.0,22.0,Oregon,Sr,,10,201166.0,USA,2017
2007,2,54,Brad Newley,F,6-6,205.0,22.0,Lietuvos Rytas (Lithuania),1985 DOB,HOU to LAL LAL to NYK,0,,,
2006,1,8,Rudy Gay,SF,6-7,250.0,19.0,UConn,So *,HOU to MEM,17,200752.0,USA,2022
2006,2,32,Steve Novak,F,6-10,225.0,23.0,Marquette,Sr,,11,200779.0,USA,2016
2005,1,24,Luther Head,G,6-3,185.0,22.0,Illinois,Sr,,6,101129.0,USA,2010
2004,2,55,Luis Flores,G,6-2,205.0,23.0,Manhattan,Sr,HOU to DAL DAL to GOS,1,2784.0,USA,2004
2003,2,44,Malick Badiane,FC,6-11,230.0,19.0,TV 1862 Langen (Germany),1984 DOB *,HOU to MEM,0,,,
2002,1,1,Yao Ming,C,7-6,310.0,21.0,Shanghai Dongfang (China),1980 DOB,,9,2397.0,China,2010
2002,1,15,Bostjan Nachbar,F,6-10,220.0,21.0,Universo De'Longhi Treviso (Italy),1980 DOB,,6,2411.0,Slovenia,2007
