Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2025,2,36,Adou Thiero,G,6-7,220.0,21.0,Arkansas,Jr *,BKN to  LAL,0,1642876.0,US,2025,0.0,LAL
2023,2,40,Maxwell Lewis,SF,6-7,215.0,20.0,Pepperdine,So *,DEN to  LAL,2,1641721.0,US,2024,0.0,BKN
2019,2,46,Talen Horton-Tucker,SF,6-4,234.0,18.0,Iowa State,Fr *,ORL to  LAL,6,1629659.0,US,2024,0.0,CHI
2018,2,39,Isaac Bonga,SG,6-8,180.0,18.0,Fraport Skyliners (Germany),1999 DOB *,PHI to  LAL,4,1629067.0,DE,2021,0.0,TOR
2017,1,27,Kyle Kuzma,F,6-8,221.0,21.0,Utah,Jr *,BKN to  LAL,8,1628398.0,US,2025,0.0,MIL
2017,1,30,Josh Hart,SG,6-5,215.0,22.0,Villanova,Sr,UTA to  LAL,8,1628404.0,US,2025,0.0,NYK
2017,2,42,Thomas Bryant,C,6-9,248.0,19.0,Indiana,So *,UTA to  LAL,8,1628418.0,US,2025,0.0,CLE
2014,2,46,Jordan Clarkson,G,6-5,194.0,22.0,Missouri,Jr *,WAS to  LAL,11,203903.0,US,2025,0.0,NYK
2014,2,57,Louis Labeyrie,PF,6-10,200.0,22.0,Boulogne-Levallois (France),1992 DOB,IND to  NYK NYK  to LAL,0,,,,,
2012,2,55,Darius Johnson-Odom,SG,6-2,220.0,22.0,Marquette,Sr,DAL to  LAL,2,203130.0,US,2013,0.0,LAL
2006,2,58,J.R. Pinnock,SG,6-5,207.0,22.0,George Washington,Jr *,DAL to  LAL,0,,,,,
2002,1,20,Kareem Rush,G,6-6,201.0,21.0,Missouri,Jr *,TOR to  LAL,8,2416.0,US,2009,0.0,LAL
2000,2,54,Cory Hightower,G-F,6-8,200.0,20.0,Indian Hills,So *,SAS to  LAL,2,,,,,
1999,2,54,Melvin Levett,G,6-3,215.0,23.0,Cincinnati,Sr,DET to  LAL,1,,,,,
1998,1,23,Tyronn Lue,G,6-0,170.0,21.0,Nebraska,Jr *,DEN to  LAL,11,1731.0,US,2008,0.0,ATL
1996,1,13,Kobe Bryant,SG,6-6,212.0,17.0,Lower Merion High School (Pennsylvania),1978 DOB *,CHA to  LAL,20,977.0,US,2015,0.0,LAL
1994,2,39,Pig Miller,F,6-9,225.0,22.0,Michigan State,Sr,GSW to  LAL,10,292.0,US,2004,0.0,LAL
1992,1,17,Doug Christie,SG,6-6,200.0,22.0,Pepperdine,Jr,SEA to  LAL,15,57.0,US,2006,0.0,SAC
1986,1,19,Billy Thompson,F,6-7,195.0,22.0,Louisville,Sr,ATL to  LAL,7,1631.0,US,1991,0.0,MIA
1986,2,42,Ron Kellogg,GF,6-5,190.0,23.0,Kansas,Sr,ATL to  LAL,0,,,,,
1983,1,4,Byron Scott,SG,6-3,195.0,22.0,Arizona State,Jr *,SDC to  LAL,14,2.0,US,1996,0.0,LAL
1971,1,14,John Roche,PG,6-3,170.0,21.0,South Carolina,Sr,PHX to  LAL,4,78000.0,US,1981,0.0,DEN
1962,4,28,Jerry Grote,G,6-4,210.0,21.0,Loyola Marymount,Sr,STH to  LAL,1,76896.0,US,1964,0.0,LAL
1959,5,36,Nick Mantis,SG,6-3,190.0,23.0,Northwestern,Sr,STH to  MIN,2,77457.0,US,1962,0.0,WAS
1959,8,58,Willie Merriweather,,,,,Purdue,Sr,STH to  MIN,0,,,,,
1957,1,1,Hot Rod Hundley,G,6-4,185.0,22.0,West Virginia,Sr,ROR to  MIN,6,77082.0,US,1962,0.0,LAL
1954,6,47,Bob Carney,G,6-3,170.0,21.0,Bradley,Sr,MIL to  MIN,1,76345.0,US,1954,0.0,LAL
1950,2,14,John Pilch,G,6-3,185.0,24.0,Wyoming,Sr,BAL to  MIN,1,77859.0,US,1951,0.0,LAL
2024,1,17,Dalton Knecht,F,6-6,215.0,23.0,Tennessee,Sr,,1,1642261.0,US,2025,0.0,LAL
2024,2,55,Bronny James,G,6-2,210.0,19.0,USC,Fr *,,1,1642355.0,US,2025,0.0,LAL
2023,1,17,Jalen Hood-Schifino,PG,6-5,210.0,20.0,Indiana,Fr *,,2,1641720.0,US,2024,0.0,PHI
2022,2,35,Max Christie,F,6-5,190.0,19.0,Michigan State,Fr *,,3,1631108.0,US,2025,0.0,DAL
2018,1,25,Moe Wagner,PF,6-11,245.0,21.0,Michigan,Jr *,,7,1629021.0,DE,2025,0.0,ORL
2018,2,47,Svi Mykhailiuk,SF,6-7,205.0,21.0,Kansas,Sr,,7,1629004.0,UA,2025,0.0,UTA
2017,1,2,Lonzo Ball,PG,6-5,190.0,19.0,UCLA,Fr *,,8,1628366.0,US,2025,0.0,CLE
