Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,2,48,Javon Small,G,6-1,190,22,West Virginia,Sr,,0,MEM
2024,1,9,Zach Edey,C,7-3,305,22,Purdue,Sr  *,,1,MEM
2024,2,39,Jaylen Wells,F,6-7,206,20,Washington State,Jr  *,,1,MEM
2023,2,45,G.G. Jackson,PF,6-9,210,18,South Carolina,Fr  *,,2,MEM
2023,2,56,Tarik Biberovic,G,6-7,218,22,Fenerbahce Beko (Turkey),2001 DOB,,0,MEM
2022,2,47,"Vincent Williams, Jr.",SF,6-4,205,21,VCU,Sr  *,,3,MEM
2019,1,2,Ja Morant,G,6-2,174,19,Murray State,So  *,,6,MEM
2018,1,4,"Jaren Jackson, Jr.",PF,6-10,242,18,Michigan State,Fr  *,,7,MEM
2018,2,32,Jevon Carter,PG,6-0,200,22,West Virginia,Sr,,7,MEM
2016,1,17,Wade Baldwin IV,G,6-4,220,20,Vanderbilt,So  *,,3,MEM
2015,1,25,Jarell Martin,F,6-10,239,21,LSU,So  *,,4,MEM
2014,1,22,Jordan Adams,SG,6-5,209,19,UCLA,So  *,,2,MEM
2013,2,41,Jamaal Franklin,G,6-5,190,21,San Diego State,Jr  *,,2,MEM
2012,1,25,Tony Wroten,PG,6-6,205,19,Washington,Fr  *,,4,MEM
2011,2,49,Josh Selby,G,6-2,195,20,Kansas,Fr  *,,2,MEM
2010,1,12,Xavier Henry,G,6-6,220,19,Kansas,Fr  *,,5,MEM
2010,1,28,Greivis Vasquez,G,6-6,217,23,Maryland,Sr,,7,MEM
2009,1,2,Hasheem Thabeet,C,7-3,267,22,UConn,Jr  *,,5,MEM
2009,1,27,DeMarre Carroll,F,6-8,215,22,Missouri,Sr,,11,MEM
2009,2,36,Sam Young,F,6-6,225,24,Pittsburgh,Sr,,4,MEM
2007,1,4,Mike Conley,PG,6-1,175,19,Ohio State,Fr  *,,18,MEM
2006,1,24,Kyle Lowry,PG,6-0,196,20,Villanova,So  *,,19,MEM
2005,1,19,Hakim Warrick,F,6-9,219,22,Syracuse,Sr,,8,MEM
2002,1,4,Drew Gooden,FC,6-10,250,20,Kansas,Jr  *,,14,MEM
2002,2,31,Robert Archibald,PF,6-11,250,22,Illinois,Sr,,2,MEM
2001,1,6,Shane Battier,F,6-8,220,22,Duke,Sr,,13,MEM
2001,2,32,Will Solomon,G,6-1,181,22,Clemson,Jr  *,,2,MEM
2001,2,47,Antonis Fotsis,PF,6-8,248,20,AX Armani Exchange Milan (Italy),1981 DOB  *,,1,MEM
2000,1,2,Stromile Swift,F-C,6-9,225,20,LSU,So  *,,9,MEM
1999,1,2,Steve Francis,G,6-3,195,22,Maryland,Jr  *,VAN to  HOU,10,MEM
1999,2,37,Obinna Ekezie,C,6-9,270,23,Maryland,Sr,,6,MEM
1999,2,51,Antwain Smith,F,6-8,220,24,Saint Paul's,Sr,,1,MEM
1998,1,2,Mike Bibby,G,6-2,195,20,Arizona,So  *,,14,MEM
1998,2,56,J.R. Henderson,F,6-8,226,21,UCLA,Sr,,3,MEM
1997,1,4,Antonio Daniels,G,6-4,195,22,Bowling Green,Sr,,13,MEM
1997,2,52,C.J. Bruton,G,6-2,195,21,Indian Hills,So  *,VAN to  POR,1,MEM
