Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2024,2,44,Pelle Larsson,SG,6-5,215,23.0,Arizona,Sr *,HOU to  MIA,1,1641796.0,SE,2025,0.0,MIA
2019,2,32,KZ Okpala,SG,6-8,215,20.0,Stanford,So *,PHX to  MIA,4,1629644.0,US,2022,0.0,SAC
2014,1,24,Shabazz Napier,PG,6-1,180,22.0,UConn,Sr,CHA to  MIA,6,203894.0,US,2019,0.0,POR
2013,2,50,James Ennis,GF,6-6,215,22.0,Long Beach State,Sr,ATL to  MIA,8,203516.0,US,2021,0.0,DEN
2012,2,45,Justin Hamilton,C,7-0,255,22.0,LSU,Jr *,PHI to  MIA,3,203120.0,US,2016,0.0,BKN
2011,1,28,Norris Cole,G,6-2,170,22.0,Cleveland State,Sr,CHI to  MIN MIN  to MIA,6,202708.0,US,2016,0.0,MIA
2009,2,42,Patrick Beverley,PG,6-2,180,20.0,Dnipro Dnipropetrovsk (Ukraine),1988 DOB,LAL to  MIA,12,201976.0,US,2023,0.0,MIL
2008,2,34,Mario Chalmers,G,6-2,190,22.0,Kansas,Jr *,MIN to  MIA,10,201596.0,US,2017,0.0,MIA
2007,1,21,Daequan Cook,G,6-5,205,20.0,Ohio State,Fr *,PHI to  MIA,6,201161.0,US,2012,0.0,MIA
2005,2,35,Ricky Sanchez,F,7-0,220,17.0,IMG Academy (Florida),1987 DOB,POR to  DEN DEN  to PHI PHI  to MEM MEM  to MIA,0,,,,,
2001,2,44,Sean Lampley,F-G,6-6,213,21.0,California,Sr,CHI to  MIA,3,2253.0,US,2003,0.0,MIA
1997,2,57,Roberto Duenas,C,7-2,280,21.0,Barca (Spain),1975 DOB,CHI to  CHA NOP  to MIA,0,,,,,
1996,1,25,Martin Muursepp,F-C,6-10,235,21.0,Tallinna Ulikool Kalev (Estonia),1974 DOB,UTA to  MIA,3,982.0,EE,1997,0.0,DAL
1995,2,32,Terrence Rencher,G,6-3,185,22.0,Texas,Sr,WAS to  MIA,2,720.0,US,1995,0.0,MIA
1992,2,43,Sasha Danilovic,SF,6-5,200,22.0,,1970 DOB,GSW to  MIA,2,390.0,RS,1996,0.0,MIA
1990,1,12,Alec Kessler,C,6-11,230,23.0,Georgia,Sr,HOU to  MIA,4,77251.0,US,1993,0.0,MIA
1990,2,40,Bimbo Coles,SG,6-1,180,22.0,Virginia Tech,Sr,SAC to  MIA,14,902.0,US,2003,0.0,MIA
2025,1,20,Kasparas Jakucionis,G,6-5,200,19.0,Illinois,Fr *,,0,1642857.0,LT,2025,0.0,MIA
2024,1,15,Kel'el Ware,PF,7-0,230,20.0,Indiana,So *,,1,1642276.0,US,2025,0.0,MIA
2023,1,18,"Jaime Jaquez, Jr.",GF,6-6,225,22.0,UCLA,Sr *,,2,1631170.0,US,2025,0.0,MIA
2022,1,27,Nikola Jovic,F,6-10,205,19.0,KK Mega Bemax (Serbia),2003 DOB *,,3,1631107.0,RS,2025,0.0,MIA
2020,1,20,Precious Achiuwa,SF,6-8,243,21.0,Memphis,Fr *,,5,1630173.0,NG,2025,0.0,SAC
