Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,2,47,Bogoljub Markovic,PF,6-11,210.0,19.0,OKK Beograd (Serbia),2005 DOB *,,0,,,
2024,1,23,A.J. Johnson,G,6-5,160.0,19.0,Illawarra (Australia),2004 DOB *,,1,1642358.0,USA,2025
2024,2,33,Tyler Smith,F,6-9,224.0,19.0,NBA G League Ignite,2004 DOB *,,1,1641890.0,USA,2024
2023,2,58,Chris Livingston,F,6-6,220.0,19.0,Kentucky,Fr *,,2,1641753.0,USA,2025
2022,1,24,MarJon Beauchamp,SG,6-7,199.0,21.0,NBA G League Ignite,2000 DOB,,3,1630699.0,USA,2024
2021,2,31,Isaiah Todd,PF,6-10,220.0,19.0,NBA G League Ignite,2001 DOB,MIL to IND IND to WAS,2,1630225.0,USA,2022
2020,1,24,R.J. Hampton,G,6-4,175.0,19.0,New Zealand (New Zealand),2001 DOB,MIL to DEN,4,1630181.0,USA,2023
2020,2,45,Jordan Nwora,F,6-8,225.0,22.0,Louisville,Jr *,,4,1629670.0,USA,2023
2019,1,30,"Kevin Porter, Jr.",SF,6-5,203.0,19.0,USC,Fr *,MIL to DET DET to CLE,5,77876.0,USA,1982
2019,1,30,"Kevin Porter, Jr.",SF,6-5,203.0,19.0,USC,Fr *,MIL to DET DET to CLE,5,1629645.0,USA,2025
2018,1,17,Donte DiVincenzo,SG,6-4,203.0,21.0,Villanova,So *,,7,1628978.0,USA,2025
2017,1,17,D.J. Wilson,F,6-10,231.0,21.0,Michigan,So *,,6,1628391.0,USA,2023
2017,2,48,Sindarius Thornwell,SG,6-4,215.0,22.0,South Carolina,Sr,MIL to LAC,3,1628414.0,USA,2020
2016,1,10,Thon Maker,C,7-0,221.0,19.0,Athlete Institute Prep (Ontario),1997 DOB *,,5,1627748.0,South Sudan,2020
2016,2,36,Malcolm Brogdon,SG,6-5,229.0,23.0,Virginia,Sr,,9,1627763.0,USA,2024
