Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,17,Joan Beringer,C,6-11,230,18,Cedevita (Croatia),2006 DOB  *,,0,MIN
2024,1,27,"Terrence Shannon, Jr.",F,6-6,215,23,Illinois,Sr,,1,MIN
2023,2,53,Jaylen Clark,G,6-5,205,21,UCLA,Jr  *,,2,MIN
2022,2,50,Matteo Spagnolo,SG,6-6,196,19,Vanoli Cremona (Italy),2003 DOB  *,,0,MIN
2020,1,1,Anthony Edwards,SF,6-4,225,19,Georgia,Fr  *,,5,MIN
2019,2,43,Jaylen Nowell,SG,6-4,201,19,Washington,So  *,,6,MIN
2018,1,20,Josh Okogie,SG,6-4,213,19,Georgia Tech,So  *,,7,MIN
2018,2,48,Keita Bates-Diop,SF,6-8,229,22,Ohio State,Jr  *,,6,MIN
2016,1,5,Kris Dunn,SG,6-3,205,22,Providence,Jr  *,,9,MIN
2015,1,1,Karl-Anthony Towns,C,7-0,248,19,Kentucky,Fr  *,,10,MIN
2014,1,13,Zach LaVine,SG,6-5,200,19,UCLA,Fr  *,,11,MIN
2014,2,40,Glenn Robinson,SF,6-6,222,20,Michigan,So  *,,7,MIN
2013,2,52,Lorenzo Brown,SG,6-5,189,22,NC State,Jr  *,,5,MIN
2012,2,58,Robbie Hummel,F,6-8,220,23,Purdue,Sr,,2,MIN
2011,1,2,Derrick Williams,F,6-8,240,20,Arizona,So  *,,7,MIN
2010,1,4,Wesley Johnson,GF,6-7,215,22,Syracuse,Jr  *,,9,MIN
2010,2,45,Paulao Prestes,C,6-11,260,22,UCAM Murcia CB (Spain),1988 DOB,,0,MIN
2009,1,5,Ricky Rubio,G,6-2,190,18,Joventut Badalona (Spain),1990 DOB  *,,13,MIN
2009,1,6,Jonny Flynn,PG,5-10,196,20,Syracuse,So  *,,3,MIN
2009,1,28,Wayne Ellington,SG,6-4,207,21,North Carolina,Jr  *,,13,MIN
2009,2,47,Henk Norel,C,7-0,230,21,Joventut Badalona (Spain),1987 DOB,,0,MIN
2008,2,31,Nikola Pekovic,PF,6-11,307,22,Panathinaikos (Greece),1986 DOB,,7,MIN
2007,1,7,Corey Brewer,GF,6-9,186,21,Florida,Jr  *,,13,MIN
2007,2,41,Chris Richard,F,6-9,255,22,Florida,Sr,,2,MIN
2006,2,36,Craig Smith,PF,6-7,250,22,Boston College,Sr,,6,MIN
2006,2,57,Loukas Mavrokefalidis,C,6-10,260,21,PAOK BC (Greece),1984 DOB,,0,MIN
2005,1,14,Rashad McCants,G,6-4,200,20,North Carolina,Jr  *,,4,MIN
2005,2,47,Bracey Wright,G,6-3,210,20,Indiana,Jr  *,,2,MIN
2004,2,58,Blake Stepp,G,6-4,192,22,Gonzaga,Sr,,1,MIN
2003,1,26,Ndudi Ebi,F,6-9,231,19,Westbury Christian School (Texas),1984 DOB  *,,2,MIN
2003,2,55,Rick Rickert,PF,6-11,215,20,Minnesota,So  *,,1,MIN
2002,2,51,Marcus Taylor,G,6-3,195,20,Michigan State,So  *,,1,MIN
2001,2,45,Loren Woods,C,7-1,245,23,Arizona,Sr,,6,MIN
2000,2,51,Igor Rakocevic,G,6-3,183,22,KK Crvena Zvezda (Serbia),1978 DOB,,1,MIN
1999,1,6,Wally Szczerbiak,F,6-7,240,22,Miami (OH),Sr,,10,MIN
1999,1,14,William Avery,PG,6-2,197,19,Duke,So  *,,4,MIN
1998,1,17,Rasho Nesterovic,C,7-0,255,22,Virtus Bologna (Italy),1976 DOB,,12,MIN
1998,2,46,Andrae Patterson,F-C,6-9,255,22,Indiana,Sr,,3,MIN
1997,1,20,Paul Grant,C,7-0,245,23,Wisconsin,Sr,,7,MIN
1997,2,43,Gordon Malone,C,6-11,215,22,West Virginia,Jr  *,,1,MIN
1995,1,5,Kevin Garnett,PF,6-11,240,19,Farragut Career Academy (Illinois),1976 DOB  *,,21,MIN
1995,2,48,Mark Davis,G-F,6-7,210,22,Texas Tech,Sr,,6,MIN
1995,2,49,Jerome Allen,G,6-4,185,22,Pennsylvania,Sr,,4,MIN
1994,1,4,Donyell Marshall,F,6-9,245,21,UConn,Jr  *,,15,MIN
1994,2,30,Howard Eisley,G,6-2,177,21,Boston College,Sr,,12,MIN
1993,1,5,J.R. Rider,SG,6-5,215,22,UNLV,Sr,,9,MIN
1993,2,29,Sherron Mills,F,6-8,220,21,VCU,Sr,,1,MIN
1992,1,3,Christian Laettner,PF,6-11,245,22,Duke,Sr,,13,MIN
1992,2,28,Marlon Maxey,F,6-8,250,23,UTEP,Sr,,2,MIN
1992,2,34,Chris Smith,G,6-3,190,22,UConn,Sr,,4,MIN
1991,1,7,Luc Longley,C,7-3,298,22,New Mexico,Sr,,10,MIN
1991,2,34,Myron Brown,SG,6-3,180,21,Slippery Rock,Sr,,1,MIN
1990,1,6,Felton Spencer,C,7-0,265,22,Louisville,Sr,,12,MIN
1990,1,20,Gerald Glass,F,6-5,240,22,Ole Miss,Sr,,5,MIN
1989,1,10,Pooh Richardson,PG,6-1,180,23,UCLA,Sr,,11,MIN
1989,2,34,Gary Leonard,C,7-1,250,22,Missouri,Sr,,3,MIN
1989,2,38,Doug West,G-F,6-6,200,22,Villanova,Sr,,12,MIN
1985,1,22,Jerry Reynolds,PF,6-8,200,22,LSU,Jr  *,,8,MIN
2025,2,45,Rocco Zikarsky,C,7-3,227,18,Brisbane (Australia),2006 DOB *,CHI to  LAL LAL  to MIN,0,MIN
2024,1,8,Rob Dillingham,G,6-2,175,19,Kentucky,Fr *,SAN to  MIN,1,MIN
2023,2,33,Leonard Miller,F,6-10,220,19,NBA G League Ignite,2003 DOB,SAN to  MIN,2,MIN
2022,1,26,"Wendell Moore, Jr.",SF,6-5,215,20,Duke,Jr *,DAL to  HOU HOU  to MIN,3,MIN
2022,2,45,Josh Minott,F,6-8,205,19,Memphis,Fr *,CHA to  MIN,3,MIN
2020,1,23,Leandro Bolmaro,SG,6-6,200,20,FC Barcelona II (Spain),2000 DOB *,NYK to  MIN,2,MIN
2020,1,28,Jaden McDaniels,F,6-9,185,20,Washington,Fr *,LAL to  OKC OKC  to MIN,5,MIN
