Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,1,17,Joan Beringer,C,6-11,230,18,Cedevita (Croatia),2006 DOB *,,0,1642866.0,France,2025
2025,2,31,Rasheer Fleming,F,6-9,240,20,Saint Joseph's,Jr *,MIN to PHX,0,1642853.0,USA,2025
2024,1,27,"Terrence Shannon, Jr.",F,6-6,215,23,Illinois,Sr,,1,1630545.0,USA,2025
2024,2,37,Bobi Klintman,F,6-9,225,21,Cairns (Australia),2003 DOB *,MIN to DET,1,1641752.0,Sweden,2025
2023,2,53,Jaylen Clark,G,6-5,205,21,UCLA,Jr *,,2,1641740.0,USA,2025
2022,1,19,Jake LaRavia,F,6-7,235,20,Wake Forest,Jr *,MIN to MEM,3,1631222.0,USA,2025
2022,2,40,Bryce McGowens,GF,6-6,190,19,Nebraska,Fr *,MIN to CHA,3,1631121.0,USA,2025
2022,2,48,Kendall Brown,G,6-6,205,19,Baylor,Fr *,MIN to IND,3,1631112.0,USA,2023
2022,2,50,Matteo Spagnolo,SG,6-6,196,19,Vanoli Cremona (Italy),2003 DOB *,,0,,,
2020,1,1,Anthony Edwards,SF,6-4,225,19,Georgia,Fr *,,5,1630162.0,USA,2025
2020,1,17,Aleksej Pokusevski,C,7-0,210,18,Olympiacos U18 (Greece),2001 DOB *,MIN to OKC,4,1630197.0,Serbia,2023
2020,2,33,Daniel Oturu,FC,6-8,240,21,Minnesota,So *,MIN to LAC,2,1630187.0,USA,2021
2019,1,11,Cameron Johnson,G,6-8,210,23,North Carolina,Sr,MIN to PHX,6,1629661.0,USA,2025
2019,2,43,Jaylen Nowell,SG,6-4,201,19,Washington,So *,,6,1629669.0,USA,2024
2018,1,20,Josh Okogie,SG,6-4,213,19,Georgia Tech,So *,,7,1629006.0,Nigeria,2025
2018,2,48,Keita Bates-Diop,SF,6-8,229,22,Ohio State,Jr *,,6,1628966.0,USA,2023
2017,1,7,Lauri Markkanen,SF,7-1,240,20,Arizona,Fr *,MIN to CHI,8,1628374.0,Finland,2025
2016,1,5,Kris Dunn,SG,6-3,205,22,Providence,Jr *,,9,1627739.0,USA,2025
2015,1,1,Karl-Anthony Towns,C,7-0,248,19,Kentucky,Fr *,,10,1626157.0,USA,2025
2015,2,31,Cedi Osman,GF,6-7,230,20,Anadolu Efes (Turkey),1995 DOB *,MIN to CLE,7,1626224.0,Turkey,2023
2015,2,36,Rakeem Christmas,PF,6-9,255,23,Syracuse,Sr,MIN to CLE CLE to IND,2,1626176.0,USA,2016
2014,1,13,Zach LaVine,SG,6-5,200,19,UCLA,Fr *,,11,203897.0,USA,2025
2014,2,40,Glenn Robinson,SF,6-6,222,20,Michigan,So *,,7,299.0,USA,2004
2014,2,40,Glenn Robinson,SF,6-6,222,20,Michigan,So *,,7,203922.0,USA,2020
2014,2,44,Markel Brown,SG,6-3,190,22,Oklahoma State,Sr,MIN to BRK,3,203900.0,USA,2017
2014,2,53,Alessandro Gentile,SF,6-6,228,21,AX Armani Exchange Milan (Italy),1992 DOB,MIN to HOU,0,,,
2013,1,9,Trey Burke,G,6-0,185,20,Michigan,So *,MIN to UTH,9,203504.0,USA,2021
2013,1,26,Andre Roberson,SG,6-7,210,21,Colorado,Jr *,MIN to GOS GOS to OKC,8,203460.0,USA,2020
2013,2,52,Lorenzo Brown,SG,6-5,189,22,NC State,Jr *,,5,203485.0,USA,2018
2013,2,59,Bojan Dubljevic,FC,6-9,242,21,Valencia Basket (Spain),1991 DOB,MIN to POR POR to NYK,0,,,
2012,2,58,Robbie Hummel,F,6-8,220,23,Purdue,Sr,,2,203133.0,USA,2014
2011,1,2,Derrick Williams,F,6-8,240,20,Arizona,So *,,7,202682.0,USA,2017
2011,1,20,Donatas Motiejunas,C,7-0,222,20,Universo De'Longhi Treviso (Italy),1990 DOB *,MIN to HOU,6,202700.0,Lithuania,2018
2010,1,4,Wesley Johnson,GF,6-7,215,22,Syracuse,Jr *,,9,202325.0,USA,2018
2010,1,16,Luke Babbitt,SF,6-9,225,21,Nevada,So *,MIN to POR,8,202337.0,USA,2017
2010,1,23,Trevor Booker,PF,6-8,228,22,Clemson,Sr,MIN to WAS,8,202344.0,USA,2017
2010,2,45,Paulao Prestes,C,6-11,260,22,UCAM Murcia CB (Spain),1988 DOB,,0,,,
2010,2,56,Hamady Ndiaye,C,7-0,235,23,Rutgers,Sr,MIN to WAS,3,202380.0,Senegal,2013
2009,1,5,Ricky Rubio,G,6-2,190,18,Joventut Badalona (Spain),1990 DOB *,,13,201937.0,Spain,2022
2009,1,6,Jonny Flynn,PG,5-10,196,20,Syracuse,So *,,3,201938.0,USA,2011
2009,1,18,Ty Lawson,PG,5-11,195,21,North Carolina,Jr *,MIN to DEN,9,201951.0,USA,2017
2009,1,28,Wayne Ellington,SG,6-4,207,21,North Carolina,Jr *,,13,201961.0,USA,2021
2009,2,45,Nick Calathes,PG,6-6,213,20,Florida,So *,MIN to DAL DAL to MEM,2,201979.0,USA,2014
