Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for,awards
2025,1,13,Derik Queen,C,6-9,250,20,Maryland,Fr *,ATL to  NOP,0,1642852.0,US,2025.0,0.0,NOP,
2025,2,40,Micah Peavy,SF,6-7,215,23,Georgetown,Sr,WAS to  NOP,0,1642877.0,US,2025.0,0.0,NOP,
2024,2,47,Antonio Reeves,GF,6-5,205,23,Kentucky,Sr,ORL to  NOP,1,1641810.0,US,2025.0,0.0,CHA,
2021,1,17,Trey Murphy III,G,6-8,206,21,Virginia,Jr *,MEM to  NOP,4,1630530.0,US,2025.0,0.0,NOP,
2019,1,8,Jaxson Hayes,PF,7-0,220,19,Texas,Fr *,ATL to  NOP,6,1629637.0,US,2025.0,0.0,LAL,
2019,1,17,Nickeil Alexander-Walker,SG,6-5,205,20,Virginia Tech,So *,BKN to  ATL ATL  to NOP,6,1629638.0,CA,2025.0,0.0,ATL,
2019,2,35,Didi Louzada,SF,6-5,215,19,Franca (Brazil),1999 DOB *,ATL to  NOP,2,1629712.0,BR,2021.0,0.0,POR,
2017,2,31,Frank Jackson,SG,6-3,205,19,Duke,Fr *,CHA to  NOP,6,1628402.0,US,2022.0,0.0,PHX,
2016,2,33,Cheick Diallo,PF,6-8,219,19,Kansas,Fr *,LAC to  NOP,5,1627767.0,ML,2021.0,0.0,MIA,
2014,2,47,Russ Smith,G,6-0,165,23,Louisville,Sr,PHI to  NOP,2,203893.0,US,2015.0,0.0,MEM,
2013,2,39,Jeff Withey,C,7-0,230,23,Kansas,Sr,POR to  NOP,5,203481.0,US,2017.0,0.0,UTA,
2011,2,58,Ater Majok,FC,6-11,233,23,Gold Coast (Australia),1987 DOB,LAL to  CHI CHI  to NOP,0,,,,,,
2010,1,21,Craig Brackins,F,6-10,230,22,Iowa State,Jr *,OKC to  NOP,2,202342.0,US,2011.0,0.0,PHI,
2010,1,26,Quincy Pondexter,F,6-7,230,22,Washington,Sr,OKC to  NOP,9,202347.0,US,2018.0,0.0,MEM,
2010,2,48,Latavious Williams,F,6-8,225,21,Tulsa 66ers,1989 DOB,MIA to  OKC OKC  to NOP,0,,,,,,
2009,2,43,Marcus Thornton,SG,6-4,205,22,LSU,Sr,MIA to  NOP,8,201977.0,US,2016.0,0.0,SAC,
2025,1,7,Jeremiah Fears,G,6-3,190,18,Oklahoma,Fr *,,0,1642847.0,US,2025.0,0.0,NOP,
2024,1,21,Yves Missi,C,6-11,235,20,Baylor,Fr *,,1,1642274.0,CM,2025.0,0.0,NOP,"{'All-Rookie Team': 1, 'NBA Rookie of the Month': 1}"
2023,1,14,Jordan Hawkins,G,6-5,190,21,UConn,So *,,2,1641722.0,US,2025.0,0.0,NOP,
2022,1,8,Dyson Daniels,GF,6-7,199,19,NBA G League Ignite,2003 DOB,,3,1630700.0,AU,2025.0,0.0,ATL,"{'All-Defensive Team': 1, 'NBA Defensive Player of the Month': 2}"
2022,2,41,E.J. Liddell,PF,6-6,240,21,Ohio State,Jr *,,3,1630604.0,US,2025.0,0.0,BKN,
2022,2,52,Karlo Matković,PF,6-10,231,21,KK Mega Bemax (Serbia),2001 DOB *,,1,1631255.0,BA,2025.0,0.0,NOP,
2021,2,35,Herbert Jones,SF,6-7,206,22,Alabama,Sr *,,4,1630529.0,US,2025.0,0.0,NOP,"{'All-Defensive Team': 1, 'All-Rookie Team': 1}"
2020,1,13,Kira Lewis Jr.,PG,6-1,170,19,Alabama,So *,,4,1630184.0,US,2023.0,0.0,WAS,
2019,1,1,Zion Williamson,PF,6-6,284,18,Duke,Fr *,,6,1629627.0,US,2025.0,0.0,NOP,"{'All-Rookie Team': 1, 'NBA All-Star': 2, 'NBA Player of the Week': 1, 'NBA Rookie of the Month': 1}"
2018,2,51,Tony Carr,PG,6-5,200,20,Penn State,So *,,0,,,,,,
2016,1,6,Buddy Hield,G,6-4,220,23,Oklahoma,Sr,,9,1627741.0,BS,2025.0,0.0,GSW,"{'All-Rookie Team': 1, 'NBA Rookie of the Month': 2}"
2012,1,1,Anthony Davis,PF,6-10,253,19,Kentucky,Fr *,,13,203076.0,US,2025.0,0.0,DAL,"{'All-Defensive Team': 5, 'All-NBA': 5, 'All-Rookie Team': 1, 'NBA All-Star': 10, 'NBA All-Star Most Valuable Player': 1, 'NBA Champion': 1, 'NBA In-Season Tournament All-Tournament': 1, 'NBA Player of the Month': 3, 'NBA Player of the Week': 11, 'Olympic Gold Medal': 2}"
2012,1,10,Austin Rivers,SG,6-4,200,19,Duke,Fr *,,11,203085.0,US,2022.0,0.0,MIN,
2012,2,46,Darius Miller,GF,6-8,225,22,Kentucky,Sr,,7,203121.0,US,2020.0,0.0,NOP,
2009,1,21,Darren Collison,PG,6-0,175,21,UCLA,Sr,,11,201954.0,US,2021.0,0.0,LAL,
