Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,15,Thomas Sorber,FC,6-9,250.0,19.0,Georgetown,Fr  *,,0,OKC
2025,2,44,Brooks Barnhizer,SF,6-5,230.0,23.0,Northwestern,Sr,,0,OKC
2024,1,12,Nikola Topic,PG,6-6,200.0,18.0,KK Crvena Zvezda (Serbia),2005 DOB  *,,1,OKC
2023,2,50,Keyontae Johnson,F,6-4,230.0,23.0,Kansas State,Sr  *,,1,OKC
2022,1,2,Chet Holmgren,C,7-1,208.0,20.0,Gonzaga,Fr  *,,3,OKC
2022,1,12,Jalen Williams,G,6-5,211.0,21.0,Santa Clara,Jr  *,,3,OKC
2022,2,34,Jaylin Williams,C,6-9,240.0,19.0,Arkansas,So  *,,3,OKC
2021,1,6,Josh Giddey,G,6-7,216.0,18.0,Adelaide (Australia),2002 DOB  *,,4,OKC
2021,1,18,Tre Mann,PG,6-4,178.0,20.0,Florida,So  *,,4,OKC
2021,2,55,Aaron Wiggins,F,6-5,190.0,22.0,Maryland,Jr  *,,4,OKC
2018,2,53,Devon Hall,SG,6-5,215.0,22.0,Virginia,Sr,,1,OKC
2018,2,57,Kevin Hervey,PF,6-9,230.0,21.0,Texas-Arlington,Sr,,1,OKC
2017,1,21,Terrance Ferguson,SG,6-7,190.0,19.0,Adelaide (Australia),1998 DOB,,4,OKC
2015,1,14,Cameron Payne,G,6-2,183.0,20.0,Murray State,So  *,,10,OKC
2015,2,48,Dakari Johnson,C,7-0,255.0,19.0,Kentucky,So  *,,1,OKC
2014,1,21,Mitch McGary,C,6-10,255.0,22.0,Michigan,So  *,,2,OKC
2014,1,29,Josh Huestis,SF,6-7,230.0,22.0,Stanford,Sr,,3,OKC
2013,1,12,Steven Adams,C,6-11,265.0,19.0,Pittsburgh,Fr  *,,12,OKC
2013,2,32,Alex Abrines,GF,6-6,190.0,19.0,Barca (Spain),1993 DOB  *,,3,OKC
2012,1,28,Perry Jones,PF,6-11,235.0,20.0,Baylor,So  *,,3,OKC
