Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2024,1,26,Dillon Jones,PG,6-5,235.0,22.0,Weber State,Sr *,WAS to  NYK NYK  to OKC,1,1641794.0,US,2024,0.0,WAS
2024,2,38,Ajay Mitchell,PG,6-4,190.0,22.0,UC Santa Barbara,Jr *,NYK to  OKC,1,1642349.0,BE,2025,0.0,OKC
2023,1,10,Cason Wallace,G,6-3,195.0,19.0,Kentucky,Fr *,DAL to  OKC,2,1641717.0,US,2025,0.0,OKC
2022,1,11,Ousmane Dieng,SG,6-9,185.0,19.0,New Zealand (New Zealand),2003 DOB *,NYK to  OKC,3,1631172.0,FR,2025,0.0,OKC
2021,2,32,Jeremiah Robinson-Earl,PF,6-9,240.0,20.0,Villanova,So *,NYK to  OKC,4,1630526.0,US,2025,0.0,IND
2020,1,17,Aleksej Pokusevski,C,7-0,210.0,18.0,Olympiacos U18 (Greece),2001 DOB *,MIN to  OKC,4,1630197.0,RS,2023,0.0,CHA
2020,2,34,Theo Maledon,PG,6-4,175.0,19.0,ASVEL Basket (France),2001 DOB *,PHI to  OKC,4,1630177.0,FR,2023,0.0,PHX
2020,2,37,Vít Krejčí,PG,6-8,195.0,20.0,Zaragoza U18 (Spain),2000 DOB *,WAS to  OKC,4,1630249.0,CZ,2025,0.0,ATL
2019,1,23,Darius Bazley,PF,6-9,216.0,19.0,,*,UTA to  MEM MEM  to OKC,5,1629647.0,US,2023,0.0,UTA
2018,2,45,Hamidou Diallo,SG,6-5,202.0,19.0,Kentucky,Fr *,BKN to  CHA CHA  to OKC,6,1628977.0,US,2023,0.0,WAS
2016,1,11,Domantas Sabonis,PF,6-10,240.0,20.0,Gonzaga,So *,ORL to  OKC,9,1627734.0,LT,2025,0.0,SAC
2016,2,56,Daniel Hamilton,SG,6-7,195.0,20.0,UConn,So *,DEN to  OKC,2,1627772.0,US,2018,0.0,ATL
2014,2,52,Vasilije Micic,PG,6-3,188.0,20.0,KK Mega Bemax (Serbia),1994 DOB *,PHI to  OKC,2,203995.0,RS,2024,0.0,PHX
2014,2,55,Semaj Christon,PG,6-3,190.0,21.0,Xavier,So *,MIA to  CHA CHA  to OKC,1,203902.0,US,2016,0.0,OKC
2013,1,26,Andre Roberson,SG,6-7,210.0,21.0,Colorado,Jr *,MIN to  GSW GSW  to OKC,8,203460.0,US,2020,0.0,OKC
2013,2,40,Grant Jerrett,PF,6-10,232.0,19.0,Arizona,Fr *,POR to  OKC,2,203511.0,US,2014,0.0,OKC
