Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2025,2,32,Noah Penda,F,6-7,215,20,Le Mans Sarthe Basket (France),2005 DOB *,BOS to  ORL,0,1642869.0,FR,2025,0.0,ORL
2018,2,43,Justin Jackson,SF,6-7,225,21,Maryland,So *,DEN to  ORL,0,,,,,
2014,1,10,Elfrid Payton,G,6-3,195,20,Louisiana,Jr *,PHI to  ORL,9,203901.0,US,2024,0.0,NOP
2014,2,56,Devyn Marble,GF,6-6,192,21,Iowa,Sr,DEN to  ORL,2,203906.0,US,2015,0.0,ORL
2013,2,60,Janis Timma,SF,6-7,226,20,BK Ventspils (Latvia),1992 DOB *,MEM to  ORL,0,,,,,
2011,2,32,Justin Harper,PF,6-10,225,21,Richmond,Sr,CLE to  ORL,3,202712.0,US,2016,0.0,ORL
2005,2,57,Marcin Gortat,FC,6-11,240,21,Koln 99ers (Germany),1984 DOB *,PHX to  ORL,12,101162.0,PL,2018,0.0,WAS
2004,1,20,Jameer Nelson,G,6-0,190,22,Saint Joseph's,Sr,DEN to  ORL,14,2749.0,US,2017,0.0,ORL
2003,2,43,Keith Bogans,GF,6-5,215,23,Kentucky,Sr,MIL to  ORL,11,2586.0,US,2013,0.0,ORL
2003,2,52,Remon Van de Hare,C,7-2,220,21,Barca (Spain),1982 DOB *,TOR to  ORL,0,,,,,
2002,1,19,Ryan Humphrey,F,6-8,235,22,Notre Dame,Sr,UTA to  ORL,3,2415.0,US,2004,0.0,MEM
2002,2,40,Mario Kasun,C,6-10,260,22,Koln 99ers (Germany),1980 DOB,LAC to  ORL,2,2435.0,HR,2005,0.0,ORL
1999,1,13,Corey Maggette,GF,6-6,225,19,Duke,Fr *,SEA to  ORL,14,1894.0,US,2012,0.0,LAC
1999,2,42,Louis Bullock,G,6-1,180,23,Michigan,Sr,MIN to  ORL,1,,,,,
1997,2,41,Jason Lawson,F-C,6-11,240,22,Villanova,Sr,DEN to  ORL,4,1535.0,US,2002,0.0,ORL
1995,2,38,Rashard Griffith,C,6-11,275,20,Wisconsin,So *,MIL to  ORL,0,,,,,
1993,1,3,Anfernee Hardaway,PG,6-7,195,21,Memphis,Jr *,GSW to  ORL,14,358.0,US,2007,0.0,ORL
1992,2,39,Litterial Green,G,6-1,185,22,Georgia,Sr,CHI to  ORL,6,1036.0,US,1998,0.0,ORL
2025,1,25,Jase Richardson,G,6-1,180,19,Michigan State,Fr *,,0,1642859.0,US,2025,0.0,ORL
2024,1,18,Tristan da Silva,F,6-8,217,23,Colorado,Sr *,,1,1641783.0,DE,2025,0.0,ORL
2023,1,6,Anthony Black,G,6-7,200,19,Arkansas,Fr *,,2,1641710.0,US,2025,0.0,ORL
2023,1,11,Jett Howard,GF,6-8,215,19,Michigan,Fr *,,2,1641724.0,US,2025,0.0,ORL
2022,1,1,Paolo Banchero,C,6-10,250,19,Duke,Fr *,,3,1631094.0,US,2025,0.0,ORL
2022,2,32,Caleb Houstan,SF,6-8,205,19,Michigan,Fr *,,3,1631216.0,CA,2025,0.0,ATL
2021,1,5,Jalen Suggs,SG,6-5,205,20,Gonzaga,Fr *,,4,1630591.0,US,2025,0.0,ORL
2021,1,8,Franz Wagner,SF,6-10,220,19,Michigan,So *,,4,1630532.0,DE,2025,0.0,ORL
2020,1,15,Cole Anthony,PG,6-2,185,20,North Carolina,Fr *,,5,1630175.0,US,2025,0.0,MIL
2019,1,16,Chuma Okeke,PF,6-7,229,20,Auburn,So *,,5,1629643.0,US,2024,0.0,CLE
2018,1,6,Mo Bamba,C,7-0,231,20,Texas,Fr *,,7,1628964.0,US,2024,0.0,UTA
2018,2,35,Melvin Frazier Jr.,SF,6-5,215,21,Tulane,Jr *,,3,1628982.0,US,2021,0.0,OKC
2017,1,6,Jonathan Isaac,SF,6-10,230,19,Florida State,Fr *,,8,1628371.0,US,2025,0.0,ORL
2017,2,33,Wes Iwundu,F,6-6,195,22,Kansas State,Sr,,5,1628411.0,US,2021,0.0,POR
2016,2,41,Stephen Zimmerman,C,6-11,240,19,UNLV,Fr *,,1,1627757.0,US,2016,0.0,LAL
2015,1,5,Mario Hezonja,SG,6-8,220,20,FC Barcelona II (Spain),1995 DOB *,,5,1626209.0,HR,2019,0.0,ORL
2014,1,4,Aaron Gordon,F,6-8,235,18,Arizona,Fr *,,11,203932.0,US,2025,0.0,DEN
2013,1,2,Victor Oladipo,G,6-3,213,21,Indiana,Jr *,,11,203506.0,US,2022,0.0,MIA
