Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2025,1,3,V.J. Edgecombe,F,6-4,180,19,Baylor,Fr  *,,0,PHI
2025,2,35,Johni Broome,C,6-10,235,22,Auburn,Sr,,0,PHI
2024,1,16,Jared McCain,G,6-3,195,20,Duke,Fr  *,,1,PHI
2024,2,41,Adem Bona,C,6-10,235,21,UCLA,So  *,,1,PHI
2022,1,23,David Roddy,F,6-5,255,21,Colorado State,Jr  *,PHL to  MEM,3,PHI
2021,1,28,Jaden Springer,SG,6-4,202,18,Tennessee,Fr  *,,4,PHI
2021,2,50,Filip Petrusev,FC,6-11,225,21,KK Mega Bemax (Serbia),2000 DOB,,1,PHI
2021,2,53,Charles Bassey,PF,6-10,230,20,Western Kentucky,Jr  *,,4,PHI
2020,1,21,Tyrese Maxey,PG,6-2,200,20,Kentucky,Fr  *,,5,PHI
2020,2,34,Theo Maledon,PG,6-4,175,19,ASVEL Basket (France),2001 DOB  *,PHL to  OKC,4,PHI
2020,2,36,Tyler Bey,PF,6-7,215,22,Colorado,Jr  *,PHL to  DAL,1,PHI
2020,2,49,Isaiah Joe,SG,6-4,165,21,Arkansas,So  *,,5,PHI
2020,2,58,"Paul Reed, Jr.",F,6-9,210,21,DePaul,Jr  *,,5,PHI
2019,1,24,Ty Jerome,PG,6-5,195,21,Virginia,Jr  *,PHL to  BOS BOS  to PHX,6,PHI
2019,2,33,Carsen Edwards,PG,5-11,200,21,Purdue,Jr  *,PHL to  BOS,3,PHI
2019,2,34,Bruno Fernando,C,6-9,240,20,Maryland,So  *,PHL to  ATL,6,PHI
2019,2,42,Admiral Schofield,SF,6-5,241,22,Tennessee,Sr,PHL to  WAS,4,PHI
2019,2,54,Marial Shayok,G,6-5,198,23,Iowa State,Sr,,1,PHI
2018,1,10,Mikal Bridges,SG,6-6,209,21,Villanova,Jr  *,PHL to  PHX,7,PHI
2018,1,26,Landry Shamet,PG,6-5,190,21,Wichita State,So  *,,7,PHI
2018,2,38,Khyri Thomas,SG,6-3,210,22,Creighton,Jr  *,PHL to  DET,3,PHI
2018,2,39,Isaac Bonga,SG,6-8,180,18,Fraport Skyliners (Germany),1999 DOB  *,PHL to  LAL,4,PHI
2018,2,56,Raymond Spalding,PF,6-9,225,21,Louisville,Jr  *,PHL to  DAL,3,PHI
2018,2,60,Kostas Antetokounmpo,PF,6-10,200,20,Dayton,Fr  *,PHL to  DAL,4,PHI
2017,1,1,Markelle Fultz,PG,6-4,209,19,Washington,Fr  *,,8,PHI
2017,2,36,Jonah Bolden,SF,6-10,220,21,FMP Beograd (Serbia),1996 DOB,,2,PHI
2017,2,39,Jawun Evans,PG,6-0,190,20,Oklahoma State,So  *,PHL to  LAC,2,PHI
2017,2,46,Sterling Brown,G,6-5,219,22,Southern Methodist,Sr,PHL to  MIL,6,PHI
2017,2,50,Mathias Lessort,F,6-9,250,21,Nanterre 92 (France),1995 DOB,PHL to  LAC LAC  to MIN MIN  to NYK NYK  to WAS,0,PHI
2016,1,1,Ben Simmons,PF,6-10,240,19,LSU,Fr  *,,9,PHI
2016,1,24,Timothe Luwawu-Cabarrot,F,6-7,210,21,KK Mega Bemax (Serbia),1995 DOB  *,,6,PHI
2016,1,26,Furkan Korkmaz,SG,6-7,202,18,Anadolu Efes (Turkey),1997 DOB  *,,7,PHI
2015,1,3,Jahlil Okafor,C,6-10,270,19,Duke,Fr  *,,7,PHI
2015,2,35,Willy Hernangomez,C,6-11,250,21,Cajasol Seville U18 (Spain),1994 DOB  *,PHL to  NYK,7,PHI
2015,2,37,Richaun Holmes,F,6-9,235,21,Bowling Green,Sr,,10,PHI
2015,2,47,Arturas Gudaitis,C,6-10,254,22,Zalgiris (Lithuania),1993 DOB,PHL to  SAC SAC  to CLE,0,PHI
2015,2,58,J.P. Tokoto,GF,6-6,200,21,North Carolina,Jr  *,,0,PHI
2015,2,60,Luka Mitrovic,PF,6-8,200,22,KK Crvena Zvezda (Serbia),1993 DOB,PHL to  SAC SAC  to LAC LAC  to NYK,0,PHI
2014,1,3,Joel Embiid,C,7-0,280,20,Kansas,Fr  *,,11,PHI
2014,1,10,Elfrid Payton,G,6-3,195,20,Louisiana,Jr  *,PHL to  ORL,9,PHI
2014,2,32,K.J. McDaniels,GF,6-6,205,21,Clemson,Jr  *,,4,PHI
2014,2,39,Jerami Grant,F,6-7,213,20,Syracuse,So  *,,11,PHI
2014,2,47,Russ Smith,G,6-0,165,23,Louisville,Sr,PHL to  NOP,2,PHI
2014,2,52,Vasilije Micic,PG,6-3,188,20,KK Mega Bemax (Serbia),1994 DOB  *,PHL to  OKC,2,PHI
2014,2,54,Nemanja Dangubic,SF,6-9,176,21,KK Mega Bemax (Serbia),1993 DOB  *,PHL to  SAN SAN  to BRK BRK  to MEM,0,PHI
2013,1,11,Michael Carter-Williams,PG,6-5,190,21,Syracuse,So  *,,10,PHI
2013,2,35,Glen Rice,GF,6-6,206,22,Rio Grande Valley Vipers,1991 DOB,PHL to  WAS,2,PHI
2013,2,42,Pierre Jackson,PG,5-10,180,21,Baylor,Sr,PHL to  NOP NOP  to PHL,1,PHI
2012,1,15,Maurice Harkless,F,6-7,220,19,St. John's,Fr  *,,10,PHI
2012,2,45,Justin Hamilton,C,7-0,255,22,LSU,Jr  *,PHL to  MIA,3,PHI
2012,2,54,Tornike Shengelia,PF,6-9,220,20,Proximus Spirou Charleroi (Belgium),1991 DOB  *,PHL to  BRK,2,PHI
2011,1,16,Nikola Vucevic,PF,6-9,260,20,USC,Jr  *,,14,PHI
2011,2,50,Lavoy Allen,PF,6-9,260,22,Temple,Sr,,6,PHI
2010,1,2,Evan Turner,GF,6-7,220,21,Ohio State,Jr  *,,10,PHI
2009,1,17,Jrue Holiday,G,6-4,220,19,UCLA,Fr  *,,16,PHI
2008,1,16,Marreese Speights,C,6-10,255,20,Florida,So  *,,10,PHI
