Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
2019,1,20,Matisse Thybulle,SF,6-5,202.0,22.0,Washington,Sr,BOS to  PHI,6,1629680.0,US,2025,0.0
2018,1,16,Zhaire Smith,SG,6-4,205.0,19.0,Texas Tech,Fr *,PHX to  PHI,3,1629015.0,US,2019,0.0
2018,2,54,Shake Milton,SG,6-5,205.0,21.0,Southern Methodist,Jr *,DAL to  PHI,7,1629003.0,US,2024,0.0
2017,1,25,Anzejs Pasecniks,C,7-1,229.0,21.0,Dreamland Gran Canaria (Spain),1995 DOB,ORL to  PHI,2,1628394.0,LV,2020,0.0
2014,1,12,Dario Saric,SF,6-10,225.0,20.0,KK Cibona (Croatia),1994 DOB *,ORL to  PHI,9,203967.0,HR,2025,0.0
2014,2,58,Jordan McRae,G,6-5,179.0,23.0,Tennessee,Sr,SAS to  PHI,4,203895.0,US,2019,0.0
2013,1,6,Nerlens Noel,FC,6-10,220.0,19.0,Kentucky,Fr *,NOP to  PHI,10,203457.0,US,2022,0.0
2013,2,54,Arsalan Kazemi,F,6-7,226.0,23.0,Oregon,Sr,WAS to  PHI,0,,,,
2012,1,27,Arnett Moultrie,PF,6-11,250.0,21.0,Mississippi State,Jr *,MIA to  PHI,2,203102.0,US,2013,0.0
2012,2,53,Furkan Aldemir,PF,6-10,240.0,20.0,Galatasaray (Turkey),1991 DOB *,LAC to  HOU HOU  to PHI,1,203128.0,TR,2014,0.0
2007,1,20,Jason Smith,PF,7-0,240.0,21.0,Colorado State,Jr *,MIA to  PHI,12,201160.0,US,2018,0.0
2007,2,42,Derrick Byars,SF,6-7,220.0,23.0,Vanderbilt,Sr,POR to  PHI,2,201182.0,US,2011,0.0
2007,2,55,Herbert Hill,FC,6-10,240.0,22.0,Providence,Sr,UTA to  PHI,1,201195.0,US,2007,0.0
2006,1,16,Rodney Carney,F,6-7,205.0,22.0,Memphis,Sr,CHI to  PHI,5,200760.0,US,2010,0.0
2006,2,37,Bobby Jones,F,6-7,215.0,22.0,Washington,Sr,MIN to  PHI,2,200784.0,US,2007,0.0
2003,2,41,Willie Green,SG,6-3,201.0,21.0,Detroit-Mercy,Sr,SEA to  PHI,12,2584.0,US,2014,0.0
2003,2,51,Kyle Korver,SF,6-7,212.0,22.0,Creighton,Sr,NJN to  PHI,17,2594.0,US,2019,0.0
2002,1,26,John Salmons,GF,6-7,210.0,22.0,Miami (FL),Sr,SAS to  PHI,13,2422.0,US,2014,0.0
1999,1,27,Jumaine Jones,SF,6-8,218.0,20.0,Georgia,So *,ATL to  PHI,8,1908.0,US,2006,0.0
1998,1,29,Nazr Mohammed,C,6-10,250.0,20.0,Kentucky,Jr *,UTA to  PHI,18,1737.0,US,2015,0.0
1997,1,7,Tim Thomas,F,6-10,240.0,20.0,Villanova,Fr *,NJN to  PHI,13,1501.0,US,2009,0.0
1997,1,21,Anthony Parker,GF,6-6,215.0,22.0,Bradley,Sr,NJN to  PHI,9,1515.0,US,2011,0.0
1996,1,23,Efthimios Rentzias,C,6-11,260.0,20.0,PAOK BC (Greece),1976 DOB *,DEN to  ATL ATL  to PHI,1,981.0,GR,2002,0.0
1993,1,17,Greg Graham,G,6-4,183.0,22.0,Indiana,Sr,CHA to  PHI,5,37.0,US,1997,0.0
