Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for
2025,1,10,Khaman Maluach,C,7-1,250.0,18.0,Duke,Fr *,HOU to  PHX,0,1642863.0,SS,2025,0.0,PHX
2025,2,31,Rasheer Fleming,F,6-9,240.0,20.0,Saint Joseph's,Jr *,MIN to  PHX,0,1642853.0,US,2025,0.0,PHX
2025,2,41,Koby Brea,GF,6-5,215.0,22.0,Kentucky,Sr,GSW to  PHX,0,1642886.0,US,2025,0.0,PHX
2024,1,28,Ryan Dunn,G,6-7,216.0,21.0,Virginia,So *,DEN to  PHX,1,1642346.0,US,2025,0.0,PHX
2024,2,40,Oso Ighodaro,F,6-11,235.0,21.0,Marquette,Jr *,POR to  OKC OKC  to NYK NYK  to PHX,1,1642345.0,US,2025,0.0,PHX
2019,1,11,Cameron Johnson,G,6-8,210.0,23.0,North Carolina,Sr,MIN to  PHX,6,1629661.0,US,2025,0.0,DEN
2019,1,24,Ty Jerome,PG,6-5,195.0,21.0,Virginia,Jr *,PHI to  BOS BOS  to PHX,6,1629660.0,US,2025,0.0,MEM
2018,1,10,Mikal Bridges,SG,6-6,209.0,21.0,Villanova,Jr *,PHI to  PHX,7,1628969.0,US,2025,0.0,NYK
2018,2,46,De'Anthony Melton,SG,6-2,200.0,20.0,USC,So *,HOU to  PHX,7,1629001.0,US,2025,0.0,GSW
2016,1,8,Marquese Chriss,PF,6-9,240.0,18.0,Washington,Fr *,SAC to  PHX,6,1627737.0,US,2021,0.0,DAL
2013,1,29,Archie Goodwin,G,6-5,205.0,18.0,Kentucky,Fr *,OKC to  GSW GSW  to PHX,4,203462.0,US,2016,0.0,PHX
2008,2,45,Goran Dragic,G,6-4,190.0,22.0,Union Olimpija (Slovenia),1986 DOB,SAS to  PHX,15,201609.0,SI,2022,0.0,MIL
2005,2,54,Dijon Thompson,SF,6-7,195.0,22.0,UCLA,Sr,NYK to  PHX,2,101159.0,US,2006,0.0,PHX
2005,2,59,Cenk Akyol,G,6-4,200.0,18.0,Anadolu Efes (Turkey),1987 DOB *,ATL to  LAC LAC  to PHI PHI  to DEN DEN  to ATL ATL  to PHX,0,,,,,
2004,2,31,Jackson Vroman,FC,6-10,220.0,23.0,Iowa State,Sr,CHI to  PHX,2,2761.0,US,2005,0.0,NOP
2003,1,28,Leandro Barbosa,G,6-3,194.0,20.0,Bauru (Brazil),1982 DOB *,SAS to  PHX,14,2571.0,BR,2016,0.0,PHX
2002,2,35,Milos Vujanic,G,6-4,195.0,21.0,KK Partizan (Serbia),1980 DOB,NYK to  PHX,0,,,,,
1998,1,19,Pat Garrity,F,6-9,238.0,21.0,Notre Dame,Sr,MIL to  DAL DAL  to PHX,10,1727.0,US,2007,0.0,ORL
1998,2,45,Toby Bailey,G,6-6,213.0,22.0,UCLA,Sr,LAL to  PHX,4,1753.0,US,2002,0.0,PHX
1990,2,52,Stefano Rusconi,C,6-10,260.0,21.0,OpenJobMetis Varese (Italy),1968 DOB,CLE to  PHX,1,474.0,IT,1995,0.0,PHX
1989,1,27,Kenny Battle,SF,6-6,210.0,24.0,Illinois,Sr,DET to  PHX,4,76123.0,US,1992,0.0,PHX
