Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2024,1,7,Donovan Clingan,C,7-2,280.0,20.0,UConn,So  *,,1,POR
2023,1,3,Scoot Henderson,G,6-3,207.0,19.0,NBA G League Ignite,2004 DOB,,2,POR
2023,1,23,Kris Murray,F,6-8,218.0,22.0,Iowa,Jr  *,,2,POR
2023,2,43,Rayan Rupert,G,6-7,205.0,19.0,New Zealand (New Zealand),2004 DOB  *,,2,POR
2022,1,7,Shaedon Sharpe,F,6-5,210.0,19.0,Kentucky,RS-Fr  *,,3,POR
2022,2,57,Jabari Walker,F,6-7,237.0,19.0,Colorado,So  *,,3,POR
2020,2,46,C.J. Elleby,SF,6-6,200.0,20.0,Washington State,So  *,,2,POR
2019,1,25,Nassir Little,SF,6-6,220.0,19.0,North Carolina,Fr  *,,5,POR
2018,1,24,Anfernee Simons,SG,6-3,200.0,19.0,IMG Academy (Florida),1999 DOB  *,,7,POR
2017,1,26,Caleb Swanigan,C,6-9,260.0,20.0,Purdue,So  *,,3,POR
2013,1,10,C.J. McCollum,G,6-3,190.0,21.0,Lehigh,Sr,,12,POR
2012,1,6,Damian Lillard,G,6-2,200.0,21.0,Weber State,Jr  *,,13,POR
2012,1,11,Meyers Leonard,C,7-0,260.0,20.0,Illinois,So  *,,10,POR
2012,2,40,Will Barton,GF,6-5,181.0,21.0,Memphis,So  *,,11,POR
2011,1,21,Nolan Smith,G,6-2,190.0,22.0,Duke,Sr,,2,POR
2010,1,22,Elliot Williams,G,6-5,190.0,21.0,Memphis,So  *,,6,POR
2010,2,34,Armon Johnson,G,6-2,195.0,21.0,Nevada,Jr  *,,2,POR
2009,1,22,Victor Claver,SF,6-10,235.0,20.0,Valencia Basket (Spain),1988 DOB  *,,3,POR
2009,2,33,Dante Cunningham,F,6-8,230.0,22.0,Villanova,Sr,,10,POR
2009,2,55,Patty Mills,G,6-2,180.0,20.0,Saint Mary's,So  *,,16,POR
2007,1,1,Greg Oden,C,7-0,273.0,19.0,Ohio State,Fr  *,,6,POR
2007,2,37,Josh McRoberts,PF,6-10,240.0,20.0,Duke,So  *,,11,POR
2007,2,52,Taurean Green,PG,6-0,177.0,20.0,Florida,Jr  *,,1,POR
2006,1,30,Joel Freeland,PF,6-11,255.0,19.0,Dreamland Gran Canaria (Spain),1987 DOB  *,,3,POR
2005,1,6,Martell Webster,SF,6-7,230.0,18.0,Seattle Preparatory School (Washington),1986 DOB  *,,11,POR
2004,1,13,Sebastian Telfair,PG,6-0,170.0,19.0,Abraham Lincoln High School (New York),1985 DOB  *,,10,POR
2004,1,23,Sergei Monia,PF,6-8,220.0,21.0,Dynamo Saint Petersburg (Russia),1983 DOB  *,,1,POR
2004,2,46,Ha Seung-Jin,C,7-3,305.0,18.0,Yonsei University (South Korea),1985 DOB  *,,2,POR
2003,1,23,Travis Outlaw,F,6-9,207.0,18.0,Starkville High School (Mississippi),1984 DOB  *,,11,POR
2003,2,54,Nedzad Sinanovic,C,7-2,250.0,20.0,HKK Brotnjo (Bosnia and Herzegovina),1983 DOB  *,,0,POR
2002,1,21,Qyntel Woods,F,6-8,221.0,21.0,Northeast Mississippi CC,So  *,,4,POR
2002,2,42,Jason Jennings,C,7-0,250.0,23.0,Arkansas State,Sr,,1,POR
2002,2,50,Federico Kammerichs,FC,6-9,225.0,22.0,Club Ourense Baloncesto (Spain),1980 DOB,,0,POR
2001,1,19,Zach Randolph,PF,6-9,260.0,19.0,Michigan State,Fr  *,,18,POR
2001,2,49,Ruben Boumtje-Boumtje,C,7-0,260.0,23.0,Georgetown,Sr,,4,POR
2000,1,28,Erick Barkley,PG,6-1,177.0,22.0,St. John's,So  *,,3,POR
1997,2,47,Alvin Williams,G,6-5,185.0,22.0,Villanova,Sr,,10,POR
1996,1,17,Jermaine O'Neal,FC,6-11,235.0,17.0,Eau Claire High School (South Carolina),1978 DOB  *,,18,POR
1996,2,46,Marcus Brown,G,6-3,185.0,22.0,Murray State,Sr,,3,POR
1994,1,17,Aaron McKie,G,6-5,209.0,21.0,Temple,Sr,,14,POR
1994,2,43,Shawnelle Scott,C,6-10,250.0,22.0,St. John's,Sr,,7,POR
1993,1,21,James Robinson,G,6-2,180.0,22.0,Alabama,Jr  *,,7,POR
1993,2,48,Kevin Thompson,C,6-11,260.0,22.0,NC State,Sr,,1,POR
1992,1,26,Dave Johnson,F,6-7,210.0,21.0,Syracuse,Sr,,3,POR
1992,2,31,Reggie Smith,C,6-10,240.0,21.0,TCU,Sr,,2,POR
1991,2,54,Marcus Kennedy,F,6-7,235.0,24.0,Eastern Michigan,Sr,,1,POR
1990,1,25,Alaa Abdelnaby,PF,6-10,240.0,22.0,Duke,Sr,,6,POR
1989,1,22,Byron Irvin,G,6-5,190.0,22.0,Missouri,Sr,,4,POR
1989,2,36,Cliff Robinson,PF,6-10,225.0,22.0,UConn,Sr,,18,POR
1988,1,21,Mark Bryant,PF,6-9,245.0,23.0,Seton Hall,Sr,,15,POR
1988,2,26,Rolando Ferreira,C,7-0,231.0,24.0,Circulo Militar do Parana (Brazil),1964 DOB,,1,POR
1988,3,53,Anthony Mason,PF,6-7,250.0,21.0,Tennessee State,Sr,,15,POR
1988,3,71,Craig Neal,G,6-5,165.0,24.0,Georgia Tech,Sr,,2,POR
1987,1,17,Ronnie Murphy,F,6-5,225.0,22.0,Jacksonville,Sr,,2,POR
1987,2,29,Lester Fonville,C,7-2,245.0,24.0,Jackson State,Sr,,1,POR
1987,2,30,Nikita Wilson,F,6-8,200.0,23.0,LSU,Sr,,1,POR
