Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for,awards
2025,1,16,Yang Hansen,C,7-1,270.0,19.0,Qingdao (China),2005 DOB *,MEM to  POR,0,1642905.0,CN,2025.0,0.0,POR,
2021,2,43,Greg Brown III,SF,6-7,206.0,19.0,Texas,Fr *,NOP to  POR,3,1630535.0,US,2023.0,0.0,DAL,
2018,2,37,Gary Trent Jr.,SG,6-5,204.0,19.0,Duke,Fr *,SAC to  POR,7,1629018.0,US,2025.0,0.0,MIL,
2017,1,10,Zach Collins,C,6-9,250.0,19.0,Gonzaga,Fr *,SAC to  POR,8,1628380.0,US,2025.0,0.0,CHI,
2016,2,47,Jake Layman,SF,6-8,209.0,22.0,Maryland,Sr,ORL to  POR,6,1627774.0,US,2021.0,0.0,BOS,
2015,2,41,Pat Connaughton,SF,6-5,209.0,22.0,Notre Dame,Sr,BKN to  POR,10,1626192.0,US,2025.0,0.0,CHA,{'NBA Champion': 1}
2015,2,54,Daniel Diez,SF,6-8,216.0,22.0,Gipuzkoa Basket (Spain),1993 DOB,UTA to  POR POR  to NYK NYK  to POR,0,,,,,,
2013,2,31,Allen Crabbe,SG,6-6,212.0,21.0,California,Jr *,CLE to  POR,7,203459.0,US,2019.0,0.0,POR,
2010,1,16,Luke Babbitt,SF,6-9,225.0,21.0,Nevada,So *,MIN to  POR,8,202337.0,US,2017.0,0.0,NOP,
2009,2,31,Jeff Ayres,FC,6-10,240.0,22.0,Arizona State,Sr,SAC to  POR,6,201965.0,US,2015.0,0.0,SAS,
2008,1,11,Jerryd Bayless,G,6-3,210.0,19.0,Arizona,Fr *,IND to  POR,11,201573.0,US,2018.0,0.0,MIL,
2008,1,25,Nicolas Batum,F,6-7,230.0,19.0,Le Mans Sarthe Basket (France),1988 DOB *,HOU to  POR,17,201587.0,FR,2025.0,0.0,LAC,"{'NBA Player of the Week': 1, 'Olympic Appearance': 1, 'Olympic Silver Medal': 1}"
2008,2,44,Ante Tomic,C,7-1,225.0,21.0,KK Zagreb (Croatia),1987 DOB *,UTA to  NYK NYK  to POR,0,,,,,,
2007,1,24,Rudy Fernandez,SG,6-6,185.0,22.0,Joventut Badalona (Spain),1985 DOB,PHX to  POR,4,201164.0,ES,2011.0,0.0,POR,
2007,2,60,Milovan Rakovic,PF,6-10,286.0,22.0,KK Mega Bemax (Serbia),1985 DOB,DAL to  ORL ORL  to CHI CHI  to POR,0,,,,,,
2006,1,2,LaMarcus Aldridge,FC,6-11,265.0,20.0,Texas,So *,CHI to  POR,16,200746.0,US,2021.0,0.0,BKN,
2006,1,6,Brandon Roy,G,6-6,211.0,21.0,Washington,Sr,MIN to  POR,6,200750.0,US,2012.0,0.0,POR,
2006,1,27,Sergio Rodriguez,PG,6-3,176.0,20.0,Movistar Estudiantes (Spain),1986 DOB *,PHX to  POR,5,200771.0,ES,2016.0,0.0,POR,
2005,1,22,Jarrett Jack,G,6-3,200.0,21.0,Georgia Tech,Jr *,DEN to  POR,13,101127.0,US,2017.0,0.0,POR,
2004,1,22,Viktor Khryapa,PF,6-7,220.0,21.0,CSKA Moscow (Russia),1982 DOB,NJN to  POR,4,2751.0,RU,2007.0,0.0,POR,
1999,2,52,Roberto Bergersen,G,6-6,210.0,23.0,Boise State,Sr,ATL to  POR,3,,,,,,
1998,1,11,Bonzi Wells,G-F,6-5,210.0,21.0,Ball State,Sr,DET to  POR,10,1719.0,US,2007.0,0.0,POR,
1997,1,15,Kelvin Cato,C,6-11,255.0,22.0,Iowa State,Sr,DAL to  POR,10,1509.0,US,2006.0,0.0,HOU,
1997,2,52,C.J. Bruton,G,6-2,195.0,21.0,Indian Hills,So *,VAN to  POR,1,,,,,,
1996,2,36,Doron Sheffer,G,6-5,200.0,24.0,UConn,Sr,LAC to  POR,0,,,,,,
