Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for,awards
2025,1,24,Nique Clifford,F,6-5,175.0,23.0,Colorado State,Sr,OKC to  SAC,0,1642363.0,US,2025.0,0.0,SAC,
2023,2,34,Colby Jones,GF,6-6,207.0,21.0,Xavier,Jr *,CHA to  BOS BOS  to SAC,2,1641732.0,US,2025.0,0.0,DET,
2020,2,40,Robert Woodard II,G,6-7,230.0,21.0,Mississippi State,So *,MEM to  SAC,2,1630218.0,US,2021.0,0.0,OKC,
2019,2,55,Kyle Guy,SG,6-1,167.0,21.0,Virginia,Jr *,NYK to  SAC,3,1629657.0,US,2021.0,0.0,MIA,
2017,1,15,Justin Jackson,F,6-8,220.0,22.0,North Carolina,Jr *,POR to  SAC,7,1628382.0,US,2023.0,0.0,MIN,
2017,1,20,Harry Giles III,PF,6-10,240.0,19.0,Duke,Fr *,POR to  SAC,5,1628385.0,US,2023.0,0.0,SAC,
2017,2,57,Sasha Vezenkov,PF,6-8,225.0,21.0,FC Barcelona II (Spain),1995 DOB,BKN to  CLE CLE  to SAC,1,1628426.0,BG,2023.0,0.0,SAC,
2016,1,13,Georgios Papagiannis,C,7-2,275.0,18.0,Panathinaikos (Greece),1997 DOB *,PHX to  SAC,2,1627834.0,GR,2017.0,0.0,SAC,
2016,1,22,Malachi Richardson,SF,6-6,205.0,20.0,Syracuse,Fr *,CHA to  SAC,3,1627781.0,US,2018.0,0.0,SAC,
2016,1,28,Skal Labissiere,C,6-10,235.0,20.0,Kentucky,Fr *,PHX to  SAC,5,1627746.0,HT,2024.0,0.0,SAC,
2014,1,27,Bogdan Bogdanović,SG,6-5,225.0,21.0,KK Partizan (Serbia),1992 DOB,PHX to  SAC,8,203992.0,RS,2025.0,0.0,LAC,"{'All-Rookie Team': 1, 'Olympic Bronze Medal': 1}"
2013,2,57,Alex Oriakhi,PF,6-9,255.0,23.0,Missouri,Sr,PHX to  SAC,0,,,,,,
2012,2,57,Ilkan Karaman,F,6-8,254.0,22.0,Pinar Karsiyaka (Turkey),1990 DOB,BKN to  CLE CLE  to MIL MIL  to SAC,0,,,,,,
2011,1,10,Jimmer Fredette,G,6-2,195.0,22.0,Brigham Young,Sr,MIL to  SAC,6,202690.0,US,2018.0,0.0,SAC,
2009,2,38,Jon Brockman,PF,6-7,255.0,22.0,Washington,Sr,POR to  SAC,3,201972.0,US,2011.0,0.0,MIL,
2002,2,49,Darius Songaila,PF,6-8,248.0,24.0,Wake Forest,Sr,BOS to  SAC,8,2443.0,LT,2010.0,0.0,WAS,
1983,2,29,Larry Micheaux,F,6-9,220.0,23.0,Houston,Sr,CHI to  KCK,2,77588.0,US,1984.0,0.0,HOU,
1978,1,21,Mike Evans,G,6-1,170.0,23.0,Kansas State,Sr,DEN to  KCK,10,76686.0,US,1987.0,0.0,DEN,
1966,6,54,Lonnie Wright,G,6-2,205.0,22.0,Colorado State,Sr,ATL to  CIN,0,,,,,,
1958,3,22,Wayne Embry,C,6-8,240.0,21.0,Miami (OH),Sr,STH to  CIN,11,76668.0,US,1968.0,0.0,SAC,
1958,7,54,Ken Sidle,,,,,Ohio State,Sr,STH to  CIN,0,,,,,,
1957,2,12,Jim Palmer,F,6-8,199.0,23.0,Dayton,Sr,STH to  CIN,3,77792.0,US,1960.0,0.0,NYK,
1947,6,53,Andy Duncan,GF,6-6,195.0,25.0,William & Mary,Sr,NYK to  ROR,3,76615.0,US,1950.0,0.0,SAC,
2025,2,42,Maxime Raynaud,C,7-1,250.0,22.0,Stanford,Sr,,0,1642875.0,FR,2025.0,0.0,SAC,
2024,1,13,Devin Carter,G,6-2,195.0,22.0,Providence,Jr *,,1,1642269.0,US,2025.0,0.0,SAC,
2023,2,54,Jalen Slawson,F,6-7,215.0,23.0,Furman,Sr,,1,1641771.0,US,2023.0,0.0,IND,
2022,1,4,Keegan Murray,F,6-8,225.0,21.0,Iowa,So *,,3,1631099.0,US,2025.0,0.0,SAC,"{'All-Rookie Team': 1, 'NBA Rookie of the Month': 2}"
2021,1,9,Davion Mitchell,PG,6-0,202.0,22.0,Baylor,Jr *,,4,1630558.0,US,2025.0,0.0,MIA,
2021,2,39,Neemias Queta,C,7-0,248.0,22.0,Utah State,Jr *,,4,1629674.0,PT,2025.0,0.0,BOS,{'NBA Champion': 1}
2020,1,12,Tyrese Haliburton,PG,6-5,185.0,20.0,Iowa State,So *,,5,1630169.0,US,2025.0,0.0,IND,"{'All-NBA': 2, 'All-Rookie Team': 1, 'NBA All-Star': 2, 'NBA In-Season Tournament All-Tournament': 1, 'NBA Player of the Week': 2, 'NBA Rookie of the Month': 2, 'Olympic Gold Medal': 1}"
2020,2,43,Jahmi'us Ramsey,PG,6-3,190.0,19.0,Texas Tech,Fr *,,3,1630186.0,US,2023.0,0.0,TOR,
2019,2,40,Justin James,SG,6-7,190.0,22.0,Wyoming,Sr,,3,1629713.0,US,2020.0,0.0,SAC,
2018,1,2,Marvin Bagley III,PF,6-10,235.0,19.0,Duke,Fr *,,7,1628963.0,US,2025.0,0.0,WAS,{'All-Rookie Team': 1}
2017,1,5,De'Aaron Fox,PG,6-3,185.0,19.0,Kentucky,Fr *,,8,1628368.0,US,2025.0,0.0,SAS,"{'All-NBA': 1, 'NBA All-Star': 1, 'NBA Clutch Player of the Year': 1, 'NBA Player of the Week': 6}"
2017,2,34,Frank Mason III,G,5-11,190.0,23.0,Kansas,Sr,,4,1628412.0,US,2020.0,0.0,SAC,
2016,2,59,Isaiah Cousins,G,6-4,191.0,22.0,Oklahoma,Sr,,0,,,,,,
2015,1,6,Willie Cauley-Stein,C,7-0,240.0,21.0,Kentucky,Jr *,,8,1626161.0,US,2022.0,0.0,PHI,
2014,1,8,Nik Stauskas,SG,6-6,205.0,20.0,Michigan,So *,,6,203917.0,CA,2021.0,0.0,BOS,
2013,1,7,Ben McLemore,SG,6-3,195.0,20.0,Kansas,Fr *,,9,203463.0,US,2021.0,0.0,POR,
2013,2,36,Ray McCallum,PG,6-3,191.0,22.0,Detroit-Mercy,Jr *,,4,203492.0,US,2015.0,0.0,SAC,
2012,1,5,Thomas Robinson,PF,6-10,235.0,21.0,Kansas,Jr *,,5,203080.0,US,2016.0,0.0,POR,
2011,2,35,Tyler Honeycutt,F,6-8,190.0,20.0,UCLA,So *,,2,202715.0,US,2012.0,0.0,SAC,
