Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
2025,1,2,Dylan Harper,GF,6-5,215.0,19.0,Rutgers,Fr *,,0,1642844.0,USA,2025
2025,1,14,Carter Bryant,F,6-6,220.0,19.0,Arizona,Fr *,,0,1642868.0,USA,2025
2025,2,38,Kam Jones,F,6-4,200.0,23.0,Marquette,Sr,SAN to IND,0,1642880.0,USA,2025
2024,1,4,Stephon Castle,G,6-6,215.0,19.0,UConn,Fr *,,1,1642264.0,USA,2025
2024,1,8,Rob Dillingham,G,6-2,175.0,19.0,Kentucky,Fr *,SAN to MIN,1,1642265.0,USA,2025
2024,2,35,Johnny Furphy,F,6-8,200.0,19.0,Kansas,Fr *,SAN to IND,1,1642277.0,Australia,2025
2024,2,48,Harrison Ingram,F,6-5,230.0,21.0,North Carolina,Jr *,,1,1631127.0,USA,2025
2023,1,1,Victor Wembanyama,F,7-4,235.0,19.0,Boulogne-Levallois (France),2004 DOB *,,2,1641705.0,France,2025
2023,2,33,Leonard Miller,F,6-10,220.0,19.0,NBA G League Ignite,2003 DOB,SAN to MIN,2,1631159.0,Canada,2025
2023,2,44,Sidy Cissoko,GF,6-6,220.0,19.0,NBA G League Ignite,2004 DOB,,2,1631321.0,France,2025
2022,1,9,Jeremy Sochan,SG,6-8,230.0,19.0,Baylor,Fr *,,3,1631110.0,Poland,2025
2022,1,20,Malaki Branham,GF,6-4,180.0,19.0,Ohio State,Fr *,,3,1631103.0,USA,2025
2022,1,25,Blake Wesley,SG,6-4,190.0,19.0,Notre Dame,Fr *,,3,1631104.0,USA,2025
2022,2,38,Kennedy Chandler,PG,6-0,170.0,19.0,Tennessee,Fr *,SAN to MEM,1,1631113.0,USA,2022
2021,1,12,Joshua Primo,G,6-4,189.0,18.0,Alabama,Fr *,,3,1630563.0,Canada,2023
2021,2,41,Joe Wieskamp,SF,6-6,212.0,21.0,Iowa,Jr *,,2,1630580.0,USA,2022
2020,1,11,Devin Vassell,SG,6-5,200.0,20.0,Florida State,So *,,5,1630170.0,USA,2025
2020,2,41,Tre Jones,PG,6-1,185.0,20.0,Duke,So *,,5,1630200.0,USA,2025
2019,1,19,Luka Samanic,PF,6-10,227.0,19.0,Union Olimpija (Slovenia),2000 DOB *,,5,1629677.0,Croatia,2023
2019,1,29,Keldon Johnson,SF,6-6,220.0,19.0,Kentucky,Fr *,,6,1629640.0,USA,2025
2019,2,49,Quinndary Weatherspoon,SG,6-3,205.0,22.0,Mississippi State,Sr,,3,1629683.0,USA,2021
2018,1,18,Lonnie Walker,SG,6-4,204.0,19.0,Miami (FL),Fr *,,7,1629022.0,USA,2024
2018,2,49,Chimezie Metu,PF,6-10,225.0,21.0,USC,Jr *,,6,1629002.0,USA,2023
2017,1,29,Derrick White,G,6-4,190.0,22.0,Colorado,Sr,,8,1628401.0,USA,2025
2017,2,59,Jaron Blossomgame,F,6-8,220.0,23.0,Clemson,Sr,,1,1628417.0,USA,2018
2016,1,29,Dejounte Murray,SG,6-4,180.0,19.0,Washington,Fr *,,9,1627749.0,USA,2025
2015,1,26,Nikola Milutinov,C,7-0,220.0,20.0,KK Partizan (Serbia),1994 DOB *,SAN to BRK,0,,,
2015,2,55,Cady Lalanne,FC,6-9,242.0,23.0,Massachusetts,Sr,SAN to GOS,0,,,
2014,1,30,Kyle Anderson,PF,6-8,230.0,20.0,UCLA,So *,,11,203937.0,USA,2025
2014,2,58,Jordan McRae,G,6-5,179.0,23.0,Tennessee,Sr,SAN to PHL,4,203895.0,USA,2019
2014,2,60,Cory Jefferson,PF,6-9,215.0,23.0,Baylor,Sr,SAN to PHL PHL to BRK,2,203928.0,USA,2015
2013,1,28,Livio Jean-Charles,SF,6-9,230.0,19.0,ASVEL Basket (France),1993 DOB *,,0,,,
2013,2,58,Deshaun Thomas,F,6-7,220.0,21.0,Ohio State,Jr *,,0,,,
2012,2,59,Marcus Denmon,G,6-3,185.0,22.0,Missouri,Sr,,0,,,
2011,1,29,Cory Joseph,PG,6-2,200.0,19.0,Texas,Fr *,,14,202709.0,Canada,2024
2011,2,59,Adam Hanga,SF,6-7,200.0,22.0,Alba Fehervar (Hungary),1989 DOB,,0,,,
2010,1,20,James Anderson,GF,6-6,210.0,21.0,Oklahoma State,Jr *,,5,202341.0,USA,2015
2010,2,49,Ryan Richards,FC,6-11,265.0,19.0,Dreamland Gran Canaria (Spain),1991 DOB *,,0,,,
2009,2,37,DeJuan Blair,F,6-8,270.0,20.0,Pittsburgh,So *,,7,201971.0,USA,2015
2009,2,51,Jack McClinton,G,6-1,185.0,24.0,Miami (FL),Sr,,0,,,
2009,2,53,Nando De Colo,G,6-5,195.0,22.0,Cholet Basket (France),1987 DOB,,2,201986.0,France,2013
2008,1,26,George Hill,G,6-3,188.0,22.0,IU Indy,Jr *,,15,201588.0,USA,2022
2008,2,45,Goran Dragic,G,6-4,190.0,22.0,Union Olimpija (Slovenia),1986 DOB,SAN to PHX,15,201609.0,Slovenia,2022
2008,2,57,James Gist,PF,6-9,235.0,21.0,Maryland,Sr,,0,,,
2007,1,28,Tiago Splitter,F,6-11,245.0,22.0,Baskonia (Spain),1985 DOB,,7,201168.0,Brazil,2016
2007,2,33,Marcus E. Williams,F,6-7,207.0,20.0,Arizona,So *,,2,,,
2007,2,58,Georgios Printezis,F,6-9,235.0,22.0,Ifestos Limnou (Greece),1985 DOB,SAN to TOR TOR to DAL DAL to NYK NYK to POR POR to OKC OKC to ATL ATL to SAN,0,,,
2006,2,59,Damir Markota,PF,6-10,260.0,20.0,KK Cibona (Croatia),1985 DOB *,SAN to MIL,1,200806.0,Croatia,2006
2005,1,28,Ian Mahinmi,C,6-11,262.0,18.0,STB Le Havre (France),1986 DOB *,,13,101133.0,France,2019
2004,1,28,Beno Udrih,G,6-4,205.0,21.0,AX Armani Exchange Milan (Italy),1982 DOB,,13,2757.0,Slovenia,2016
2004,2,52,Romain Sato,GF,6-5,205.0,23.0,Xavier,Sr,,1,,,
2004,2,57,Sergei Karaulov,C,6-10,254.0,22.0,Sakha-Yakutia Yakutsk (Russia),1982 DOB,,0,,,
2003,1,28,Leandro Barbosa,G,6-3,194.0,20.0,Bauru (Brazil),1982 DOB *,SAN to PHX,14,2571.0,Brazil,2016
2002,1,26,John Salmons,GF,6-7,210.0,22.0,Miami (FL),Sr,SAN to PHL,13,2422.0,USA,2014
2002,2,55,Luis Scola,PF,6-9,241.0,22.0,Baskonia (Spain),1980 DOB,SAN to HOU,10,2449.0,Argentina,2016
2002,2,56,Raed Farid Elhamali,F,6-9,225.0,22.0,San Diego State,Sr,SAN to PHL PHL to ATL,3,,,
2001,1,28,Tony Parker,G,6-2,185.0,19.0,Paris Basket Racing (France),1982 DOB *,,18,2225.0,France,2018
2001,2,55,Robertas Javtokas,PF,6-11,247.0,21.0,Lietuvos Rytas (Lithuania),1980 DOB *,,0,,,
2001,2,57,Bryan Bracey,F,6-7,210.0,22.0,Oregon,Sr,,1,,,
2000,2,41,Chris Carrawell,F,6-6,215.0,22.0,Duke,Sr,,1,,,
2000,2,54,Cory Hightower,G-F,6-8,200.0,20.0,Indian Hills,So *,SAN to LAL,2,,,
1999,1,29,Leon Smith,PF,6-10,235.0,18.0,King College Prep High School (Illinois),1980 DOB *,SAN to DAL,5,1910.0,USA,2003
1999,2,57,Manu Ginobili,SG,6-6,205.0,21.0,Viola Reggio Calabria (Italy),1977 DOB,,16,1938.0,Argentina,2017
1998,1,24,Felipe Lopez,SF,6-5,199.0,23.0,St. John's,Sr,SAN to VAN,6,1732.0,Dominican Republic,2002
1998,2,52,Derrick Dial,G,6-4,184.0,22.0,Eastern Michigan,Sr,,5,1760.0,USA,2003
1997,1,1,Tim Duncan,FC,6-11,250.0,21.0,Wake Forest,Sr,,19,1495.0,US Virgin Islands,2015
1995,1,29,Cory Alexander,G,6-1,185.0,22.0,Virginia,Jr *,,7,724.0,USA,2004
1994,1,22,Bill Curley,F,6-9,220.0,22.0,Boston College,Sr,SAN to DET,8,223.0,USA,2000
1993,2,47,Chris Whitney,PG,6-0,168.0,21.0,Clemson,Sr,,11,43.0,USA,2003
1992,2,44,Henry Williams,G,6-1,170.0,22.0,Charlotte,Sr,,1,,,
1991,2,49,Greg Sutton,G,6-2,170.0,23.0,Oral Roberts,Sr,,5,357.0,USA,1995
1990,1,24,Dwayne Schintzius,C,7-1,260.0,21.0,Florida,Sr,,10,368.0,USA,1998
1990,2,43,Tony Massenburg,PF,6-9,220.0,22.0,Maryland,Sr,,13,763.0,USA,2004
1990,2,54,Sean Higgins,F,6-9,205.0,21.0,Michigan,Jr *,,7,925.0,USA,1997
1989,1,3,Sean Elliott,SF,6-8,205.0,21.0,Arizona,Sr,,12,251.0,USA,2000
1988,1,10,Willie Anderson,SF,6-7,190.0,21.0,Georgia,Sr,,9,335.0,USA,1996
1988,2,27,Shelton Jones,F,6-9,210.0,22.0,St. John's,Sr,,5,2652.0,USA,1988
1988,3,56,Barry Sumpter,FC,6-11,215.0,22.0,Austin Peay,Sr,,1,78654.0,USA,1988
1988,3,75,Archie Marshall,F,6-7,190.0,23.0,Kansas,Jr,,1,,,
1987,1,1,David Robinson,C,7-1,250.0,21.0,Navy,Sr,,14,764.0,USA,2002
1987,1,23,Cadillac Anderson,PF,6-10,230.0,22.0,Houston,Sr,,10,,,
1987,2,27,Nate Blackwell,G,6-4,170.0,22.0,Temple,Sr,,1,76179.0,USA,1987
1987,3,50,Phil Zevenbergen,FC,6-10,230.0,23.0,Washington,Sr,,1,78644.0,USA,1987
1987,4,73,Todd May,PF,6-8,225.0,22.0,Pikeville,Sr,,0,,,
1987,5,96,Dennis Williams,GF,6-5,190.0,21.0,Georgia,,,1,,,
1987,6,119,Ricky Brown,,,,,South Alabama,Jr *,,0,,,
1987,7,142,Raynard Davis,C,,,,Texas,Sr,,1,,,
1986,1,10,Johnny Dawkins,G,6-2,165.0,22.0,Duke,Sr,,9,1008.0,USA,1994
1986,2,33,Kevin Duckworth,C,7-0,275.0,22.0,Eastern Illinois,Sr,,11,404.0,USA,1996
1986,3,48,Forrest McKenzie,F,6-7,200.0,23.0,Loyola Marymount,Sr,,1,77542.0,USA,1986
1986,4,79,Carlos Briggs,PG,6-0,185.0,,Baylor,Sr,,0,,,
1986,5,102,Earl Kelley,G,6-2,,,UConn,Sr,,0,,,
1986,6,125,Kevin Lewis,F,6-6,200.0,21.0,Southern Methodist,Sr,,0,,,
1986,7,148,Michael Anderson,,,,,Texas-RGV,Sr,,0,76042.0,USA,1988
1985,1,14,Alfredrick Hughes,GF,6-5,215.0,22.0,Loyola (IL),Sr,,2,77076.0,USA,1985
1985,2,29,Mike Brittain,C,7-0,235.0,21.0,South Carolina,Sr,,2,76260.0,USA,1986
1985,2,35,Tyrone Corbin,F,6-6,210.0,22.0,DePaul,Sr,,16,895.0,USA,2000
1985,4,82,Scott Roth,F,6-8,212.0,22.0,Wisconsin,Sr,,3,78022.0,USA,1989
1985,5,106,Clayton Olivier,C,6-10,,,USC,Sr,,0,,,
1985,6,128,Chris Harper,,,,,Oregon,Sr,,0,,,
1985,7,152,Al Young,,,,,Virginia Tech,Sr,,0,,,
1984,1,7,Alvin Robertson,SG,6-3,185.0,21.0,Arkansas,Sr,,12,926.0,USA,1995
1984,3,57,Joe Binion,F,6-8,235.0,23.0,North Carolina A&T,Sr,,3,76167.0,USA,1986
1984,4,78,John Devereaux,PF,6-8,215.0,,Ohio,Sr,,0,,,
1984,4,90,Ozell Jones,FC,6-11,235.0,23.0,Cal State Fullerton,Sr,,3,77191.0,USA,1985
1984,5,100,Eric Richardson,,,,,Alabama,Sr,,0,,,
1984,6,124,Dion Brown,,,,,Louisiana,Sr,,0,,,
1984,7,146,Michael Pitts,,,,,California,Sr,,0,,,
1984,8,170,Dan Tarkanian,PG,,,22.0,UNLV,Sr,,1,,,
1984,9,191,Melvin Roseboro,,,,,St. Mary's (TX),Sr,,0,,,
1984,10,214,Frank Rodriguez,,,,,New Mexico State,Sr,,0,,,
1983,1,19,John Paxson,G,6-2,185.0,22.0,Notre Dame,Sr,,11,77820.0,USA,1993
1983,2,35,Darrell Lockhart,C,6-9,245.0,22.0,Auburn,Sr,,1,77399.0,USA,1983
1983,2,46,Kevin Williams,G,6-2,175.0,21.0,St. John's,Sr,,7,78556.0,USA,1988
1983,4,81,Harry Kelly,F,6-7,215.0,,Texas Southern,Sr,,0,,,
1983,4,90,Brant Weidner,PF,6-9,230.0,22.0,William & Mary,Sr,,1,78484.0,USA,1983
1983,5,112,Jeff Pehl,,,,,Richmond,Sr,,0,,,
1983,6,136,Ricky Hooker,,,,,St. Mary's (TX),Sr,,0,,,
1983,7,158,Keith Williams,C,6-11,250.0,,Panhandle State (OK),Sr,,1,,,
1983,8,182,Norville Brown,,,,,Oklahoma Christian,Sr,,0,,,
1983,9,203,Gary Gaspard,,,,,St. Mary's (TX),Sr,,0,,,
1983,10,225,Lamar Heard,F,,,,Georgia,Sr,,0,,,
1982,2,24,Oliver Robinson,SG,6-4,180.0,22.0,UAB,Sr,,1,77994.0,USA,1982
1982,3,64,Willie Redden,C,6-11,225.0,21.0,South Florida,Sr,,1,,,
1982,4,87,Tony Grier,SG,6-3,215.0,,South Florida,Sr,,0,,,
1982,5,110,Clarence Swannegan,,,,,Texas Tech,Sr,,0,,,
1982,6,133,Jaime Pena,,,,,New Mexico State,Sr,,0,,,
1982,7,156,Delonte Taylor,,,,,North Texas,Sr,,0,,,
1982,8,179,Chris Faggi,,,,,Memphis,Sr,,0,,,
1982,9,201,Harry O'Brien,,,,,St. Mary's (TX),Sr,,0,,,
1982,10,222,Keith White,,,,,McMurry,Sr,,0,,,
1981,2,28,Gene Banks,GF,6-7,215.0,22.0,Duke,Sr,,7,76093.0,USA,1986
1981,2,30,Ed Rains,SF,6-7,190.0,24.0,South Alabama,Sr,,3,77904.0,USA,1982
