Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for,awards
2025,1,21,Will Riley,F,6-9,180.0,19.0,Illinois,Fr *,UTA to  WAS,0,1642860.0,US,2025.0,0.0,WAS,
2024,1,14,Bub Carrington,G,6-4,190.0,18.0,Pittsburgh,Fr *,POR to  WAS,1,1642267.0,US,2025.0,0.0,WAS,{'All-Rookie Team': 1}
2024,1,24,Kyshawn George,F,6-8,200.0,20.0,Miami (FL),Fr *,NYK to  WAS,1,1642273.0,CH,2025.0,0.0,WAS,
2023,1,7,Bilal Coulibaly,GF,6-7,195.0,18.0,Boulogne-Levallois (France),2004 DOB *,IND to  WAS,2,1641731.0,FR,2025.0,0.0,WAS,{'Olympic Silver Medal': 1}
2021,2,31,Isaiah Todd,PF,6-10,220.0,19.0,NBA G League Ignite,2001 DOB,MIL to  IND IND  to WAS,2,1630225.0,US,2022.0,0.0,WAS,
2020,2,53,Cassius Winston,PG,6-1,185.0,22.0,Michigan State,Sr,OKC to  WAS,2,1630216.0,US,2021.0,0.0,WAS,
2019,2,42,Admiral Schofield,SF,6-5,241.0,22.0,Tennessee,Sr,PHI to  WAS,4,1629678.0,GB,2023.0,0.0,ORL,
2017,2,50,Mathias Lessort,F,6-9,250.0,21.0,Nanterre 92 (France),1995 DOB,PHI to  LAC LAC  to MIN MIN  to NYK NYK  to WAS,0,,,,,,
2015,1,15,Kelly Oubre Jr.,SF,6-8,203.0,19.0,Kansas,Fr *,ATL to  WAS,10,1626162.0,US,2025.0,0.0,PHI,
2013,2,35,Glen Rice,GF,6-6,206.0,22.0,Rio Grande Valley Vipers,1991 DOB,PHI to  WAS,2,203318.0,US,2014.0,0.0,WAS,
2010,1,17,Kevin Seraphin,FC,6-10,278.0,20.0,Cholet Basket (France),1989 DOB *,CHI to  WAS,7,202338.0,FR,2016.0,0.0,WAS,
2010,1,23,Trevor Booker,PF,6-8,228.0,22.0,Clemson,Sr,MIN to  WAS,8,202344.0,US,2017.0,0.0,WAS,
2010,2,56,Hamady Ndiaye,C,7-0,235.0,23.0,Rutgers,Sr,MIN to  WAS,3,202380.0,SN,2013.0,0.0,WAS,
2001,1,20,Brendan Haywood,C,7-0,263.0,21.0,North Carolina,Sr,CLE to  ORL ORL  to WAS,14,2217.0,US,2014.0,0.0,WAS,
2001,2,41,Bobby Simmons,F,6-6,235.0,21.0,DePaul,Jr *,SEA to  WAS,11,2250.0,US,2011.0,0.0,LAC,
1999,2,38,Laron Profit,G-F,6-5,204.0,21.0,Maryland,Sr,ORL to  WAS,6,1919.0,US,2005.0,0.0,WAS,
1994,2,40,Jeff Webster,F,6-8,232.0,23.0,Oklahoma,Sr,MIA to  WAS,2,1067.0,US,1995.0,0.0,WAS,
1993,2,35,Ed Stokes,C,7-0,264.0,21.0,Arizona,Sr,MIA to  WAS,4,1055.0,US,1997.0,0.0,TOR,
1992,1,19,Don MacLean,PF,6-10,235.0,22.0,UCLA,Sr,DET to  LAC LAC  to WAS,10,931.0,US,2000.0,0.0,WAS,
1992,2,51,Tim Burroughs,PF,6-8,250.0,22.0,Jacksonville,Sr,MIN to  WAS,0,,,,,,
1984,1,22,Tom Sewell,G,6-5,185.0,22.0,Lamar,Sr,PHI to  WAS,1,78116.0,US,1984.0,0.0,WAS,
1980,2,25,Jeff Ruland,C,6-10,240.0,21.0,Iona,Sr *,GSW to  WAS,8,78041.0,US,1992.0,0.0,WAS,
1978,7,149,Steve Malovic,FC,6-10,230.0,21.0,San Diego State,Jr,PHX to  WAS,1,77450.0,US,1979.0,0.0,LAC,
1964,2,9,Les Hunter,F,6-7,210.0,21.0,Loyola (IL),Sr,DET to  WAS,1,77084.0,US,1964.0,0.0,WAS,
1964,3,18,Wali Jones,G,6-2,180.0,22.0,Villanova,Sr,DET to  WAS,10,77198.0,US,1975.0,0.0,PHI,
1964,3,24,Steve Courtin,G,6-1,188.0,21.0,Saint Joseph's,Sr,CIN to  WAS,1,76459.0,US,1964.0,0.0,PHI,
1962,4,27,Cliff Luyk,F,6-7,,20.0,Florida,Sr,NYK to  CHI,0,,,,,,
1960,4,30,Horace Walker,F,6-3,210.0,22.0,Michigan State,Sr,STH to  WAS,1,78438.0,US,1961.0,0.0,WAS,
2025,1,6,Tre Johnson,SG,6-5,190.0,19.0,Texas,Fr *,,0,1642848.0,US,2025.0,0.0,WAS,
2025,2,43,Jamir Watkins,F,6-6,210.0,23.0,Florida State,Sr *,,0,1642364.0,US,2025.0,0.0,WAS,
2024,1,2,Alex Sarr,FC,7-0,205.0,19.0,Perth (Australia),2005 DOB *,,1,1642259.0,FR,2025.0,0.0,WAS,"{'All-Rookie Team': 1, 'NBA Rookie of the Month': 1}"
2023,2,42,Tristan Vukcevic,F,7-0,220.0,20.0,KK Partizan (Serbia),2003 DOB *,,2,1641774.0,IT,2025.0,0.0,WAS,
2022,1,10,Johnny Davis,F,6-4,195.0,20.0,Wisconsin,So *,,3,1631098.0,US,2024.0,0.0,WAS,
2022,2,54,Yannick Nzosa,C,6-10,174.0,18.0,Unicaja (Spain),2003 DOB *,,0,,,,,,
2021,1,15,Corey Kispert,SF,6-6,224.0,22.0,Gonzaga,Sr *,,4,1630557.0,US,2025.0,0.0,WAS,
2020,1,9,Deni Avdija,SG,6-8,228.0,19.0,Maccabi Tel Aviv U18 (Israel),2001 DOB *,,5,1630166.0,IL,2025.0,0.0,POR,
2019,1,9,Rui Hachimura,F,6-8,230.0,21.0,Gonzaga,Jr *,,6,1629060.0,JP,2025.0,0.0,LAL,{'All-Rookie Team': 1}
2018,1,15,Troy Brown Jr.,SF,6-7,215.0,18.0,Oregon,Fr *,,6,1628972.0,US,2023.0,0.0,DET,
2013,1,3,Otto Porter Jr.,SF,6-8,230.0,20.0,Georgetown,So *,,11,203490.0,US,2023.0,0.0,TOR,
2012,1,3,Bradley Beal,SG,6-4,207.0,19.0,Florida,Fr *,,13,203078.0,US,2025.0,0.0,LAC,"{'All-NBA': 1, 'All-Rookie Team': 1, 'NBA All-Star': 3, 'NBA Player of the Week': 4, 'NBA Rookie of the Month': 2}"
2012,2,32,Tomas Satoransky,PG,6-7,210.0,20.0,Real Betis Baloncesto (Spain),1991 DOB *,,6,203107.0,CZ,2021.0,0.0,WAS,
2011,1,6,Jan Vesely,PF,6-11,240.0,21.0,KK Partizan (Serbia),1990 DOB *,,3,202686.0,CZ,2013.0,0.0,WAS,
2011,1,18,Chris Singleton,FC,6-8,228.0,21.0,Florida State,Jr *,,3,202698.0,US,2013.0,0.0,WAS,
2011,2,34,Shelvin Mack,G,6-3,203.0,21.0,Butler,Jr *,,8,202714.0,US,2018.0,0.0,ATL,
2010,1,1,John Wall,PG,6-3,210.0,19.0,Kentucky,Fr *,,13,202322.0,US,2022.0,0.0,LAC,
2008,1,18,JaVale McGee,C,7-0,270.0,20.0,Nevada,So *,,16,201580.0,US,2023.0,0.0,SAC,
2007,1,16,Nick Young,SG,6-7,210.0,22.0,USC,Jr *,,12,201156.0,US,2018.0,0.0,WAS,
2007,2,47,Dominic McGuire,F,6-9,235.0,21.0,Fresno State,Jr *,,6,201187.0,US,2012.0,0.0,WAS,
2006,1,18,Oleksiy Pecherov,C,7-0,232.0,20.0,Paris Basket Racing (France),1985 DOB *,,3,200762.0,UA,2009.0,0.0,WAS,
2005,2,49,Andray Blatche,PF,6-11,260.0,18.0,South Kent School (Connecticut),1986 DOB *,,9,101154.0,US,2013.0,0.0,WAS,
2004,2,32,Peter John Ramos,C,7-3,276.0,19.0,Criollos de Caguas (United States),1985 DOB *,,2,2762.0,PR,2004.0,0.0,WAS,
2003,1,10,Jarvis Hayes,SF,6-6,220.0,21.0,Georgia,Jr *,,7,2553.0,US,2009.0,0.0,WAS,
2003,2,38,Steve Blake,G,6-3,172.0,23.0,Maryland,Sr,,13,2581.0,US,2015.0,0.0,POR,
2002,1,11,Jared Jeffries,PF,6-11,240.0,20.0,Indiana,So *,,11,2407.0,US,2012.0,0.0,NYK,
2002,1,17,Juan Dixon,G,6-3,164.0,23.0,Maryland,Sr,,7,2413.0,US,2008.0,0.0,WAS,
2002,2,38,Rod Grizzard,G,6-8,200.0,22.0,Alabama,Jr *,,2,,,,,,
2001,1,1,Kwame Brown,C,6-11,290.0,19.0,Glynn Academy (Georgia),1982 DOB *,,12,2198.0,US,2012.0,0.0,WAS,
2000,2,35,Mike Smith,F,6-8,195.0,24.0,Louisiana-Monroe,Sr,,3,2065.0,US,2000.0,0.0,WAS,
1999,1,7,Richard Hamilton,SG,6-7,193.0,21.0,UConn,Jr *,,14,1888.0,US,2012.0,0.0,DET,
1999,2,35,Calvin Booth,C,6-11,230.0,23.0,Penn State,Sr,,10,1916.0,US,2008.0,0.0,OKC,
1998,2,43,Jahidi White,FC,6-9,290.0,22.0,Georgetown,Sr,,7,1751.0,US,2004.0,0.0,WAS,
1997,2,45,God Shammgod,G,6-0,169.0,21.0,Providence,So *,,2,1539.0,US,1997.0,0.0,WAS,
1996,2,55,Ronnie Henderson,G,6-4,206.0,22.0,LSU,Jr *,,1,,,,,,
1995,1,4,Rasheed Wallace,FC,6-11,230.0,20.0,North Carolina,So *,,16,739.0,US,2012.0,0.0,POR,
1994,1,5,Juwan Howard,PF,6-9,240.0,21.0,Michigan,Jr *,,19,436.0,US,2012.0,0.0,WAS,
1994,2,32,Jim McIlvaine,C,7-1,240.0,21.0,Marquette,Sr,,8,29.0,US,2000.0,0.0,OKC,
1993,1,6,Calbert Cheaney,GF,6-7,209.0,21.0,Indiana,Sr,,13,384.0,US,2005.0,0.0,WAS,
1993,2,30,Gheorghe Muresan,C,7-7,303.0,22.0,Pau-Orthez (France),1971 DOB,,7,49.0,RO,1999.0,0.0,WAS,
1992,1,6,Tom Gugliotta,PF,6-10,240.0,22.0,NC State,Sr,,13,339.0,US,2004.0,0.0,PHX,
1992,2,32,Brent Price,PG,6-1,165.0,23.0,Oklahoma,Sr,,11,85.0,US,2002.0,0.0,WAS,
1991,1,19,Labradford Smith,SG,6-3,200.0,22.0,Louisville,Sr,,4,78194.0,US,1993.0,0.0,WAS,
1990,2,35,Greg Foster,C,6-11,240.0,21.0,UTEP,Sr,,13,323.0,US,2002.0,0.0,UTA,
1990,2,37,A.J. English,GF,6-5,175.0,22.0,Virginia Union,Sr,,3,76672.0,US,1991.0,0.0,WAS,
1989,1,9,Tom Hammonds,PF,6-9,215.0,22.0,Georgia Tech,Sr,,13,67.0,US,2000.0,0.0,DEN,
1989,2,39,Ed Horton,PF,6-8,230.0,21.0,Iowa,Sr,,2,77060.0,US,1989.0,0.0,WAS,
1989,2,41,Doug Roth,C,6-11,255.0,21.0,Tennessee,Sr,,3,78021.0,US,1989.0,0.0,WAS,
1988,1,12,Harvey Grant,F,6-8,195.0,22.0,Oklahoma,Sr,,13,265.0,US,1998.0,0.0,WAS,
1988,2,36,Ledell Eackles,SG,6-5,220.0,21.0,New Orleans,Sr,,9,289.0,US,1997.0,0.0,WAS,
1988,3,60,Ed Davender,PG,6-2,165.0,22.0,Kentucky,Sr,,0,,,,,,
1987,1,12,Muggsy Bogues,PG,5-3,136.0,22.0,Wake Forest,Sr,,15,177.0,US,2000.0,0.0,CHA,
1987,2,36,Duane Washington,G,6-4,195.0,22.0,Middle Tennessee State,Sr,,2,78464.0,US,1992.0,0.0,BKN,
1987,2,37,Derrick Dowell,F,6-6,210.0,21.0,USC,Sr,,0,,,,,,
1987,3,59,Danny Pearson,SF,6-6,210.0,,Jacksonville,Sr,,0,,,,,,
1987,4,81,Scott Thompson,C,7-0,260.0,,San Diego,Sr,,0,,,,,,
1987,5,106,Patrick Fairs,G,6-5,,,Texas,Sr,,1,,,,,,
1987,6,128,Dwayne Scholten,C,,,,Washington State,Sr,,0,,,,,,
1987,7,150,Jamie Dixon,,,,21.0,TCU,Sr,,0,,,,,,
1986,1,12,John Williams,FC,6-8,235.0,19.0,LSU,So *,,9,78554.0,US,1994.0,0.0,WAS,
1986,1,21,Anthony Jones,GF,6-6,195.0,23.0,UNLV,Sr,,4,77173.0,US,1989.0,0.0,DAL,
1986,2,36,Steve Mitchell,G,6-1,185.0,21.0,UAB,Sr,,0,,,,,,
1986,3,58,Dave Henderson,G,6-5,195.0,21.0,Duke,Sr,,2,76991.0,US,1987.0,0.0,PHI,
1986,4,82,Barry Mungar,F,6-8,220.0,24.0,St. Bonaventure,Sr,,0,,,,,,
1986,5,104,Paul Fortier,F,6-9,,,Washington,Sr,,0,,,,,,
1986,6,128,Lorenzo Duncan,,,,,Sam Houston State,Sr,,0,,,,,,
1986,7,150,Joe Price,,,,,Notre Dame,Sr,,0,,,,,,
1985,1,12,Kenny Green,F,6-6,210.0,20.0,Wake Forest,Jr *,,3,76869.0,US,1986.0,0.0,PHI,
1985,2,31,Manute Bol,C,7-7,200.0,22.0,Bridgeport,So *,,11,76195.0,US,1994.0,0.0,WAS,
1985,3,58,Vernon Moore,PG,6-2,190.0,,Creighton,Sr,,0,,,,,,
1985,3,65,Ken Perry,PF,6-11,225.0,,Southern Illinois,Sr,,0,,,,,,
1985,4,81,Richie Adams,PF,6-9,215.0,,UNLV,Sr,,0,,,,,,
1985,5,104,Dean Shaffer,G,6-3,200.0,,Florida State,Sr,,0,,,,,,
1985,6,127,Matt England,,,,,Houston Christian,Sr,,0,,,,,,
1985,7,146,"Bob Ferry, Jr.",,,,,Harvard,Sr,,0,,,,,,
1985,7,150,Keith Gray,,,,,Detroit-Mercy,Sr,,0,,,,,,
1984,2,34,Tony Costner,FC,6-10,250.0,21.0,Saint Joseph's,Sr,,0,,,,,,
1984,2,44,Fred Reynolds,SF,6-6,195.0,23.0,UTEP,Sr,,1,,,,,,
1984,3,53,Ricky Ross,SF,6-6,185.0,,Tulsa,Jr,,0,,,,,,
1984,4,76,Jim Grandholm,FC,7-0,235.0,23.0,South Florida,Sr,,4,76844.0,US,1990.0,0.0,DAL,
1984,5,99,Cohn Irish,,,,,Bowling Green,Sr,,0,,,,,,
1984,6,122,Blaise Bugajeski,,,,,Illinois Wesleyan,Sr,,0,,,,,,
1984,7,145,Tim Garrett,,,,,New Mexico,Sr,,0,,,,,,
1984,8,168,Darryl Odom,,,,,WV Wesleyan,Sr,,0,,,,,,
1984,9,190,Mike Emanuel,,,,,UNC-Pembroke,Sr,,0,,,,,,
1984,10,212,Glynn Myrick,,,,,Stetson,Sr,,0,,,,,,
1983,1,10,Jeff Malone,SG,6-4,205.0,21.0,Mississippi State,Sr,,13,117.0,US,1995.0,0.0,WAS,
1983,2,32,Michael Britt,SF,6-6,175.0,22.0,District of Columbia,Sr,,0,,,,,,
1983,2,34,Guy Williams,F,6-9,200.0,22.0,Washington State,Sr,,2,78550.0,US,1985.0,0.0,WAS,
1983,3,57,Darren Daye,FC,6-8,220.0,22.0,UCLA,Sr,,5,76543.0,US,1987.0,0.0,WAS,
1983,4,80,Dan Gay,PF,6-9,220.0,21.0,Louisiana,Sr,,0,,,,,,
1983,5,103,Robin Dixon,SG,6-3,,,New Hampshire,Sr,,0,,,,,,
1983,6,126,Donald Carroll,,,,,St. Augustine's,Sr,,0,,,,,,
1983,7,149,Danny Womack,,,,,Winston-Salem State,Sr,,0,,,,,,
1983,8,172,Bernard Perry,,,,,Howard,Sr,,0,,,,,,
1983,9,194,Ricky Moreland,,,,,UMBC,Sr,,0,,,,,,
1983,10,215,Isiah Singletary,,,,,Saint Louis,Sr,,0,,,,,,
1982,2,25,Bryan Warrick,G,6-5,195.0,22.0,Saint Joseph's,Sr,,6,78462.0,US,1985.0,0.0,WAS,
1982,2,41,Dwight Anderson,PG,6-3,185.0,21.0,USC,Sr,,3,76037.0,US,1982.0,0.0,DEN,
1982,2,44,Mike Gibson,PF,6-10,205.0,21.0,USC Upstate,Sr,,3,76810.0,US,1985.0,0.0,DET,
1982,3,58,Mike Largey,PF,6-8,230.0,21.0,Upsala College,Sr,,0,,,,,,
1982,4,81,Dino Gregory,PF,6-8,210.0,,Long Beach State,Sr,,0,,,,,,
1982,5,104,Clarence Dickerson,,,,,Hawaii,Sr,,0,,,,,,
1982,5,112,Jerry Davis,,,,,Detroit-Mercy,Sr,,0,,,,,,
